video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale,Unnamed: 10
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191130_-bUCRsoPcUG4I0gtbrLubw_1575093586.mp4,1,00:06:27,00:09:17,0,100,0,00:02:50,round-20191130_-bUCRsoPcUG4I0gtbrLubw_1575093586_1.csv,(1532x13)(1818x299),1.437
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814.mp4,1,00:07:09,00:07:41,0,100,0,00:00:32,round-20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814_1.csv,(1528x50)(1814x336),1.007
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205.mp4,1,00:04:48,00:11:52,0,100,0,00:07:04,round-20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205_1.csv,(1532x13)(1818x299),1.437
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205.mp4,2,00:13:50,00:16:00,0,100,0,00:02:10,round-20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205_2.csv,(1532x13)(1818x299),1.437
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191130_-bUCRsoPcUG4I0gtbrLubw_1575093586.mp4,2,00:11:09,00:19:29,0,100,0,00:08:20,round-20191130_-bUCRsoPcUG4I0gtbrLubw_1575093586_2.csv,(1532x13)(1818x299),1.437
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205.mp4,3,00:17:51,00:23:04,0,100,0,00:05:13,round-20191203_SrWj6SkIyEKS0npx7rBerQ_1575354205_3.csv,(1532x13)(1818x299),1.437
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191130_i31zW3L7REa7YoZBR_UrjA_1575143930.mp4,1,00:31:04,00:34:33,0,100,0,00:03:29,round-20191130_i31zW3L7REa7YoZBR_UrjA_1575143930_1.csv,(1522x50)(1808x336),1.004
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191129_XgMG9HQeYkSUy2ILC1KFOA_1575032217.mp4,1,00:05:43,00:21:01,0,100,0,00:15:18,round-20191129_XgMG9HQeYkSUy2ILC1KFOA_1575032217_1.csv,(1523x13)(1809x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814.mp4,2,00:09:17,00:26:43,0,100,0,00:17:26,round-20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814_2.csv,(1528x50)(1814x336),1.007
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,1,00:26:25,00:42:48,0,100,0,00:16:23,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_1.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,2,00:45:17,00:46:38,0,100,0,00:01:21,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_2.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,3,00:49:14,00:52:29,0,100,0,00:03:15,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_3.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814.mp4,3,00:28:27,00:43:01,0,100,0,00:14:34,round-20191208_XUdCGXNaXkKzfMExAHbcSw_1575790814_3.csv,(1528x50)(1814x336),1.007
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,4,00:54:06,00:56:33,0,100,0,00:02:27,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_4.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191130_i31zW3L7REa7YoZBR_UrjA_1575143930.mp4,2,00:39:06,00:51:52,0,100,0,00:12:46,round-20191130_i31zW3L7REa7YoZBR_UrjA_1575143930_2.csv,(1522x50)(1808x336),1.004
/home/itec/philipp/nobackup/fn-new-videos/WhyShadyy/20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867.mp4,5,00:58:12,01:00:38,0,100,0,00:02:26,round-20191201_ZF3aJ6Xw_U61YTP6SeAhHQ_1575197867_5.csv,(1524x13)(1810x299),1.43
/home/itec/philipp/nobackup/fn-new-videos/XDSmil3yTTV/20191130_i31zW3L7REa7YoZBR_UrjA_1575143930.mp4,3,00:56:49,01:01:55,0,100,0,00:05:06,round-20191130_i31zW3L7REa7YoZBR_UrjA_1575143930_3.csv,(1522x50)(1808x336),1.004
