phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1727, 279,-1.000,02:00:13,0, 0.543, 0.965,0
0,1674, 315,64.070,02:00:14,0, 0.530, 0.965,0
0,1621, 351,64.070,02:00:15,0, 0.385, 0.965,0
0,1569, 386,62.682,02:00:16,0, 0.392, 0.967,0
1,1273, 172,-1.000,02:00:17,0, 0.167, 0.951,0
1, 496, 644,-1.000,02:00:18,0, 0.176, 0.951,0
1, 480, 646,-1.000,02:00:19,0, 0.198, 0.951,0
1, 480, 646,-1.000,02:00:20,0, 0.191, 0.951,0
1, 480, 646,-1.000,02:00:21,0, 0.179, 0.951,0
1, 480, 646,-1.000,02:00:22,0, 0.188, 0.950,0
1, 480, 646,-1.000,02:00:23,0, 0.173, 0.951,0
1, 480, 646,-1.000,02:00:24,0, 0.198, 0.951,0
1, 480, 646,-1.000,02:00:25,0, 0.211, 0.951,0
1, 480, 647,-1.000,02:00:26,0, 0.204, 0.950,0
1, 480, 646,-1.000,02:00:27,0, 0.194, 0.950,0
1, 480, 646,-1.000,02:00:28,0, 0.162, 0.950,0
1, 494, 644,-1.000,02:00:29,0, 0.146, 0.951,0
0, 888, 845,-1.000,02:00:30,1, 0.396, 0.969,0
0, 889, 856,11.045,02:00:31,1, 0.409, 0.970,0
0, 890, 875,19.026,02:00:32,1, 0.432, 0.969,0
0, 888, 894,19.105,02:00:33,1, 0.453, 0.970,0
0, 886, 912,18.111,02:00:34,1, 0.498, 0.970,0
0, 883, 930,18.248,02:00:35,1, 0.494, 0.970,0
0, 878, 944,14.866,02:00:36,1, 0.381, 0.970,0
0, 878, 958,-1.000,02:00:37,1, 0.340, 0.971,0
0, 878, 985,-1.000,02:00:38,1, 0.436, 0.970,0
0, 885,1001,17.464,02:00:39,1, 0.418, 0.970,0
0, 888,1010, 9.487,02:00:40,1, 0.409, 0.969,0
0, 894,1026,17.088,02:00:41,1, 0.416, 0.970,0
0, 899,1042,16.763,02:00:42,1, 0.443, 0.969,0
0, 904,1058,16.763,02:00:43,1, 0.503, 0.970,0
0, 909,1072,14.866,02:00:44,1, 0.498, 0.969,0
0, 913,1086,14.560,02:00:45,1, 0.426, 0.970,0
1, 923,1100,17.205,02:00:46,1, 0.435, 0.969,0
1, 932,1114,16.643,02:00:47,1, 0.396, 0.972,0
1, 939,1128,15.652,02:00:48,1, 0.353, 0.974,0
1, 943,1142,-1.000,02:00:49,1, 0.300, 0.973,0
1, 952,1164,-1.000,02:00:50,1, 0.469, 0.976,0
1, 958,1177,14.318,02:00:51,1, 0.461, 0.975,0
1, 965,1190,14.765,02:00:52,1, 0.461, 0.973,0
1, 971,1205,16.155,02:00:53,1, 0.465, 0.972,0
1, 977,1219,15.232,02:00:54,1, 0.479, 0.973,0
1, 982,1233,14.866,02:00:55,1, 0.489, 0.971,0
1, 986,1247,14.560,02:00:56,1, 0.495, 0.973,0
1, 990,1261,14.560,02:00:57,1, 0.487, 0.972,0
1, 994,1275,14.560,02:00:58,1, 0.474, 0.973,0
1, 997,1289,14.318,02:00:59,1, 0.453, 0.971,0
1,1004,1303,15.652,02:01:00,1, 0.480, 0.970,0
1,1012,1317,16.125,02:01:01,1, 0.476, 0.971,0
1,1022,1331,17.205,02:01:02,1, 0.512, 0.971,0
1,1030,1344,15.264,02:01:03,1, 0.515, 0.972,0
1,1038,1357,15.264,02:01:04,1, 0.543, 0.970,0
1,1043,1370,13.928,02:01:05,1, 0.535, 0.970,0
1,1049,1384,15.232,02:01:06,1, 0.596, 0.968,0
1,1055,1398,15.232,02:01:07,1, 0.594, 0.969,0
1,1059,1412,14.560,02:01:08,1, 0.619, 0.970,0
1,1064,1426,14.866,02:01:09,1, 0.642, 0.970,0
1,1069,1440,14.866,02:01:10,1, 0.659, 0.970,0
1,1080,1452,16.279,02:01:11,1, 0.678, 0.971,0
1,1089,1464,15.000,02:01:12,1, 0.662, 0.973,0
1,1099,1476,15.620,02:01:13,1, 0.651, 0.974,0
1,1104,1490,14.866,02:01:14,1, 0.642, 0.975,0
1,1109,1504,14.866,02:01:15,1, 0.648, 0.976,0
1,1119,1516,15.620,02:01:16,1, 0.637, 0.973,0
1,1132,1525,15.811,02:01:17,1, 0.606, 0.976,0
1,1133,1527, 2.236,02:01:18,1, 0.548, 0.975,0
1,1144,1538,15.556,02:01:19,1, 0.563, 0.978,0
1,1151,1550,13.892,02:01:20,1, 0.569, 0.978,0
1,1154,1564,14.318,02:01:21,1, 0.590, 0.979,0
1,1157,1578,14.318,02:01:22,1, 0.571, 0.979,0
1,1152,1592,14.866,02:01:23,1, 0.545, 0.977,0
1,1147,1606,14.866,02:01:24,1, 0.518, 0.975,0
1,1145,1616,10.198,02:01:25,0, 0.612, 0.968,0
1,1144,1618, 2.236,02:01:26,0, 0.617, 0.964,0
1,1145,1623, 5.099,02:01:27,0, 0.622, 0.968,0
1,1144,1627, 4.123,02:01:28,0, 0.630, 0.974,0
1,1143,1631, 4.123,02:01:29,0, 0.636, 0.974,0
1,1140,1632, 3.162,02:01:30,0, 0.620, 0.975,0
1,1141,1632, 1.000,02:01:31,0, 0.634, 0.974,0
1,1141,1632, 0.000,02:01:32,0, 0.621, 0.970,0
1,1141,1633, 1.000,02:01:33,0, 0.614, 0.972,0
1,1141,1632, 1.000,02:01:34,0, 0.610, 0.975,0
1,1141,1631, 1.000,02:01:35,0, 0.617, 0.971,0
1,1141,1631, 0.000,02:01:36,0, 0.619, 0.975,0
1,1141,1631, 0.000,02:01:37,0, 0.608, 0.976,0
1,1139,1628, 3.606,02:01:38,0, 0.617, 0.975,0
