phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1137,1208,-1.000,00:27:49,1, 0.386, 0.948,0
-1,1125,1198,15.620,00:27:50,1, 0.366, 0.932,0
-1,1116,1187,-1.000,00:27:51,1, 0.346, 0.939,0
-1,1105,1178,-1.000,00:27:51,1, 0.373, 0.939,0
-1,1091,1170,16.125,00:27:52,1, 0.401, 0.940,0
-1,1077,1163,15.652,00:27:53,1, 0.371, 0.940,0
-1,1067,1156,-1.000,00:27:54,1, 0.346, 0.937,0
-1,1056,1144,-1.000,00:27:55,1, 0.360, 0.938,0
-1,1044,1132,16.971,00:27:56,1, 0.384, 0.937,0
-1,1032,1121,16.279,00:27:57,1, 0.363, 0.939,0
-1,1021,1110,15.556,00:27:58,1, 0.386, 0.937,0
-1,1011,1100,14.142,00:27:59,1, 0.395, 0.937,0
1, 999,1090,15.620,00:28:00,1, 0.376, 0.954,0
1, 987,1080,15.620,00:28:01,1, 0.373, 0.955,0
1, 976,1070,14.866,00:28:02,1, 0.387, 0.955,0
1, 964,1061,15.000,00:28:03,1, 0.383, 0.955,0
1, 953,1051,14.866,00:28:04,1, 0.372, 0.955,0
1, 942,1040,15.556,00:28:05,1, 0.374, 0.955,0
1, 934,1027,15.264,00:28:06,1, 0.366, 0.957,0
1, 924,1016,-1.000,00:28:07,1, 0.333, 0.949,0
1, 911,1007,-1.000,00:28:08,1, 0.342, 0.946,0
1, 898, 999,-1.000,00:28:09,1, 0.339, 0.956,0
1, 886, 990,-1.000,00:28:10,1, 0.334, 0.956,0
1, 878, 984,-1.000,00:28:11,1, 0.332, 0.958,0
1, 868, 974,-1.000,00:28:12,1, 0.337, 0.958,0
1, 858, 962,-1.000,00:28:13,1, 0.314, 0.958,0
1, 849, 951,-1.000,00:28:14,1, 0.329, 0.959,0
1, 839, 939,-1.000,00:28:15,1, 0.319, 0.957,0
1, 832, 925,-1.000,00:28:16,1, 0.292, 0.957,0
1, 828, 911,-1.000,00:28:17,1, 0.311, 0.958,0
1, 824, 897,-1.000,00:28:18,1, 0.298, 0.960,0
1, 815, 884,-1.000,00:28:19,1, 0.279, 0.957,0
1, 807, 873,-1.000,00:28:20,0, 0.317, 0.948,0
1, 805, 873,-1.000,00:28:21,0, 0.323, 0.959,0
1, 805, 872,-1.000,00:28:22,0, 0.324, 0.957,0
1, 805, 873,-1.000,00:28:22,0, 0.323, 0.947,0
1, 805, 872,-1.000,00:28:23,0, 0.315, 0.962,0
1, 805, 872,-1.000,00:28:24,0, 0.320, 0.955,0
1, 805, 872,-1.000,00:28:25,0, 0.328, 0.959,0
1, 805, 872,-1.000,00:28:26,0, 0.320, 0.956,0
1, 805, 872,-1.000,00:28:27,0, 0.324, 0.958,0
1, 804, 873,-1.000,00:28:28,0, 0.330, 0.955,0
1, 804, 872,-1.000,00:28:29,0, 0.323, 0.957,0
1, 805, 869,-1.000,00:28:30,0, 0.327, 0.957,0
1, 805, 872,-1.000,00:28:31,0, 0.320, 0.959,0
1, 806, 873,-1.000,00:28:32,0, 0.319, 0.959,0
1, 809, 874,-1.000,00:28:33,0, 0.312, 0.955,0
1, 812, 873,-1.000,00:28:34,0, 0.306, 0.960,0
1, 813, 870,-1.000,00:28:35,0, 0.302, 0.961,0
1, 813, 870,-1.000,00:28:37,0, 0.302, 0.958,0
1, 814, 870,-1.000,00:28:38,0, 0.301, 0.957,0
1, 813, 869,-1.000,00:28:39,0, 0.303, 0.958,0
1, 814, 869,-1.000,00:28:40,0, 0.304, 0.960,0
1, 815, 870,-1.000,00:28:41,0, 0.307, 0.960,0
1, 817, 871,-1.000,00:28:42,0, 0.301, 0.959,0
1, 815, 871,-1.000,00:28:43,0, 0.299, 0.956,0
1, 814, 870,-1.000,00:28:44,0, 0.305, 0.952,0
1, 815, 870,-1.000,00:28:45,0, 0.301, 0.959,0
1, 815, 869,-1.000,00:28:46,0, 0.296, 0.959,0
1, 815, 869,-1.000,00:28:47,0, 0.298, 0.960,0
1, 814, 870,-1.000,00:28:48,0, 0.305, 0.959,0
1, 812, 869,-1.000,00:28:49,0, 0.308, 0.959,0
1, 812, 869,-1.000,00:28:50,0, 0.312, 0.956,0
1, 812, 868,-1.000,00:28:51,0, 0.306, 0.958,0
1, 813, 868,-1.000,00:28:52,0, 0.304, 0.958,0
1, 814, 868,-1.000,00:28:52,0, 0.305, 0.955,0
1, 814, 868,-1.000,00:28:53,0, 0.305, 0.955,0
1, 814, 868,-1.000,00:28:54,0, 0.307, 0.949,0
-1, 814, 868,-1.000,00:28:55,0, 0.304, 0.946,0
1, 815, 868,-1.000,00:28:56,0, 0.303, 0.954,0
1, 816, 869,-1.000,00:28:57,0, 0.301, 0.954,0
1, 814, 868,-1.000,00:28:58,0, 0.310, 0.961,0
1, 812, 870,-1.000,00:28:59,0, 0.308, 0.961,0
1, 812, 871,-1.000,00:29:00,0, 0.280, 0.955,0
1, 813, 872,-1.000,00:29:01,0, 0.272, 0.955,0
1, 813, 872,-1.000,00:29:02,0, 0.277, 0.956,0
1, 812, 873,-1.000,00:29:03,0, 0.282, 0.957,0
1, 809, 875,-1.000,00:29:04,0, 0.285, 0.955,0
1, 809, 874,-1.000,00:29:05,0, 0.290, 0.953,0
1, 809, 874,-1.000,00:29:06,0, 0.289, 0.954,0
1, 806, 873,-1.000,00:29:07,0, 0.293, 0.957,0
1, 805, 873,-1.000,00:29:08,0, 0.285, 0.955,0
1, 804, 870,-1.000,00:29:09,0, 0.299, 0.959,0
1, 804, 869,-1.000,00:29:10,0, 0.295, 0.961,0
1, 805, 868,-1.000,00:29:11,0, 0.287, 0.960,0
1, 806, 866,-1.000,00:29:12,0, 0.290, 0.953,0
1, 807, 863,-1.000,00:29:13,0, 0.296, 0.952,0
-1, 810, 860,-1.000,00:29:14,0, 0.272, 0.945,0
1, 812, 856,-1.000,00:29:15,0, 0.265, 0.956,0
1, 814, 852,-1.000,00:29:16,0, 0.248, 0.950,0
1, 816, 856,-1.000,00:29:17,0, 0.246, 0.957,0
1, 819, 853,-1.000,00:29:18,0, 0.246, 0.959,0
1, 823, 851,-1.000,00:29:19,0, 0.244, 0.954,0
1, 824, 847,-1.000,00:29:20,0, 0.246, 0.960,0
1, 825, 843,-1.000,00:29:21,0, 0.251, 0.955,0
1, 827, 840,-1.000,00:29:22,0, 0.259, 0.957,0
1, 828, 836,-1.000,00:29:23,0, 0.269, 0.957,0
1, 828, 832,-1.000,00:29:23,0, 0.267, 0.957,0
1, 829, 830,-1.000,00:29:24,0, 0.261, 0.959,0
-1, 829, 826,-1.000,00:29:25,0, 0.253, 0.941,0
-1, 829, 822,-1.000,00:29:26,0, 0.251, 0.934,0
1, 830, 818,-1.000,00:29:27,0, 0.249, 0.953,0
1, 832, 815,-1.000,00:29:28,0, 0.250, 0.955,0
1, 834, 811,-1.000,00:29:29,0, 0.242, 0.957,0
-1, 834, 807,-1.000,00:29:30,0, 0.245, 0.946,0
-1, 835, 803,-1.000,00:29:31,0, 0.250, 0.944,0
1, 835, 798,-1.000,00:29:32,0, 0.262, 0.951,0
1, 834, 794,-1.000,00:29:33,0, 0.257, 0.952,0
1, 833, 790,-1.000,00:29:34,0, 0.265, 0.948,0
1, 831, 786,-1.000,00:29:35,0, 0.269, 0.954,0
1, 829, 782,-1.000,00:29:36,0, 0.278, 0.950,0
1, 828, 779,-1.000,00:29:37,0, 0.290, 0.951,0
-1, 826, 775,-1.000,00:29:38,0, 0.313, 0.944,0
1, 826, 773,-1.000,00:29:39,0, 0.318, 0.956,0
1, 827, 770,-1.000,00:29:40,0, 0.329, 0.952,0
1, 829, 774,-1.000,00:29:41,0, 0.303, 0.950,0
1, 832, 776,-1.000,00:29:42,0, 0.292, 0.953,0
1, 836, 778,-1.000,00:29:43,0, 0.276, 0.954,0
1, 840, 780,-1.000,00:29:44,0, 0.267, 0.955,0
1, 843, 783,-1.000,00:29:45,0, 0.260, 0.953,0
1, 847, 785,-1.000,00:29:46,0, 0.269, 0.956,0
1, 850, 787,-1.000,00:29:47,0, 0.247, 0.954,0
1, 854, 789,-1.000,00:29:48,0, 0.240, 0.956,0
1, 858, 791,-1.000,00:29:49,0, 0.242, 0.951,0
1, 861, 794,-1.000,00:29:50,0, 0.241, 0.955,0
1, 864, 796,-1.000,00:29:51,0, 0.252, 0.951,0
1, 860, 797,-1.000,00:29:52,0, 0.260, 0.952,0
-1, 864, 798,-1.000,00:29:53,0, 0.276, 0.940,0
1, 868, 798,-1.000,00:29:53,0, 0.276, 0.956,0
1, 872, 797,-1.000,00:29:54,0, 0.285, 0.955,0
-1, 876, 796,-1.000,00:29:55,0, 0.293, 0.941,0
1, 880, 797,-1.000,00:29:56,0, 0.290, 0.953,0
1, 884, 797,-1.000,00:29:57,0, 0.290, 0.955,0
1, 888, 799,-1.000,00:29:58,0, 0.297, 0.955,0
-1, 891, 801,-1.000,00:29:59,0, 0.307, 0.941,0
1, 894, 800,-1.000,00:30:00,0, 0.298, 0.955,0
1, 897, 797,-1.000,00:30:01,0, 0.303, 0.956,0
1, 901, 796,-1.000,00:30:02,0, 0.308, 0.954,0
1, 905, 797,-1.000,00:30:03,0, 0.305, 0.955,0
1, 905, 801,-1.000,00:30:04,0, 0.299, 0.949,0
1, 905, 805,-1.000,00:30:05,0, 0.301, 0.954,0
1, 909, 807,-1.000,00:30:06,0, 0.298, 0.951,0
1, 913, 809,-1.000,00:30:07,0, 0.302, 0.951,0
1, 914, 808,-1.000,00:30:08,0, 0.307, 0.954,0
1, 915, 809,-1.000,00:30:09,0, 0.302, 0.958,0
1, 917, 811,-1.000,00:30:10,0, 0.316, 0.948,0
1, 919, 813,-1.000,00:30:11,0, 0.316, 0.960,0
1, 918, 816,-1.000,00:30:12,0, 0.314, 0.957,0
1, 918, 819,-1.000,00:30:13,0, 0.308, 0.955,0
1, 915, 821,-1.000,00:30:14,0, 0.308, 0.961,0
1, 911, 823,-1.000,00:30:15,0, 0.309, 0.961,0
1, 908, 825,-1.000,00:30:16,0, 0.315, 0.954,0
1, 904, 827,-1.000,00:30:17,0, 0.312, 0.956,0
1, 901, 828,-1.000,00:30:18,0, 0.316, 0.957,0
1, 900, 829,-1.000,00:30:19,0, 0.316, 0.953,0
1, 899, 830,-1.000,00:30:20,0, 0.318, 0.959,0
1, 895, 831,-1.000,00:30:21,0, 0.320, 0.954,0
1, 893, 833,-1.000,00:30:22,0, 0.327, 0.951,0
1, 893, 836,-1.000,00:30:23,0, 0.313, 0.953,0
1, 893, 838,-1.000,00:30:23,0, 0.311, 0.952,0
1, 892, 839,-1.000,00:30:24,0, 0.309, 0.953,0
1, 891, 840,-1.000,00:30:25,0, 0.308, 0.954,0
1, 890, 842,-1.000,00:30:26,0, 0.300, 0.953,0
1, 887, 844,-1.000,00:30:27,0, 0.289, 0.949,0
-1, 888, 847,-1.000,00:30:28,0, 0.282, 0.943,0
1, 888, 850,-1.000,00:30:29,0, 0.282, 0.947,0
1, 886, 854,-1.000,00:30:30,0, 0.277, 0.951,0
1, 885, 858,-1.000,00:30:31,0, 0.270, 0.955,0
1, 884, 862,-1.000,00:30:32,0, 0.272, 0.956,0
1, 892, 859,-1.000,00:30:33,0, 0.277, 0.954,0
1, 892, 863,-1.000,00:30:34,0, 0.293, 0.949,0
1, 891, 867,-1.000,00:30:35,0, 0.288, 0.957,0
