phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 163, 529,-1.000,01:06:28,0, 0.547, 0.972,0
0, 212, 565,60.803,01:06:29,0, 0.561, 0.971,0
0, 261, 602,61.400,01:06:30,0, 0.588, 0.971,0
0, 309, 639,60.605,01:06:31,0, 0.511, 0.971,0
0, 354, 669,54.083,01:06:32,0, 0.488, 0.978,0
0, 405, 707,63.600,01:06:33,0, 0.565, 0.963,0
0, 143, 601,-1.000,01:06:34,0, 0.137, 0.969,0
0, 505, 782,-1.000,01:06:35,0, 0.592, 0.970,0
0, 555, 819,62.201,01:06:36,0, 0.441, 0.970,0
0, 599, 857,-1.000,01:06:37,0, 0.288, 0.970,0
0, 647, 889,-1.000,01:06:38,0, 0.316, 0.977,0
0, 690, 924,-1.000,01:06:39,0, 0.355, 0.965,0
0, 740, 961,62.201,01:06:40,0, 0.367, 0.965,0
0, 790,1000,-1.000,01:06:41,0, 0.326, 0.966,0
0, 840,1037,-1.000,01:06:42,0, 0.270, 0.965,0
0, 888,1069,-1.000,01:06:43,0, 0.339, 0.966,0
0, 936,1105,-1.000,01:06:44,0, 0.391, 0.967,0
0, 987,1142,63.008,01:06:45,0, 0.424, 0.966,0
0,1034,1176,58.009,01:06:46,0, 0.365, 0.966,0
0,1080,1211,57.801,01:06:47,0, 0.415, 0.971,0
0,1127,1248,59.816,01:06:48,0, 0.421, 0.971,0
0,1173,1284,58.412,01:06:49,0, 0.411, 0.969,0
0,1187,1298,-1.000,01:06:50,1, 0.221, 0.970,0
0,1213,1303,-1.000,01:06:51,1, 0.456, 0.968,0
0,1230,1298,17.720,01:06:52,1, 0.414, 0.970,0
0,1245,1293,15.811,01:06:53,1, 0.396, 0.970,0
0,1258,1285,15.264,01:06:54,1, 0.393, 0.970,0
0,1273,1279,16.155,01:06:55,1, 0.401, 0.970,0
0,1289,1274,16.763,01:06:56,1, 0.412, 0.970,0
0,1303,1269,14.866,01:06:57,1, 0.403, 0.970,0
0,1317,1264,-1.000,01:06:58,1, 0.311, 0.970,0
0,1337,1260,-1.000,01:06:59,1, 0.422, 0.970,0
0,1353,1256,16.492,01:07:00,1, 0.437, 0.970,0
0,1368,1252,15.524,01:07:01,1, 0.427, 0.971,0
1,1384,1250,16.125,01:07:02,1, 0.448, 0.970,0
1,1400,1250,16.000,01:07:03,1, 0.420, 0.971,0
1,1416,1251,16.031,01:07:04,1, 0.416, 0.971,0
1,1430,1253,14.142,01:07:05,1, 0.392, 0.971,0
1,1444,1255,-1.000,01:07:06,1, 0.333, 0.970,0
1,1463,1256,-1.000,01:07:07,0, 0.394, 0.969,0
1,1479,1256,16.000,01:07:08,1, 0.372, 0.967,0
1,1496,1257,17.029,01:07:09,1, 0.403, 0.966,0
1,1512,1257,16.000,01:07:10,0, 0.398, 0.966,0
1,1529,1258,17.029,01:07:11,0, 0.367, 0.966,0
1,1544,1260,-1.000,01:07:11,0, 0.339, 0.969,0
1,1553,1261,-1.000,01:07:12,1, 0.336, 0.968,0
1,1562,1262,-1.000,01:07:13,1, 0.341, 0.973,0
1,1577,1263,-1.000,01:07:14,1, 0.374, 0.976,0
1,1593,1264,16.031,01:07:15,1, 0.394, 0.972,0
1,1607,1264,14.000,01:07:16,1, 0.446, 0.978,0
1,1623,1264,16.000,01:07:17,1, 0.479, 0.978,0
1,1638,1264,15.000,01:07:18,1, 0.495, 0.977,0
1,1653,1263,15.033,01:07:19,1, 0.520, 0.977,0
1,1667,1263,14.000,01:07:20,1, 0.523, 0.973,0
1,1681,1262,14.036,01:07:21,1, 0.513, 0.969,0
1,1695,1264,14.142,01:07:22,1, 0.521, 0.977,0
1,1709,1265,14.036,01:07:23,1, 0.494, 0.974,0
1,1723,1267,14.142,01:07:24,1, 0.496, 0.975,0
