phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1605,1728,-1.000,01:43:37,1, 0.703, 0.976,0
0,1603,1711,17.117,01:43:38,0, 0.732, 0.967,0
0,1604,1694,17.029,01:43:39,1, 0.732, 0.976,0
-1,1607,1678,16.279,01:43:40,0, 0.727, 0.946,0
0,1609,1662,16.125,01:43:41,0, 0.729, 0.955,0
0,1611,1648,14.142,01:43:42,1, 0.721, 0.976,0
0,1614,1634,14.318,01:43:43,1, 0.718, 0.972,0
0,1617,1621,13.342,01:43:44,1, 0.682, 0.974,0
0,1620,1610,11.402,01:43:45,1, 0.695, 0.971,0
0,1621,1598,12.042,01:43:46,1, 0.694, 0.974,0
0,1627,1586,13.416,01:43:47,1, 0.712, 0.973,0
0,1633,1572,15.232,01:43:48,1, 0.723, 0.972,0
0,1639,1557,16.155,01:43:49,1, 0.740, 0.971,0
0,1645,1542,16.155,01:43:50,1, 0.740, 0.969,0
0,1652,1527,16.553,01:43:51,1, 0.732, 0.964,0
0,1658,1512,16.155,01:43:52,1, 0.735, 0.964,0
0,1666,1499,15.264,01:43:53,1, 0.735, 0.964,0
0,1672,1484,16.155,01:43:54,1, 0.724, 0.965,0
0,1678,1470,15.232,01:43:55,1, 0.734, 0.964,0
0,1684,1455,16.155,01:43:56,1, 0.695, 0.964,0
0,1689,1441,14.866,01:43:57,1, 0.667, 0.962,0
0,1691,1428,13.153,01:43:58,1, 0.647, 0.962,0
0,1697,1419,10.817,01:43:59,1, 0.673, 0.962,0
0,1703,1405,15.232,01:44:00,1, 0.696, 0.982,0
0,1711,1391,16.125,01:44:01,1, 0.666, 0.979,0
0,1717,1376,16.155,01:44:02,1, 0.672, 0.981,0
0,1723,1362,15.232,01:44:03,1, 0.671, 0.982,0
0,1727,1348,14.560,01:44:04,1, 0.631, 0.979,0
0,1737,1337,14.866,01:44:05,1, 0.642, 0.980,0
1,1743,1323,15.232,01:44:06,1, 0.602, 0.978,0
1,1749,1308,16.155,01:44:07,1, 0.582, 0.979,0
1,1758,1296,15.000,01:44:08,1, 0.595, 0.974,0
1,1768,1284,15.620,01:44:09,1, 0.584, 0.979,0
1,1778,1271,16.401,01:44:10,1, 0.564, 0.980,0
1,1781,1264, 7.616,01:44:11,0, 0.566, 0.973,0
1,1782,1262, 2.236,01:44:12,0, 0.571, 0.976,0
1,1782,1264, 2.000,01:44:13,0, 0.569, 0.977,0
1,1782,1262, 2.000,01:44:14,0, 0.573, 0.978,0
1,1779,1260, 3.606,01:44:15,0, 0.576, 0.977,0
1,1775,1259, 4.123,01:44:16,0, 0.578, 0.977,0
1,1778,1257, 3.606,01:44:17,0, 0.572, 0.975,0
1,1781,1256, 3.162,01:44:18,0, 0.572, 0.978,0
1,1782,1256, 1.000,01:44:19,0, 0.571, 0.978,0
1,1779,1256, 3.000,01:44:20,0, 0.577, 0.976,0
1,1776,1258, 3.606,01:44:21,0, 0.582, 0.977,0
1,1778,1260, 2.828,01:44:22,0, 0.574, 0.976,0
1,1777,1263, 3.162,01:44:23,0, 0.582, 0.977,0
1,1774,1263, 3.000,01:44:24,0, 0.573, 0.974,0
1,1774,1263, 0.000,01:44:25,0, 0.573, 0.975,0
1,1772,1265, 2.828,01:44:26,0, 0.570, 0.975,0
1,1774,1268, 3.606,01:44:27,0, 0.568, 0.977,0
1,1772,1265, 3.606,01:44:28,0, 0.564, 0.980,0
1,1776,1262, 5.000,01:44:31,0, 0.575, 0.981,0
1,1778,1260, 2.828,01:44:32,0, 0.574, 0.972,0
1,1782,1259, 4.123,01:44:33,0, 0.570, 0.976,0
1,1786,1259, 4.000,01:44:34,0, 0.563, 0.977,0
1,1786,1262, 3.000,01:44:35,0, 0.568, 0.965,0
1,1786,1262, 0.000,01:44:36,0, 0.561, 0.977,0
1,1786,1259, 3.000,01:44:37,0, 0.563, 0.976,0
1,1783,1258, 3.162,01:44:38,0, 0.569, 0.977,0
1,1783,1258, 0.000,01:44:39,0, 0.566, 0.976,0
