phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 143, 372,-1.000,02:33:33,0, 0.335, 0.963,1
0,1776,1646,-1.000,02:33:34,0, 0.341, 0.964,0
0,1828,1447,-1.000,02:33:35,0, 0.551, 0.961,0
0,1775,1423,58.181,02:33:36,0, 0.519, 0.974,0
0,1722,1395,59.942,02:33:37,0, 0.518, 0.972,0
1,1173, 181,-1.000,02:33:38,0, 0.210, 0.957,0
1,1173, 181,-1.000,02:33:39,0, 0.229, 0.956,0
1, 143,1499,-1.000,02:33:40,0, 0.234, 0.955,1
1, 488, 640,-1.000,02:33:41,0, 0.218, 0.954,0
1, 488, 640,-1.000,02:33:42,0, 0.201, 0.954,0
1, 488, 640,-1.000,02:33:43,0, 0.187, 0.954,0
0,1357,1193,-1.000,02:33:44,0, 0.336, 0.969,0
0,1306,1163,-1.000,02:33:45,0, 0.384, 0.969,0
0,1251,1135,61.717,02:33:46,0, 0.381, 0.966,0
0,1226,1119,29.682,02:33:47,1, 0.409, 0.967,0
0,1211,1125,16.155,02:33:48,1, 0.434, 0.964,0
0,1193,1132,19.313,02:33:49,1, 0.416, 0.963,0
0,1177,1140,17.889,02:33:50,1, 0.422, 0.964,0
0,1162,1146,16.155,02:33:51,1, 0.448, 0.966,0
0,1146,1153,17.464,02:33:52,1, 0.448, 0.964,0
0,1130,1161,17.889,02:33:53,1, 0.468, 0.964,0
0,1115,1169,17.000,02:33:54,1, 0.459, 0.964,0
0,1102,1178,15.811,02:33:55,1, 0.453, 0.964,0
0,1088,1187,16.643,02:33:56,1, 0.405, 0.966,0
0,1079,1194,11.402,02:33:57,1, 0.403, 0.964,0
0,1064,1200,16.155,02:33:58,1, 0.448, 0.966,0
0,1050,1206,15.232,02:33:59,1, 0.452, 0.967,0
0,1037,1213,14.765,02:34:00,1, 0.467, 0.967,0
0,1025,1223,15.620,02:34:01,1, 0.459, 0.967,0
0,1012,1233,16.401,02:34:02,1, 0.486, 0.966,0
0,1000,1241,14.422,02:34:03,1, 0.473, 0.966,0
0, 987,1251,16.401,02:34:04,1, 0.499, 0.967,0
0, 976,1261,14.866,02:34:05,1, 0.475, 0.968,0
0, 964,1272,16.279,02:34:06,1, 0.457, 0.972,0
0, 953,1282,14.866,02:34:07,1, 0.443, 0.973,0
1, 940,1290,15.264,02:34:08,1, 0.446, 0.972,0
1, 927,1299,15.811,02:34:09,1, 0.438, 0.974,0
1, 915,1308,15.000,02:34:10,1, 0.427, 0.975,0
1, 902,1317,15.811,02:34:11,1, 0.439, 0.973,0
1, 896,1328,12.530,02:34:12,1, 0.437, 0.973,0
1, 882,1335,15.652,02:34:13,1, 0.434, 0.974,0
1, 868,1342,15.652,02:34:14,1, 0.421, 0.974,0
1, 856,1348,13.416,02:34:15,1, 0.416, 0.970,0
1, 845,1356,13.601,02:34:16,1, 0.406, 0.967,0
1, 834,1364,13.601,02:34:17,1, 0.431, 0.967,0
1, 824,1374,14.142,02:34:18,1, 0.445, 0.971,0
1, 814,1383,13.454,02:34:19,1, 0.433, 0.972,0
1, 801,1391,15.264,02:34:20,1, 0.387, 0.970,0
1, 794,1392, 7.071,02:34:20,1, 0.393, 0.969,0
1, 781,1400,15.264,02:34:21,1, 0.397, 0.969,0
1, 769,1409,15.000,02:34:22,1, 0.400, 0.971,0
1, 757,1419,15.620,02:34:23,1, 0.422, 0.974,0
1, 745,1428,15.000,02:34:24,1, 0.463, 0.973,0
1, 730,1433,15.811,02:34:25,1, 0.499, 0.970,0
1, 717,1439,14.318,02:34:26,1, 0.482, 0.974,0
1, 703,1446,15.652,02:34:27,1, 0.510, 0.974,0
1, 691,1451,13.000,02:34:28,1, 0.524, 0.976,0
1, 677,1454,14.318,02:34:29,1, 0.551, 0.973,0
1, 666,1461,13.038,02:34:30,1, 0.590, 0.963,0
1, 666,1471,10.000,02:34:31,1, 0.586, 0.970,0
1, 665,1472, 1.414,02:34:32,0, 0.589, 0.971,0
1, 661,1471, 4.123,02:34:33,0, 0.592, 0.967,0
1, 659,1471, 2.000,02:34:34,0, 0.581, 0.970,0
1, 659,1473, 2.000,02:34:35,0, 0.587, 0.966,0
1, 660,1476, 3.162,02:34:36,0, 0.578, 0.971,0
1, 660,1480, 4.000,02:34:37,0, 0.594, 0.965,0
1, 659,1480, 1.000,02:34:38,0, 0.583, 0.971,0
1, 660,1477, 3.162,02:34:39,0, 0.588, 0.963,0
1, 661,1476, 1.414,02:34:40,0, 0.585, 0.972,0
1, 660,1475, 1.414,02:34:41,0, 0.584, 0.964,0
1, 660,1474, 1.000,02:34:42,0, 0.591, 0.965,0
1, 660,1475, 1.000,02:34:43,0, 0.587, 0.971,0
1, 658,1478, 3.606,02:34:44,0, 0.589, 0.976,0
1, 656,1480, 2.828,02:34:45,0, 0.610, 0.959,0
1, 655,1479, 1.414,02:34:46,0, 0.595, 0.961,0
1, 657,1476, 3.606,02:34:47,0, 0.598, 0.974,0
1, 659,1474, 2.828,02:34:48,0, 0.578, 0.970,0
1, 661,1473, 2.236,02:34:49,0, 0.596, 0.964,0
1, 659,1473, 2.000,02:34:50,0, 0.579, 0.959,0
1, 658,1471, 2.236,02:34:51,0, 0.618, 0.964,0
1, 658,1471, 0.000,02:34:52,0, 0.590, 0.973,0
1, 656,1474, 3.606,02:34:53,0, 0.595, 0.972,0
1, 654,1474, 2.000,02:34:54,0, 0.578, 0.974,0
1, 653,1474, 1.000,02:34:55,0, 0.582, 0.973,0
1, 653,1474, 0.000,02:34:56,0, 0.573, 0.976,0
1, 653,1474, 0.000,02:34:57,0, 0.570, 0.974,0
1, 652,1474, 1.000,02:34:58,0, 0.580, 0.971,0
1, 648,1474, 4.000,02:34:59,0, 0.592, 0.971,0
1, 649,1477, 3.162,02:35:00,0, 0.595, 0.972,0
1, 648,1476, 1.414,02:35:01,0, 0.595, 0.969,0
1, 645,1475, 3.162,02:35:02,0, 0.575, 0.974,0
1, 645,1473, 2.000,02:35:03,0, 0.580, 0.974,0
1, 645,1474, 1.000,02:35:04,0, 0.584, 0.975,0
1, 645,1472, 2.000,02:35:05,0, 0.589, 0.970,0
1, 645,1472, 0.000,02:35:06,0, 0.579, 0.970,0
1, 645,1473, 1.000,02:35:07,0, 0.588, 0.971,0
1, 644,1472, 1.414,02:35:07,0, 0.586, 0.970,0
1, 641,1472, 3.000,02:35:08,0, 0.572, 0.974,0
1, 642,1473, 1.414,02:35:09,0, 0.567, 0.965,0
1, 639,1472, 3.162,02:35:10,0, 0.557, 0.974,0
1, 638,1472, 1.000,02:35:11,0, 0.571, 0.973,0
1, 638,1470, 2.000,02:35:12,0, 0.558, 0.970,0
1, 634,1468, 4.472,02:35:13,0, 0.570, 0.972,0
1, 630,1466, 4.472,02:35:14,0, 0.574, 0.972,0
1, 626,1465, 4.123,02:35:15,0, 0.565, 0.969,0
1, 622,1463, 4.472,02:35:16,0, 0.573, 0.972,0
1, 618,1463, 4.000,02:35:17,0, 0.569, 0.971,0
1, 614,1463, 4.000,02:35:18,0, 0.558, 0.971,0
1, 610,1465, 4.472,02:35:19,0, 0.576, 0.969,0
1, 607,1467, 3.606,02:35:20,0, 0.579, 0.968,0
1, 604,1467, 3.000,02:35:21,0, 0.585, 0.970,0
1, 601,1469, 3.606,02:35:22,0, 0.578, 0.972,0
1, 600,1468, 1.414,02:35:23,0, 0.580, 0.972,0
1, 600,1468, 0.000,02:35:24,0, 0.558, 0.971,0
1, 601,1469, 1.414,02:35:25,0, 0.575, 0.967,0
1, 604,1470, 3.162,02:35:26,0, 0.582, 0.970,0
1, 605,1468, 2.236,02:35:27,0, 0.587, 0.972,0
1, 605,1469, 1.000,02:35:28,0, 0.554, 0.973,0
1, 604,1469, 1.000,02:35:29,0, 0.564, 0.973,0
1, 604,1469, 0.000,02:35:30,0, 0.570, 0.971,0
1, 604,1470, 1.000,02:35:31,0, 0.575, 0.970,0
1, 602,1471, 2.236,02:35:32,0, 0.573, 0.969,0
1, 600,1471, 2.000,02:35:33,0, 0.578, 0.969,0
1, 600,1471, 0.000,02:35:34,0, 0.575, 0.969,0
1, 600,1470, 1.000,02:35:35,0, 0.570, 0.967,0
1, 598,1470, 2.000,02:35:36,0, 0.572, 0.968,0
1, 598,1473, 3.000,02:35:37,0, 0.580, 0.966,0
1, 599,1476, 3.162,02:35:38,0, 0.574, 0.967,0
1, 597,1479, 3.606,02:35:39,0, 0.588, 0.965,0
1, 597,1483, 4.000,02:35:40,0, 0.582, 0.969,0
1, 597,1487, 4.000,02:35:41,0, 0.603, 0.961,0
1, 597,1490, 3.000,02:35:42,0, 0.582, 0.973,0
1, 598,1490, 1.000,02:35:43,0, 0.600, 0.968,0
1, 599,1490, 1.000,02:35:44,0, 0.593, 0.967,0
1, 599,1490, 0.000,02:35:45,0, 0.592, 0.964,0
1, 600,1491, 1.414,02:35:46,0, 0.602, 0.967,0
1, 603,1490, 3.162,02:35:47,0, 0.603, 0.967,0
1, 604,1490, 1.000,02:35:48,0, 0.578, 0.969,0
1, 605,1490, 1.000,02:35:49,0, 0.579, 0.963,0
1, 606,1489, 1.414,02:35:50,0, 0.580, 0.971,0
1, 605,1490, 1.414,02:35:51,0, 0.585, 0.966,0
1, 604,1490, 1.000,02:35:52,0, 0.571, 0.970,0
1, 605,1490, 1.000,02:35:53,0, 0.568, 0.966,0
1, 605,1490, 0.000,02:35:54,0, 0.571, 0.970,0
1, 605,1490, 0.000,02:35:54,0, 0.582, 0.970,0
1, 604,1490, 1.000,02:35:55,0, 0.584, 0.974,0
1, 603,1490, 1.000,02:35:56,0, 0.576, 0.977,0
1, 603,1490, 0.000,02:35:57,0, 0.575, 0.969,0
1, 603,1491, 1.000,02:35:58,0, 0.588, 0.964,0
1, 603,1490, 1.000,02:35:59,0, 0.592, 0.971,0
1, 603,1490, 0.000,02:36:00,0, 0.582, 0.971,0
1, 603,1490, 0.000,02:36:01,0, 0.571, 0.977,0
1, 603,1491, 1.000,02:36:02,0, 0.569, 0.966,0
1, 603,1491, 0.000,02:36:03,0, 0.578, 0.968,0
1, 602,1492, 1.414,02:36:04,0, 0.605, 0.968,0
1, 600,1492, 2.000,02:36:05,0, 0.601, 0.970,0
1, 599,1492, 1.000,02:36:06,0, 0.577, 0.971,0
1, 597,1493, 2.236,02:36:07,0, 0.590, 0.962,0
1, 598,1497, 4.123,02:36:08,0, 0.606, 0.970,0
1, 596,1499, 2.828,02:36:09,0, 0.606, 0.967,0
1, 593,1502, 4.243,02:36:10,0, 0.605, 0.962,0
1, 591,1506, 4.472,02:36:11,0, 0.615, 0.963,0
1, 588,1509, 4.243,02:36:12,0, 0.597, 0.961,0
1, 586,1512, 3.606,02:36:13,0, 0.605, 0.966,0
1, 585,1517, 5.099,02:36:14,0, 0.614, 0.965,0
1, 588,1519, 3.606,02:36:15,0, 0.638, 0.961,0
1, 591,1518, 3.162,02:36:16,0, 0.614, 0.969,0
1, 593,1517, 2.236,02:36:17,1, 0.617, 0.969,0
1, 597,1516, 4.123,02:36:18,0, 0.588, 0.953,0
