phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 198, 193,-1.000,03:34:02,0, 0.264, 0.970,1
0, 162,1048,-1.000,03:34:03,0, 0.491, 0.967,0
0, 223,1044,61.131,03:34:04,0, 0.466, 0.967,0
0, 278,1042,55.036,03:34:05,0, 0.409, 0.969,0
0, 280,1050, 8.246,03:34:06,1, 0.398, 0.970,0
0, 290,1063,16.401,03:34:07,1, 0.417, 0.970,0
0, 300,1076,16.401,03:34:08,1, 0.419, 0.970,0
0, 311,1088,16.279,03:34:09,1, 0.415, 0.971,0
0, 323,1099,16.279,03:34:10,1, 0.438, 0.970,0
0, 334,1110,15.556,03:34:11,1, 0.438, 0.970,0
0, 344,1121,14.866,03:34:12,1, 0.465, 0.970,0
0, 356,1132,16.279,03:34:13,1, 0.476, 0.971,0
0, 367,1143,15.556,03:34:14,1, 0.459, 0.972,0
0, 377,1154,14.866,03:34:15,1, 0.441, 0.971,0
0, 388,1165,15.556,03:34:16,1, 0.445, 0.972,0
0, 399,1175,14.866,03:34:17,1, 0.428, 0.971,0
0, 409,1186,14.866,03:34:18,1, 0.423, 0.970,0
0, 419,1196,14.142,03:34:19,1, 0.436, 0.971,0
0, 430,1206,14.866,03:34:20,1, 0.419, 0.971,0
0, 440,1217,14.866,03:34:21,1, 0.400, 0.966,0
0, 450,1231,-1.000,03:34:22,1, 0.342, 0.959,0
0, 458,1238,-1.000,03:34:22,1, 0.343, 0.962,0
0, 463,1251,-1.000,03:34:23,1, 0.420, 0.965,0
0, 471,1263,14.422,03:34:24,1, 0.445, 0.964,0
0, 480,1276,15.811,03:34:25,1, 0.485, 0.963,0
0, 489,1288,15.000,03:34:26,1, 0.503, 0.963,0
0, 498,1300,15.000,03:34:27,1, 0.480, 0.965,0
0, 507,1312,15.000,03:34:28,1, 0.467, 0.966,0
0, 516,1325,15.811,03:34:29,1, 0.433, 0.965,0
0, 524,1337,14.422,03:34:30,1, 0.430, 0.964,0
0, 532,1350,15.264,03:34:31,1, 0.411, 0.964,0
0, 538,1364,15.232,03:34:32,1, 0.402, 0.964,0
0, 544,1376,13.416,03:34:33,1, 0.411, 0.964,0
1, 546,1383, 7.280,03:34:34,1, 0.426, 0.968,0
1, 554,1397,16.125,03:34:35,1, 0.429, 0.969,0
1, 561,1409,13.892,03:34:36,1, 0.450, 0.970,0
1, 570,1423,16.643,03:34:37,1, 0.487, 0.970,0
1, 580,1434,14.866,03:34:38,1, 0.515, 0.969,0
