phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 619,1448,-1.000,00:04:08,1, 0.496, 0.971,0
0, 643,1446,23.195,00:04:09,1, 0.510, 0.973,0
0, 660,1443,17.263,00:04:10,1, 0.514, 0.974,0
0, 678,1441,18.111,00:04:11,1, 0.498, 0.973,0
0, 696,1438,18.248,00:04:12,1, 0.495, 0.971,0
0, 714,1436,18.111,00:04:13,1, 0.513, 0.970,0
0, 728,1433,-1.000,00:04:14,1, 0.326, 0.970,0
0, 749,1430,-1.000,00:04:15,1, 0.486, 0.968,0
0, 767,1427,18.248,00:04:16,1, 0.451, 0.969,0
0, 784,1425,17.117,00:04:17,1, 0.454, 0.971,0
0, 801,1422,17.263,00:04:18,1, 0.431, 0.971,0
0, 818,1420,17.117,00:04:19,1, 0.419, 0.976,0
0, 827,1423, 9.487,00:04:20,1, 0.430, 0.978,0
0, 841,1421,14.142,00:04:21,1, 0.466, 0.964,0
0, 855,1419,14.142,00:04:22,1, 0.474, 0.964,0
0, 869,1416,14.318,00:04:23,1, 0.461, 0.967,0
0, 883,1410,15.232,00:04:24,1, 0.431, 0.957,0
0, 897,1411,14.036,00:04:25,1, 0.429, 0.959,0
0, 911,1412,14.036,00:04:26,1, 0.401, 0.964,0
0, 925,1411,14.036,00:04:27,1, 0.387, 0.964,0
1, 939,1412,14.036,00:04:28,1, 0.369, 0.970,0
1, 953,1411,14.036,00:04:29,1, 0.356, 0.973,0
1, 967,1411,14.000,00:04:30,1, 0.379, 0.979,0
1, 981,1410,14.036,00:04:31,1, 0.381, 0.979,0
1, 995,1409,14.036,00:04:32,1, 0.388, 0.978,0
1,1009,1408,14.036,00:04:33,1, 0.379, 0.978,0
1,1023,1408,14.000,00:04:34,1, 0.362, 0.979,0
1,1037,1409,14.036,00:04:35,1, 0.381, 0.980,0
1,1051,1414,14.866,00:04:36,1, 0.366, 0.979,0
1,1065,1417,14.318,00:04:37,1, 0.383, 0.979,0
1,1079,1422,14.866,00:04:37,1, 0.363, 0.979,0
1,1093,1425,14.318,00:04:38,1, 0.363, 0.977,0
1,1107,1423,-1.000,00:04:39,1, 0.343, 0.978,0
1,1142,1421,-1.000,00:04:40,1, 0.643, 0.978,0
1,1153,1417,11.705,00:04:41,1, 0.642, 0.979,0
1,1166,1412,13.928,00:04:42,1, 0.645, 0.979,0
1,1179,1407,13.928,00:04:43,1, 0.639, 0.980,0
1,1192,1403,13.601,00:04:44,1, 0.619, 0.979,0
1,1205,1396,14.765,00:04:45,1, 0.621, 0.977,0
1,1219,1389,15.652,00:04:46,1, 0.634, 0.980,0
1,1232,1384,13.928,00:04:47,1, 0.611, 0.979,0
1,1246,1379,14.866,00:04:48,1, 0.576, 0.976,0
1,1257,1376,11.402,00:04:49,1, 0.562, 0.979,0
1,1268,1373,11.402,00:04:50,1, 0.548, 0.978,0
1,1269,1373, 1.000,00:04:51,0, 0.556, 0.979,0
1,1269,1371, 2.000,00:04:52,0, 0.555, 0.980,0
1,1269,1369, 2.000,00:04:53,0, 0.551, 0.976,0
1,1271,1366, 3.606,00:04:54,0, 0.553, 0.980,0
1,1271,1364, 2.000,00:04:55,0, 0.545, 0.976,0
1,1270,1368, 4.123,00:04:56,0, 0.554, 0.979,0
1,1274,1366, 4.472,00:04:57,0, 0.562, 0.979,0
1,1273,1365, 1.414,00:04:58,0, 0.560, 0.978,0
1,1272,1365, 1.000,00:04:59,0, 0.549, 0.979,0
1,1271,1365, 1.000,00:05:00,0, 0.552, 0.978,0
1,1270,1364, 1.414,00:05:01,0, 0.562, 0.980,0
1,1270,1364, 0.000,00:05:02,0, 0.560, 0.979,0
1,1270,1364, 0.000,00:05:03,0, 0.559, 0.978,0
1,1270,1364, 0.000,00:05:04,0, 0.558, 0.979,0
1,1271,1364, 1.000,00:05:05,0, 0.553, 0.972,0
1,1270,1365, 1.414,00:05:06,0, 0.558, 0.974,0
1,1270,1364, 1.000,00:05:07,0, 0.559, 0.976,0
1,1270,1364, 0.000,00:05:07,0, 0.557, 0.979,0
1,1270,1364, 0.000,00:05:08,0, 0.552, 0.978,0
1,1269,1364, 1.000,00:05:09,0, 0.545, 0.975,0
1,1269,1364, 0.000,00:05:10,0, 0.549, 0.975,0
1,1269,1364, 0.000,00:05:11,0, 0.550, 0.979,0
1,1269,1364, 0.000,00:05:12,0, 0.568, 0.978,0
1,1269,1364, 0.000,00:05:13,0, 0.551, 0.978,0
1,1269,1364, 0.000,00:05:14,0, 0.553, 0.978,0
1,1269,1364, 0.000,00:05:15,0, 0.549, 0.979,0
1,1269,1364, 0.000,00:05:16,0, 0.544, 0.978,0
