phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1525,1200,-1.000,00:04:19,1, 0.349, 0.974,0
0,1531,1202,-1.000,00:04:20,1, 0.356, 0.974,0
0,1531,1203,-1.000,00:04:21,1, 0.350, 0.979,0
0,1531,1205,-1.000,00:04:22,1, 0.363, 0.973,0
0,1531,1205, 0.000,00:04:23,0, 0.354, 0.967,0
0,1530,1206, 1.414,00:04:24,1, 0.351, 0.968,0
0,1530,1206, 0.000,00:04:25,1, 0.350, 0.973,0
0,1528,1207,-1.000,00:04:26,1, 0.347, 0.970,0
0,1528,1207,-1.000,00:04:27,1, 0.343, 0.965,0
0,1528,1207,-1.000,00:04:28,1, 0.339, 0.973,0
0,1539,1205,-1.000,00:04:29,1, 0.352, 0.976,0
0,1550,1195,14.866,00:04:30,1, 0.383, 0.970,0
0,1561,1185,14.866,00:04:30,1, 0.414, 0.964,0
0,1572,1175,14.866,00:04:31,1, 0.396, 0.963,0
0,1583,1165,14.866,00:04:32,1, 0.410, 0.972,0
0,1594,1155,14.866,00:04:33,1, 0.449, 0.964,0
0,1604,1145,14.142,00:04:34,1, 0.479, 0.963,0
0,1615,1135,14.866,00:04:35,1, 0.502, 0.963,0
1,1626,1125,14.866,00:04:36,1, 0.539, 0.975,0
1,1636,1115,14.142,00:04:37,0, 0.549, 0.977,0
1,1648,1106,15.000,00:04:38,1, 0.567, 0.970,0
1,1655,1093,14.765,00:04:39,1, 0.556, 0.975,0
1,1651,1084, 9.849,00:04:40,1, 0.570, 0.976,0
1,1636,1086,15.133,00:04:41,1, 0.563, 0.976,0
1,1626,1097,14.866,00:04:42,1, 0.567, 0.978,0
1,1615,1100,11.402,00:04:43,1, 0.541, 0.976,0
1,1610,1100, 5.000,00:04:44,0, 0.548, 0.976,0
1,1610,1099, 1.000,00:04:45,0, 0.541, 0.978,0
1,1609,1099, 1.000,00:04:46,0, 0.547, 0.972,0
1,1609,1099, 0.000,00:04:47,0, 0.542, 0.977,0
1,1608,1096, 3.162,00:04:48,0, 0.515, 0.978,0
1,1610,1096, 2.000,00:04:49,0, 0.521, 0.978,0
1,1611,1096, 1.000,00:04:50,0, 0.533, 0.979,0
1,1614,1099, 4.243,00:04:51,0, 0.512, 0.980,0
1,1615,1099, 1.000,00:04:52,0, 0.519, 0.979,0
1,1617,1096, 3.606,00:04:53,0, 0.530, 0.978,0
1,1616,1095, 1.414,00:04:54,0, 0.538, 0.979,0
1,1616,1095, 0.000,00:04:55,0, 0.544, 0.980,0
1,1616,1095, 0.000,00:04:56,0, 0.543, 0.981,0
1,1617,1096, 1.414,00:04:57,0, 0.548, 0.979,0
1,1617,1095, 1.000,00:04:58,0, 0.549, 0.978,0
1,1617,1095, 0.000,00:04:59,0, 0.546, 0.980,0
1,1617,1095, 0.000,00:05:00,0, 0.548, 0.980,0
1,1617,1095, 0.000,00:05:00,0, 0.547, 0.980,0
1,1617,1095, 0.000,00:05:01,0, 0.550, 0.979,0
1,1617,1098, 3.000,00:05:02,0, 0.552, 0.979,0
1,1616,1101, 3.162,00:05:03,0, 0.543, 0.980,0
1,1616,1102, 1.000,00:05:04,0, 0.545, 0.979,0
1,1616,1102, 0.000,00:05:05,0, 0.546, 0.979,0
1,1617,1101, 1.414,00:05:06,0, 0.539, 0.977,0
1,1617,1101, 0.000,00:05:07,0, 0.539, 0.980,0
1,1618,1099, 2.236,00:05:08,0, 0.535, 0.978,0
1,1617,1098, 1.414,00:05:09,0, 0.534, 0.974,0
1,1617,1098, 0.000,00:05:10,0, 0.542, 0.979,0
1,1616,1097, 1.414,00:05:11,0, 0.552, 0.980,0
1,1615,1097, 1.000,00:05:12,0, 0.549, 0.978,0
