phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1504, 625,-1.000,01:15:49,0, 0.421, 0.971,0
0,1491, 684,60.415,01:15:50,0, 0.355, 0.970,0
0,1479, 739,-1.000,01:15:51,0, 0.343, 0.970,0
0,1467, 787,-1.000,01:15:52,1, 0.420, 0.970,0
-1,1159, 177,-1.000,01:15:52,0, 0.204, 0.939,0
-1,1159, 177,-1.000,01:15:53,0, 0.198, 0.943,0
0,1431, 805,-1.000,01:15:54,1, 0.370, 0.970,0
-1,1159, 177,-1.000,01:15:55,0, 0.206, 0.935,0
-1,1159, 177,-1.000,01:15:56,0, 0.197, 0.932,0
-1,1159, 177,-1.000,01:15:57,0, 0.195, 0.934,0
-1,1159, 177,-1.000,01:15:58,0, 0.202, 0.934,0
-1,1159, 177,-1.000,01:15:59,0, 0.210, 0.937,0
-1,1159, 177,-1.000,01:16:00,0, 0.203, 0.935,0
-1,1159, 177,-1.000,01:16:01,0, 0.210, 0.930,0
0,1298, 839,-1.000,01:16:02,1, 0.395, 0.968,0
0,1282, 843,16.492,01:16:03,1, 0.394, 0.967,0
0,1265, 847,17.464,01:16:04,1, 0.375, 0.966,0
0,1248, 851,17.464,01:16:05,1, 0.423, 0.966,0
0,1231, 855,17.464,01:16:06,1, 0.437, 0.967,0
0,1215, 859,16.492,01:16:07,1, 0.488, 0.967,0
0,1198, 863,17.464,01:16:08,1, 0.483, 0.964,0
0,1184, 868,14.866,01:16:09,1, 0.515, 0.966,0
0,1167, 873,17.720,01:16:10,1, 0.516, 0.965,0
0,1150, 876,17.263,01:16:11,1, 0.572, 0.964,0
0,1133, 878,17.117,01:16:12,1, 0.563, 0.967,0
1,1117, 880,16.125,01:16:13,1, 0.598, 0.971,0
1,1103, 882,14.142,01:16:14,1, 0.603, 0.969,0
1,1088, 885,15.297,01:16:15,0, 0.615, 0.968,0
1,1074, 888,14.318,01:16:16,1, 0.621, 0.964,0
1,1059, 884,15.524,01:16:17,1, 0.597, 0.963,0
1,1044, 883,15.033,01:16:18,1, 0.614, 0.975,0
1,1029, 884,15.033,01:16:19,1, 0.589, 0.974,0
1,1014, 884,15.000,01:16:20,1, 0.589, 0.970,0
1, 999, 885,15.033,01:16:21,1, 0.577, 0.969,0
1, 983, 885,16.000,01:16:22,1, 0.550, 0.970,0
1, 969, 885,14.000,01:16:22,1, 0.529, 0.973,0
1, 954, 882,15.297,01:16:23,1, 0.471, 0.974,0
1, 948, 878, 7.211,01:16:24,1, 0.466, 0.969,0
1, 933, 875,15.297,01:16:25,1, 0.466, 0.967,0
1, 918, 875,15.000,01:16:26,1, 0.468, 0.968,0
1, 903, 878,15.297,01:16:27,1, 0.463, 0.967,0
1, 889, 881,14.318,01:16:28,1, 0.464, 0.972,0
1, 874, 884,15.297,01:16:29,1, 0.483, 0.973,0
1, 859, 888,15.524,01:16:30,0, 0.464, 0.973,0
1, 846, 895,14.765,01:16:31,1, 0.472, 0.964,0
1, 840, 909,15.232,01:16:32,1, 0.484, 0.973,0
1, 828, 914,13.000,01:16:33,1, 0.481, 0.973,0
1, 830, 917, 3.606,01:16:34,1, 0.480, 0.975,0
1, 831, 921, 4.123,01:16:35,0, 0.483, 0.977,0
1, 833, 920, 2.236,01:16:36,0, 0.471, 0.974,0
1, 832, 917, 3.162,01:16:37,0, 0.479, 0.975,0
1, 832, 917, 0.000,01:16:38,0, 0.475, 0.975,0
1, 833, 917, 1.000,01:16:39,0, 0.482, 0.976,0
1, 833, 920, 3.000,01:16:40,0, 0.477, 0.973,0
1, 832, 921, 1.414,01:16:41,0, 0.468, 0.974,0
1, 834, 920, 2.236,01:16:42,0, 0.474, 0.973,0
1, 836, 921, 2.236,01:16:43,0, 0.480, 0.975,0
1, 837, 923, 2.236,01:16:44,0, 0.488, 0.976,0
1, 837, 925, 2.000,01:16:45,0, 0.488, 0.974,0
1, 837, 925, 0.000,01:16:46,0, 0.489, 0.976,0
1, 837, 926, 1.000,01:16:47,0, 0.484, 0.977,0
