phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1803,1629,-1.000,04:10:22,0, 0.607, 0.967,0
0,1742,1611,63.600,04:10:23,0, 0.602, 0.966,0
1,1735, 143,-1.000,04:10:24,0, 0.169, 0.951,1
1, 493, 649,-1.000,04:10:25,0, 0.192, 0.946,0
1,1549,1552,-1.000,04:10:26,0, 0.209, 0.946,0
1,1501,1547,-1.000,04:10:27,0, 0.200, 0.947,0
1,1501,1547,-1.000,04:10:28,0, 0.176, 0.950,0
1,1736, 143,-1.000,04:10:29,0, 0.175, 0.949,1
0,1325,1495,-1.000,04:10:30,0, 0.442, 0.967,0
0,1272,1477,55.973,04:10:31,0, 0.470, 0.966,0
0,1211,1458,63.891,04:10:32,0, 0.501, 0.963,0
0,1159,1442,54.406,04:10:33,0, 0.522, 0.963,0
0,1133,1433,27.514,04:10:34,1, 0.523, 0.962,0
0,1116,1430,17.263,04:10:35,1, 0.517, 0.969,0
0,1103,1432,13.153,04:10:36,1, 0.564, 0.966,0
0,1089,1436,14.560,04:10:37,1, 0.573, 0.966,0
0,1075,1441,14.866,04:10:38,1, 0.603, 0.959,0
0,1061,1444,14.318,04:10:39,1, 0.597, 0.968,0
-1, 761,1267,-1.000,04:10:40,0, 0.108, 0.938,0
0,1032,1438,-1.000,04:10:41,1, 0.544, 0.966,0
0,1018,1438,14.000,04:10:42,1, 0.541, 0.963,0
0,1004,1438,14.000,04:10:43,1, 0.539, 0.963,0
0, 991,1439,13.038,04:10:44,1, 0.549, 0.966,0
0, 977,1439,14.000,04:10:45,1, 0.532, 0.967,0
0, 964,1439,13.000,04:10:46,1, 0.544, 0.971,0
0, 950,1439,14.000,04:10:47,1, 0.538, 0.973,0
0, 937,1439,13.000,04:10:48,1, 0.553, 0.974,0
0, 924,1440,13.038,04:10:49,1, 0.544, 0.967,0
0, 911,1440,13.000,04:10:50,0, 0.510, 0.971,0
0, 897,1443,14.318,04:10:51,1, 0.495, 0.968,0
0, 880,1445,17.117,04:10:52,1, 0.472, 0.962,0
1, 869,1453,13.601,04:10:53,1, 0.506, 0.972,0
1, 855,1455,14.142,04:10:54,1, 0.523, 0.972,0
1, 839,1457,16.125,04:10:55,1, 0.505, 0.976,0
1, 825,1458,14.036,04:10:56,1, 0.453, 0.979,0
1, 818,1459, 7.071,04:10:57,1, 0.466, 0.980,0
1, 805,1459,13.000,04:10:58,1, 0.472, 0.973,0
1, 801,1459, 4.000,04:10:59,1, 0.470, 0.974,0
1, 791,1462,10.440,04:11:00,1, 0.476, 0.975,0
1, 777,1467,14.866,04:11:01,1, 0.510, 0.976,0
1, 762,1473,16.155,04:11:02,1, 0.513, 0.972,0
1, 747,1478,15.811,04:11:03,1, 0.533, 0.979,0
1, 733,1484,15.232,04:11:04,1, 0.558, 0.976,0
1, 718,1489,15.811,04:11:05,1, 0.543, 0.977,0
1, 703,1494,15.811,04:11:06,1, 0.569, 0.978,0
1, 688,1493,15.033,04:11:07,1, 0.564, 0.976,0
1, 672,1493,16.000,04:11:08,1, 0.567, 0.962,0
1, 658,1498,14.866,04:11:09,1, 0.573, 0.962,0
