phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 198,1061,-1.000,03:35:13,0, 0.443, 0.973,0
0, 809,1719,-1.000,03:35:14,0, 0.346, 0.972,0
0, 749,1650,-1.000,03:35:15,0, 0.240, 0.972,0
0,1857, 928,-1.000,03:35:16,0, 0.233, 0.972,0
0,1822, 905,-1.000,03:35:17,0, 0.594, 0.973,0
0,1761, 897,61.522,03:35:18,0, 0.524, 0.973,0
0,1703, 889,58.549,03:35:19,0, 0.401, 0.973,0
0,1648, 882,55.444,03:35:20,0, 0.490, 0.973,0
0,1592, 874,56.569,03:35:21,0, 0.453, 0.973,0
0,1532, 865,60.671,03:35:22,0, 0.451, 0.973,0
0,1472, 857,60.531,03:35:23,0, 0.499, 0.972,0
-1,1207, 695,-1.000,03:35:24,0, 0.083, 0.935,0
0,1356, 841,-1.000,03:35:25,0, 0.429, 0.972,0
0,1314, 835,42.426,03:35:26,1, 0.429, 0.972,0
0,1305, 828,11.402,03:35:27,1, 0.419, 0.977,0
0,1294, 821,13.038,03:35:28,1, 0.418, 0.978,0
0,1283, 815,12.530,03:35:29,1, 0.381, 0.978,0
0,1271, 809,13.416,03:35:30,1, 0.366, 0.978,0
0,1260, 802,13.038,03:35:31,1, 0.360, 0.978,0
0,1249, 795,-1.000,03:35:32,1, 0.348, 0.979,0
0,1239, 789,-1.000,03:35:33,1, 0.338, 0.978,0
0,1228, 782,-1.000,03:35:34,1, 0.363, 0.978,0
0,1218, 776,-1.000,03:35:35,1, 0.339, 0.979,0
0,1216, 770,-1.000,03:35:36,1, 0.376, 0.979,0
0,1206, 764,11.662,03:35:37,1, 0.389, 0.979,0
0,1196, 758,11.662,03:35:38,1, 0.400, 0.979,0
0,1185, 751,13.038,03:35:38,1, 0.432, 0.976,0
0,1175, 743,12.806,03:35:39,1, 0.424, 0.979,0
0,1163, 734,15.000,03:35:40,1, 0.413, 0.975,0
0,1148, 725,17.493,03:35:41,1, 0.432, 0.969,0
0,1134, 716,16.643,03:35:42,1, 0.438, 0.964,0
0,1119, 711,15.811,03:35:43,1, 0.423, 0.967,0
0,1106, 705,14.318,03:35:44,1, 0.442, 0.966,0
0,1092, 699,15.232,03:35:45,1, 0.455, 0.965,0
0,1079, 691,15.264,03:35:46,1, 0.446, 0.964,0
1,1067, 682,15.000,03:35:47,1, 0.445, 0.975,0
1,1056, 672,14.866,03:35:48,1, 0.437, 0.973,0
1,1044, 664,14.422,03:35:49,1, 0.418, 0.973,0
1,1032, 656,14.422,03:35:50,1, 0.437, 0.974,0
1,1028, 649, 8.062,03:35:51,1, 0.405, 0.976,0
1,1016, 640,15.000,03:35:52,1, 0.431, 0.976,0
1,1004, 633,13.892,03:35:53,1, 0.457, 0.977,0
1, 994, 626,12.207,03:35:54,1, 0.449, 0.981,0
1, 984, 615,14.866,03:35:55,1, 0.440, 0.983,0
1, 978, 607,10.000,03:35:56,1, 0.453, 0.977,0
1, 973, 598,10.296,03:35:57,1, 0.441, 0.981,0
1, 964, 585,15.811,03:35:58,1, 0.437, 0.980,0
