phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1715,1834,-1.000,01:49:30,0, 0.295, 0.970,0
0, 707, 143,-1.000,01:49:31,0, 0.342, 0.971,0
0, 708, 194,-1.000,01:49:32,0, 0.477, 0.971,0
0, 706, 253,59.034,01:49:33,0, 0.479, 0.970,0
0, 703, 315,62.073,01:49:34,0, 0.534, 0.972,0
0, 697, 375,60.299,01:49:35,0, 0.602, 0.971,0
0, 692, 437,62.201,01:49:36,0, 0.607, 0.971,0
0, 688, 496,59.135,01:49:37,0, 0.607, 0.973,0
0, 525, 211,-1.000,01:49:38,0, 0.224, 0.975,0
0, 681, 621,-1.000,01:49:39,0, 0.499, 0.975,0
0, 674, 679,58.421,01:49:40,0, 0.443, 0.975,0
0, 670, 742,63.127,01:49:41,0, 0.412, 0.975,0
1,1181, 181,-1.000,01:49:42,0, 0.168, 0.948,0
1,1744, 153,-1.000,01:49:43,0, 0.171, 0.947,1
1,1170, 181,-1.000,01:49:44,0, 0.185, 0.949,0
1,1181, 181,-1.000,01:49:45,0, 0.195, 0.947,0
-1,1170, 181,-1.000,01:49:46,0, 0.176, 0.945,0
0, 647,1101,-1.000,01:49:47,0, 0.367, 0.971,0
0, 654,1106, 8.602,01:49:48,1, 0.353, 0.973,0
0, 670,1111,16.763,01:49:49,1, 0.382, 0.973,0
0, 686,1116,16.763,01:49:50,1, 0.401, 0.972,0
0, 702,1120,16.492,01:49:51,1, 0.402, 0.974,0
0, 718,1124,16.492,01:49:52,1, 0.391, 0.973,0
0, 732,1129,14.866,01:49:53,1, 0.377, 0.973,0
0, 746,1133,-1.000,01:49:54,1, 0.310, 0.974,0
0, 765,1137,-1.000,01:49:55,1, 0.387, 0.975,0
0, 781,1141,16.492,01:49:56,1, 0.395, 0.974,0
0, 797,1145,16.492,01:49:57,1, 0.367, 0.981,0
0, 812,1150,15.811,01:49:58,1, 0.395, 0.977,0
0, 827,1154,15.524,01:49:59,1, 0.394, 0.974,0
0, 845,1160,18.974,01:50:00,1, 0.392, 0.972,0
0, 859,1166,-1.000,01:50:01,1, 0.339, 0.971,0
