phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 331,1624,-1.000,00:07:05,1, 0.335, 0.972,0
0,1149,1078,-1.000,00:07:06,1, 0.470, 0.971,0
0,1157,1092,16.125,00:07:07,1, 0.484, 0.972,0
0,1165,1107,17.000,00:07:08,1, 0.518, 0.971,0
0,1173,1120,15.264,00:07:09,1, 0.497, 0.969,0
0,1181,1134,16.125,00:07:10,1, 0.515, 0.969,0
0,1189,1147,15.264,00:07:11,1, 0.493, 0.969,0
0,1198,1161,16.643,00:07:12,1, 0.486, 0.969,0
0,1205,1174,14.765,00:07:13,1, 0.486, 0.968,0
0,1213,1187,15.264,00:07:14,1, 0.454, 0.966,0
0,1222,1200,15.811,00:07:15,1, 0.492, 0.974,0
0,1230,1211,13.601,00:07:16,1, 0.480, 0.970,0
1,1238,1223,14.422,00:07:17,1, 0.511, 0.970,0
1,1250,1230,13.892,00:07:18,1, 0.511, 0.970,0
1,1261,1237,13.038,00:07:19,1, 0.475, 0.970,0
1,1273,1245,14.422,00:07:20,1, 0.459, 0.964,0
1,1281,1250, 9.434,00:07:21,1, 0.444, 0.966,0
1,1293,1259,15.000,00:07:22,1, 0.434, 0.962,0
1,1306,1268,15.811,00:07:23,1, 0.471, 0.962,0
1,1314,1281,15.264,00:07:24,1, 0.493, 0.963,0
1,1316,1295,14.142,00:07:25,1, 0.481, 0.962,0
1,1327,1306,15.556,00:07:26,1, 0.504, 0.962,0
1,1337,1318,15.620,00:07:27,1, 0.489, 0.960,0
1,1348,1327,14.213,00:07:28,1, 0.474, 0.965,0
1,1361,1336,15.811,00:07:29,1, 0.473, 0.960,0
1,1373,1347,16.279,00:07:30,1, 0.488, 0.962,0
1,1380,1360,14.765,00:07:31,1, 0.512, 0.969,0
1,1390,1373,16.401,00:07:32,1, 0.489, 0.960,0
1,1402,1381,14.422,00:07:33,1, 0.497, 0.968,0
1,1415,1385,13.601,00:07:34,1, 0.493, 0.969,0
1,1416,1399,14.036,00:07:35,1, 0.493, 0.970,0
1,1416,1411,12.000,00:07:36,1, 0.507, 0.965,0
1,1409,1415, 8.062,00:07:37,0, 0.536, 0.974,0
1,1409,1415, 0.000,00:07:38,0, 0.528, 0.978,0
1,1407,1416, 2.236,00:07:39,0, 0.542, 0.970,0
1,1408,1417, 1.414,00:07:40,0, 0.536, 0.972,0
1,1408,1418, 1.000,00:07:41,0, 0.542, 0.965,0
1,1408,1418, 0.000,00:07:42,0, 0.530, 0.967,0
1,1408,1418, 0.000,00:07:43,0, 0.528, 0.969,0
1,1408,1418, 0.000,00:07:44,0, 0.527, 0.975,0
1,1408,1418, 0.000,00:07:45,0, 0.529, 0.976,0
1,1408,1418, 0.000,00:07:46,0, 0.537, 0.966,0
1,1408,1418, 0.000,00:07:47,0, 0.534, 0.966,0
1,1408,1418, 0.000,00:07:48,0, 0.530, 0.978,0
1,1409,1417, 1.414,00:07:49,0, 0.546, 0.973,0
1,1410,1416, 1.414,00:07:50,0, 0.538, 0.975,0
1,1413,1414, 3.606,00:07:51,0, 0.544, 0.973,0
1,1412,1410, 4.123,00:07:52,0, 0.557, 0.972,0
1,1409,1409, 3.162,00:07:53,0, 0.541, 0.971,0
1,1408,1412, 3.162,00:07:54,0, 0.534, 0.972,0
1,1408,1412, 0.000,00:07:55,0, 0.529, 0.971,0
1,1407,1413, 1.414,00:07:56,0, 0.526, 0.974,0
1,1407,1413, 0.000,00:07:57,0, 0.521, 0.974,0
1,1407,1413, 0.000,00:07:58,0, 0.526, 0.975,0
1,1408,1412, 1.414,00:07:59,0, 0.526, 0.974,0
1,1408,1413, 1.000,00:08:00,0, 0.532, 0.972,0
1,1408,1414, 1.000,00:08:01,0, 0.533, 0.971,0
1,1408,1413, 1.000,00:08:02,0, 0.535, 0.973,0
1,1408,1415, 2.000,00:08:03,0, 0.532, 0.968,0
1,1409,1418, 3.162,00:08:04,0, 0.541, 0.976,0
1,1410,1418, 1.000,00:08:05,0, 0.542, 0.975,0
1,1413,1417, 3.162,00:08:06,0, 0.532, 0.976,0
1,1412,1415, 2.236,00:08:07,0, 0.541, 0.978,0
1,1413,1412, 3.162,00:08:08,0, 0.548, 0.977,0
1,1413,1412, 0.000,00:08:09,0, 0.518, 0.977,0
1,1413,1412, 0.000,00:08:10,0, 0.530, 0.974,0
1,1412,1415, 3.162,00:08:11,0, 0.530, 0.976,0
1,1414,1413, 2.828,00:08:12,0, 0.535, 0.974,0
1,1412,1413, 2.000,00:08:13,0, 0.514, 0.974,0
1,1412,1417, 4.000,00:08:14,0, 0.536, 0.975,0
1,1408,1415, 4.472,00:08:15,0, 0.528, 0.978,0
1,1409,1415, 1.000,00:08:16,0, 0.534, 0.978,0
1,1407,1414, 2.236,00:08:17,0, 0.523, 0.977,0
1,1407,1416, 2.000,00:08:18,0, 0.520, 0.976,0
1,1404,1417, 3.162,00:08:19,0, 0.529, 0.976,0
1,1401,1417, 3.000,00:08:20,0, 0.519, 0.977,0
1,1400,1413, 4.123,00:08:21,0, 0.517, 0.973,0
1,1398,1413, 2.000,00:08:22,0, 0.518, 0.974,0
1,1397,1413, 1.000,00:08:23,0, 0.513, 0.976,0
1,1396,1413, 1.000,00:08:24,0, 0.506, 0.975,0
1,1399,1413, 3.000,00:08:25,0, 0.515, 0.974,0
1,1398,1413, 1.000,00:08:26,0, 0.512, 0.978,0
1,1400,1411, 2.828,00:08:27,0, 0.508, 0.976,0
1,1401,1407, 4.123,00:08:28,0, 0.497, 0.976,0
1,1401,1404, 3.000,00:08:29,0, 0.504, 0.976,0
1,1400,1403, 1.414,00:08:30,0, 0.499, 0.973,0
