phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1524, 143,-1.000,01:19:32,0, 0.523, 0.967,0
0,1786, 191,266.361,01:19:33,0, 0.354, 0.968,0
0, 414,1726,-1.000,01:19:34,0, 0.285, 0.968,0
0,1181,1840,-1.000,01:19:35,0, 0.624, 0.966,0
0,1170,1780,61.000,01:19:36,0, 0.464, 0.969,0
0,1157,1727,54.571,01:19:37,0, 0.489, 0.966,0
0,1145,1667,61.188,01:19:38,0, 0.584, 0.965,0
0,1145,1657,10.000,01:19:39,1, 0.585, 0.965,0
0,1146,1655, 2.236,01:19:40,1, 0.598, 0.973,0
0,1145,1651, 4.123,01:19:41,1, 0.614, 0.972,0
0,1146,1645, 6.083,01:19:42,1, 0.603, 0.973,0
0,1146,1640, 5.000,01:19:43,1, 0.595, 0.968,0
0,1146,1635, 5.000,01:19:44,1, 0.589, 0.974,0
0,1146,1631, 4.000,01:19:45,1, 0.599, 0.970,0
-1,1120,1607,-1.000,01:19:46,0, 0.192, 0.922,0
-1,1158, 177,-1.000,01:19:47,0, 0.274, 0.919,0
0,1146,1617,-1.000,01:19:48,1, 0.590, 0.966,0
0,1154,1605,14.422,01:19:49,1, 0.588, 0.965,0
0,1161,1597,10.630,01:19:50,1, 0.600, 0.966,0
0,1167,1589,10.000,01:19:51,1, 0.615, 0.965,0
0,1180,1577,17.692,01:19:52,1, 0.588, 0.964,0
0,1193,1566,17.029,01:19:53,1, 0.584, 0.968,0
0,1200,1559, 9.899,01:19:54,1, 0.583, 0.968,0
0,1206,1552, 9.220,01:19:55,1, 0.586, 0.970,0
0,1215,1542,13.454,01:19:56,1, 0.555, 0.969,0
0,1225,1530,15.620,01:19:57,1, 0.558, 0.969,0
0,1234,1524,10.817,01:19:57,1, 0.583, 0.969,0
0,1243,1513,14.213,01:19:58,1, 0.583, 0.968,0
0,1253,1502,14.866,01:19:59,1, 0.584, 0.966,0
0,1261,1490,14.422,01:20:00,1, 0.597, 0.965,0
0,1268,1480,12.207,01:20:01,1, 0.603, 0.965,0
0,1277,1469,14.213,01:20:02,1, 0.622, 0.966,0
0,1284,1456,14.765,01:20:03,1, 0.637, 0.967,0
0,1292,1443,15.264,01:20:04,1, 0.611, 0.965,0
0,1301,1430,15.811,01:20:05,1, 0.600, 0.966,0
1,1311,1419,14.866,01:20:06,1, 0.604, 0.970,0
1,1318,1406,14.765,01:20:07,1, 0.579, 0.970,0
1,1315,1391,15.297,01:20:08,1, 0.595, 0.970,0
1,1311,1376,15.524,01:20:09,1, 0.564, 0.970,0
1,1305,1363,14.318,01:20:10,0, 0.564, 0.973,0
1,1303,1358, 5.385,01:20:11,0, 0.575, 0.976,0
1,1303,1354, 4.000,01:20:12,0, 0.575, 0.978,0
1,1303,1353, 1.000,01:20:13,0, 0.562, 0.976,0
1,1303,1350, 3.000,01:20:14,0, 0.575, 0.975,0
1,1306,1348, 3.606,01:20:15,0, 0.591, 0.969,0
1,1310,1345, 5.000,01:20:16,0, 0.583, 0.969,0
1,1313,1342, 4.243,01:20:17,0, 0.581, 0.974,0
1,1316,1340, 3.606,01:20:18,0, 0.577, 0.963,0
1,1319,1337, 4.243,01:20:19,0, 0.564, 0.966,0
1,1322,1332, 5.831,01:20:20,0, 0.552, 0.972,0
1,1325,1326, 6.708,01:20:21,0, 0.538, 0.972,0
1,1330,1321, 7.071,01:20:22,0, 0.532, 0.974,0
1,1332,1318, 3.606,01:20:23,0, 0.541, 0.975,0
1,1334,1316, 2.828,01:20:24,0, 0.542, 0.974,0
1,1331,1316, 3.000,01:20:25,0, 0.522, 0.976,0
1,1330,1315, 1.414,01:20:26,0, 0.528, 0.977,0
1,1332,1317, 2.828,01:20:27,0, 0.538, 0.978,0
1,1331,1318, 1.414,01:20:27,0, 0.536, 0.978,0
1,1331,1318, 0.000,01:20:28,0, 0.531, 0.978,0
1,1332,1317, 1.414,01:20:29,0, 0.534, 0.979,0
1,1333,1318, 1.414,01:20:30,0, 0.542, 0.978,0
1,1333,1318, 0.000,01:20:31,0, 0.533, 0.976,0
1,1333,1318, 0.000,01:20:32,0, 0.532, 0.976,0
1,1333,1318, 0.000,01:20:33,0, 0.540, 0.978,0
1,1333,1319, 1.000,01:20:34,0, 0.462, 0.976,0
1,1333,1319, 0.000,01:20:35,0, 0.454, 0.976,0
1,1333,1319, 0.000,01:20:36,0, 0.449, 0.978,0
1,1333,1319, 0.000,01:20:37,0, 0.454, 0.978,0
1,1333,1319, 0.000,01:20:38,0, 0.456, 0.976,0
1,1333,1320, 1.000,01:20:39,0, 0.454, 0.973,0
1,1333,1320, 0.000,01:20:40,0, 0.452, 0.976,0
1,1333,1320, 0.000,01:20:41,0, 0.453, 0.977,0
1,1333,1320, 0.000,01:20:42,0, 0.453, 0.976,0
1,1333,1320, 0.000,01:20:43,0, 0.460, 0.969,0
1,1333,1320, 0.000,01:20:44,0, 0.455, 0.972,0
1,1332,1320, 1.000,01:20:45,0, 0.460, 0.978,0
1,1332,1320, 0.000,01:20:46,0, 0.455, 0.971,0
1,1331,1322, 2.236,01:20:47,0, 0.454, 0.975,0
1,1329,1324, 2.828,01:20:48,0, 0.457, 0.962,0
1,1329,1328, 4.000,01:20:49,0, 0.462, 0.975,0
1,1331,1331, 3.606,01:20:50,0, 0.460, 0.977,0
1,1333,1333, 2.828,01:20:51,0, 0.464, 0.977,0
1,1335,1336, 3.606,01:20:52,0, 0.460, 0.974,0
1,1337,1338, 2.828,01:20:53,0, 0.460, 0.975,0
1,1339,1340, 2.828,01:20:54,0, 0.460, 0.977,0
1,1342,1341, 3.162,01:20:55,0, 0.463, 0.977,0
1,1344,1343, 2.828,01:20:56,0, 0.468, 0.973,0
1,1344,1343, 0.000,01:20:57,0, 0.465, 0.972,0
1,1345,1343, 1.000,01:20:58,0, 0.471, 0.970,0
1,1347,1343, 2.000,01:20:58,0, 0.467, 0.973,0
1,1347,1342, 1.000,01:20:59,0, 0.469, 0.974,0
1,1347,1343, 1.000,01:21:00,0, 0.509, 0.971,0
1,1347,1343, 0.000,01:21:01,0, 0.477, 0.975,0
1,1347,1343, 0.000,01:21:02,0, 0.480, 0.973,0
1,1347,1339, 4.000,01:21:03,0, 0.467, 0.953,0
1,1348,1336, 3.162,01:21:04,0, 0.467, 0.972,0
1,1349,1338, 2.236,01:21:05,0, 0.460, 0.975,0
1,1351,1341, 3.606,01:21:06,0, 0.473, 0.964,0
1,1355,1343, 4.472,01:21:07,0, 0.457, 0.969,0
1,1359,1344, 4.123,01:21:08,0, 0.472, 0.972,0
1,1361,1345, 2.236,01:21:09,0, 0.448, 0.960,0
1,1361,1345, 0.000,01:21:10,0, 0.450, 0.968,0
1,1361,1346, 1.000,01:21:11,0, 0.454, 0.971,0
1,1362,1348, 2.236,01:21:12,0, 0.447, 0.975,0
1,1365,1350, 3.606,01:21:13,0, 0.452, 0.973,0
1,1367,1347, 3.606,01:21:14,0, 0.443, 0.969,0
1,1369,1346, 2.236,01:21:15,0, 0.449, 0.975,0
1,1369,1349, 3.000,01:21:16,0, 0.445, 0.972,0
1,1366,1350, 3.162,01:21:17,0, 0.438, 0.978,0
1,1367,1347, 3.162,01:21:18,0, 0.443, 0.978,0
1,1367,1347, 0.000,01:21:19,0, 0.450, 0.969,0
1,1365,1346, 2.236,01:21:20,0, 0.441, 0.973,0
1,1367,1348, 2.828,01:21:21,0, 0.449, 0.963,0
1,1368,1346, 2.236,01:21:22,0, 0.439, 0.977,0
1,1370,1343, 3.606,01:21:23,0, 0.435, 0.977,0
1,1368,1340, 3.606,01:21:24,0, 0.430, 0.973,0
1,1366,1341, 2.236,01:21:25,0, 0.432, 0.972,0
1,1366,1342, 1.000,01:21:26,0, 0.430, 0.978,0
1,1367,1343, 1.414,01:21:27,0, 0.432, 0.978,0
1,1367,1342, 1.000,01:21:28,0, 0.439, 0.977,0
1,1367,1343, 1.000,01:21:28,0, 0.442, 0.978,0
1,1367,1343, 0.000,01:21:29,0, 0.436, 0.978,0
1,1367,1343, 0.000,01:21:30,0, 0.438, 0.977,0
1,1367,1342, 1.000,01:21:31,0, 0.432, 0.975,0
1,1368,1339, 3.162,01:21:32,0, 0.436, 0.972,0
1,1368,1340, 1.000,01:21:33,0, 0.429, 0.975,0
1,1370,1342, 2.828,01:21:34,0, 0.441, 0.976,0
1,1371,1346, 4.123,01:21:35,0, 0.437, 0.968,0
1,1371,1350, 4.000,01:21:36,0, 0.441, 0.975,0
1,1372,1354, 4.123,01:21:37,0, 0.446, 0.975,0
1,1373,1358, 4.123,01:21:38,0, 0.468, 0.977,0
1,1374,1361, 3.162,01:21:39,0, 0.457, 0.977,0
1,1376,1364, 3.606,01:21:40,0, 0.450, 0.978,0
1,1378,1368, 4.472,01:21:41,0, 0.451, 0.975,0
1,1379,1372, 4.123,01:21:42,0, 0.441, 0.976,0
1,1378,1375, 3.162,01:21:43,0, 0.449, 0.973,0
1,1380,1379, 4.472,01:21:44,0, 0.455, 0.955,0
1,1382,1383, 4.472,01:21:45,0, 0.453, 0.957,0
1,1385,1385, 3.606,01:21:46,0, 0.454, 0.975,0
1,1388,1388, 4.243,01:21:47,0, 0.463, 0.975,0
1,1392,1391, 5.000,01:21:48,0, 0.453, 0.977,0
1,1393,1394, 3.162,01:21:49,0, 0.459, 0.974,0
1,1394,1398, 4.123,01:21:50,0, 0.450, 0.972,0
1,1398,1398, 4.000,01:21:51,0, 0.460, 0.974,0
1,1399,1399, 1.414,01:21:52,0, 0.451, 0.976,0
1,1400,1400, 1.414,01:21:53,0, 0.448, 0.977,0
1,1400,1400, 0.000,01:21:54,0, 0.448, 0.977,0
1,1399,1400, 1.000,01:21:55,0, 0.445, 0.973,0
1,1398,1401, 1.414,01:21:56,0, 0.451, 0.975,0
1,1398,1401, 0.000,01:21:57,0, 0.446, 0.974,0
1,1398,1401, 0.000,01:21:58,0, 0.447, 0.974,0
1,1398,1401, 0.000,01:21:59,0, 0.446, 0.974,0
1,1397,1400, 1.414,01:21:59,0, 0.442, 0.978,0
1,1398,1401, 1.414,01:22:00,0, 0.447, 0.977,0
1,1397,1400, 1.414,01:22:01,0, 0.450, 0.974,0
1,1398,1401, 1.414,01:22:02,0, 0.448, 0.958,0
1,1399,1402, 1.414,01:22:03,0, 0.451, 0.962,0
1,1398,1402, 1.000,01:22:04,0, 0.456, 0.976,0
1,1398,1402, 0.000,01:22:05,0, 0.449, 0.975,0
1,1398,1402, 0.000,01:22:06,0, 0.447, 0.977,0
1,1398,1402, 0.000,01:22:11,0, 0.446, 0.975,0
1,1398,1402, 0.000,01:22:12,0, 0.447, 0.978,0
