phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1013,1840,-1.000,00:45:17,0, 0.491, 0.965,0
0,1002,1780,61.000,00:45:18,0, 0.482, 0.978,0
0,1000,1783, 3.606,00:45:19,1, 0.458, 0.980,0
0, 991,1775,12.042,00:45:20,1, 0.462, 0.977,0
0, 984,1768, 9.899,00:45:21,0, 0.450, 0.961,0
0, 974,1760,12.806,00:45:22,1, 0.462, 0.981,0
0, 964,1751,13.454,00:45:23,1, 0.449, 0.982,0
0, 954,1743,12.806,00:45:24,0, 0.420, 0.981,0
0, 944,1735,12.806,00:45:25,1, 0.414, 0.980,0
0, 934,1726,13.454,00:45:26,0, 0.433, 0.972,0
0, 923,1719,13.038,00:45:27,0, 0.442, 0.964,0
0, 915,1710,12.042,00:45:28,1, 0.413, 0.978,0
0, 905,1702,12.806,00:45:29,0, 0.402, 0.969,0
0, 895,1695,12.207,00:45:30,1, 0.411, 0.977,0
0, 881,1692,14.318,00:45:31,1, 0.431, 0.966,0
0, 865,1690,16.125,00:45:32,1, 0.462, 0.978,0
0, 850,1689,15.033,00:45:33,1, 0.481, 0.977,0
0, 834,1688,16.031,00:45:34,1, 0.492, 0.977,0
0, 818,1688,16.000,00:45:35,1, 0.477, 0.977,0
0, 806,1681,13.892,00:45:36,1, 0.495, 0.973,0
0, 797,1668,15.811,00:45:37,1, 0.462, 0.973,0
0, 789,1660,11.314,00:45:38,1, 0.460, 0.979,0
0, 781,1648,14.422,00:45:39,1, 0.480, 0.979,0
0, 773,1635,15.264,00:45:40,1, 0.479, 0.980,0
0, 765,1622,15.264,00:45:41,1, 0.492, 0.980,0
0, 758,1610,13.892,00:45:42,1, 0.486, 0.976,0
0, 751,1596,15.652,00:45:43,1, 0.512, 0.980,0
0, 743,1582,16.125,00:45:44,1, 0.552, 0.981,0
0, 735,1569,15.264,00:45:45,1, 0.562, 0.980,0
0, 726,1555,16.643,00:45:46,1, 0.567, 0.963,0
0, 718,1542,15.264,00:45:47,1, 0.570, 0.980,0
1, 708,1529,16.401,00:45:48,1, 0.561, 0.977,0
1, 696,1518,16.279,00:45:49,1, 0.576, 0.976,0
1, 683,1510,15.264,00:45:50,1, 0.574, 0.977,0
1, 667,1508,16.125,00:45:51,0, 0.563, 0.970,0
1, 652,1506,15.133,00:45:52,1, 0.592, 0.975,0
1, 637,1501,15.811,00:45:53,1, 0.586, 0.977,0
1, 623,1495,15.232,00:45:54,1, 0.575, 0.978,0
1, 608,1489,16.155,00:45:55,1, 0.577, 0.977,0
1, 594,1492,14.318,00:45:56,1, 0.584, 0.971,0
1, 589,1506,14.866,00:45:57,1, 0.597, 0.978,0
1, 594,1510, 6.403,00:45:58,1, 0.598, 0.977,0
1, 599,1511, 5.099,00:45:59,0, 0.610, 0.977,0
1, 601,1515, 4.472,00:46:00,0, 0.610, 0.975,0
1, 602,1518, 3.162,00:46:01,0, 0.617, 0.976,0
1, 602,1521, 3.000,00:46:02,0, 0.631, 0.970,0
1, 598,1522, 4.123,00:46:03,0, 0.625, 0.969,0
1, 594,1523, 4.123,00:46:04,0, 0.616, 0.975,0
1, 590,1524, 4.123,00:46:05,0, 0.609, 0.969,0
1, 589,1524, 1.000,00:46:06,0, 0.604, 0.975,0
1, 589,1524, 0.000,00:46:07,0, 0.598, 0.974,0
1, 589,1524, 0.000,00:46:08,0, 0.600, 0.972,0
1, 589,1524, 0.000,00:46:09,0, 0.602, 0.972,0
1, 589,1524, 0.000,00:46:10,0, 0.601, 0.972,0
1, 589,1524, 0.000,00:46:11,0, 0.602, 0.971,0
1, 589,1524, 0.000,00:46:12,0, 0.596, 0.977,0
1, 589,1524, 0.000,00:46:13,0, 0.592, 0.978,0
1, 589,1524, 0.000,00:46:14,0, 0.590, 0.978,0
1, 589,1524, 0.000,00:46:15,0, 0.595, 0.978,0
1, 589,1524, 0.000,00:46:16,0, 0.593, 0.979,0
1, 589,1524, 0.000,00:46:17,0, 0.596, 0.978,0
1, 589,1524, 0.000,00:46:18,0, 0.596, 0.978,0
1, 589,1524, 0.000,00:46:19,0, 0.593, 0.979,0
1, 589,1524, 0.000,00:46:20,0, 0.598, 0.979,0
1, 589,1524, 0.000,00:46:21,0, 0.595, 0.964,0
1, 589,1524, 0.000,00:46:22,0, 0.597, 0.964,0
1, 589,1524, 0.000,00:46:23,0, 0.596, 0.965,0
1, 589,1524, 0.000,00:46:24,0, 0.597, 0.978,0
1, 589,1524, 0.000,00:46:25,0, 0.597, 0.978,0
1, 589,1524, 0.000,00:46:26,0, 0.595, 0.977,0
1, 589,1524, 0.000,00:46:27,0, 0.596, 0.971,0
1, 589,1524, 0.000,00:46:28,0, 0.600, 0.969,0
1, 590,1524, 1.000,00:46:29,0, 0.595, 0.975,0
1, 590,1524, 0.000,00:46:30,0, 0.600, 0.979,0
1, 590,1524, 0.000,00:46:31,0, 0.597, 0.976,0
1, 590,1524, 0.000,00:46:32,0, 0.607, 0.976,0
1, 590,1524, 0.000,00:46:33,0, 0.608, 0.975,0
1, 590,1524, 0.000,00:46:34,0, 0.603, 0.978,0
1, 590,1524, 0.000,00:46:35,0, 0.605, 0.978,0
1, 590,1524, 0.000,00:46:36,0, 0.604, 0.978,0
