phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1133, 143,-1.000,00:25:13,0, 0.330, 0.969,0
0,1457, 150,-1.000,00:25:14,0, 0.650, 0.972,0
0,1452, 214,64.195,00:25:15,0, 0.552, 0.969,0
0,1451, 267,53.009,00:25:16,0, 0.482, 0.972,0
-1, 448, 728,1103.870,00:25:17,0, 0.460, 0.838,0
0,1421, 626,978.332,00:25:22,0, 0.400, 0.969,0
0,1422, 673,47.011,00:25:23,0, 0.374, 0.969,0
0,1167, 530,-1.000,00:25:25,0, 0.083, 0.975,0
0,1372,1365,-1.000,00:25:35,1, 0.527, 0.976,0
0,1368,1371, 7.211,00:25:36,1, 0.544, 0.967,0
0,1361,1382,13.038,00:25:37,1, 0.544, 0.967,0
0,1353,1394,14.422,00:25:38,1, 0.566, 0.966,0
0,1346,1405,13.038,00:25:39,1, 0.593, 0.968,0
0,1340,1415,11.662,00:25:40,1, 0.584, 0.974,0
0,1333,1426,13.038,00:25:41,1, 0.600, 0.971,0
0,1327,1437,12.530,00:25:42,1, 0.588, 0.970,0
0,1321,1448,12.530,00:25:42,1, 0.579, 0.970,0
0,1315,1459,12.530,00:25:43,1, 0.571, 0.971,0
0,1309,1470,12.530,00:25:44,1, 0.544, 0.959,0
1,1303,1480,11.662,00:25:45,1, 0.604, 0.969,0
1,1297,1491,12.530,00:25:46,1, 0.597, 0.973,0
1,1297,1501,10.000,00:25:47,1, 0.590, 0.956,0
1,1301,1512,11.705,00:25:48,0, 0.544, 0.967,0
1,1308,1522,12.207,00:25:49,1, 0.599, 0.971,0
1,1311,1526, 5.000,00:25:50,1, 0.611, 0.974,0
1,1313,1527, 2.236,00:25:51,1, 0.575, 0.972,0
1,1313,1537,10.000,00:25:52,1, 0.544, 0.975,0
1,1308,1550,13.928,00:25:53,1, 0.557, 0.975,0
1,1298,1563,16.401,00:25:54,1, 0.590, 0.972,0
1,1289,1573,13.454,00:25:55,1, 0.605, 0.975,0
1,1279,1585,15.620,00:25:56,1, 0.606, 0.975,0
1,1269,1597,15.620,00:25:57,1, 0.655, 0.974,0
1,1259,1609,15.620,00:25:58,1, 0.639, 0.976,0
1,1251,1619,12.806,00:25:59,1, 0.654, 0.976,0
1,1241,1631,15.620,00:26:00,1, 0.670, 0.972,0
1,1232,1643,15.000,00:26:01,0, 0.669, 0.968,0
1,1225,1656,14.765,00:26:02,1, 0.648, 0.966,0
1,1227,1670,14.142,00:26:03,1, 0.633, 0.969,0
1,1234,1678,10.630,00:26:04,1, 0.616, 0.955,0
1,1238,1673, 6.403,00:26:05,0, 0.614, 0.971,0
1,1239,1673, 1.000,00:26:06,0, 0.612, 0.972,0
1,1239,1673, 0.000,00:26:07,0, 0.613, 0.977,0
1,1239,1673, 0.000,00:26:08,0, 0.616, 0.974,0
1,1239,1672, 1.000,00:26:09,0, 0.615, 0.973,0
1,1238,1672, 1.000,00:26:10,0, 0.608, 0.975,0
1,1237,1672, 1.000,00:26:11,0, 0.601, 0.971,0
1,1236,1672, 1.000,00:26:12,0, 0.595, 0.972,0
1,1236,1672, 0.000,00:26:13,0, 0.587, 0.975,0
1,1236,1672, 0.000,00:26:14,0, 0.597, 0.973,0
1,1236,1672, 0.000,00:26:14,0, 0.594, 0.977,0
1,1236,1672, 0.000,00:26:15,0, 0.595, 0.974,0
1,1237,1671, 1.414,00:26:16,0, 0.599, 0.974,0
1,1236,1671, 1.000,00:26:17,0, 0.599, 0.974,0
1,1236,1671, 0.000,00:26:18,0, 0.585, 0.977,0
1,1236,1671, 0.000,00:26:19,0, 0.581, 0.975,0
1,1236,1671, 0.000,00:26:20,0, 0.581, 0.975,0
1,1236,1671, 0.000,00:26:21,0, 0.579, 0.975,0
1,1236,1671, 0.000,00:26:22,0, 0.581, 0.975,0
1,1235,1671, 1.000,00:26:23,0, 0.592, 0.972,0
1,1234,1669, 2.236,00:26:24,0, 0.599, 0.971,0
1,1236,1667, 2.828,00:26:25,0, 0.609, 0.969,0
1,1237,1668, 1.414,00:26:26,0, 0.602, 0.973,0
1,1237,1667, 1.000,00:26:27,0, 0.602, 0.974,0
1,1237,1667, 0.000,00:26:28,0, 0.623, 0.969,0
1,1239,1668, 2.236,00:26:29,0, 0.601, 0.971,0
1,1237,1668, 2.000,00:26:30,0, 0.626, 0.957,0
1,1235,1671, 3.606,00:26:31,0, 0.624, 0.976,0
1,1238,1672, 3.162,00:26:32,0, 0.620, 0.976,0
1,1239,1673, 1.414,00:26:33,0, 0.610, 0.978,0
1,1238,1673, 1.000,00:26:34,0, 0.619, 0.978,0
1,1238,1673, 0.000,00:26:35,0, 0.596, 0.978,0
1,1238,1673, 0.000,00:26:36,0, 0.595, 0.975,0
1,1238,1673, 0.000,00:26:37,0, 0.597, 0.975,0
1,1238,1673, 0.000,00:26:38,0, 0.598, 0.975,0
1,1238,1673, 0.000,00:26:39,0, 0.606, 0.976,0
1,1238,1673, 0.000,00:26:40,0, 0.597, 0.978,0
1,1238,1673, 0.000,00:26:41,0, 0.609, 0.976,0
1,1238,1673, 0.000,00:26:42,0, 0.615, 0.977,0
1,1238,1673, 0.000,00:26:43,0, 0.612, 0.974,0
1,1238,1673, 0.000,00:26:44,0, 0.601, 0.977,0
1,1238,1673, 0.000,00:26:45,0, 0.599, 0.979,0
1,1238,1673, 0.000,00:26:46,0, 0.560, 0.977,0
1,1238,1673, 0.000,00:26:46,0, 0.559, 0.977,0
1,1238,1673, 0.000,00:26:47,0, 0.556, 0.976,0
1,1238,1673, 0.000,00:26:48,0, 0.556, 0.977,0
1,1238,1673, 0.000,00:26:49,0, 0.557, 0.977,0
1,1238,1673, 0.000,00:26:50,0, 0.560, 0.978,0
1,1238,1673, 0.000,00:26:51,0, 0.559, 0.976,0
1,1238,1673, 0.000,00:26:52,0, 0.560, 0.976,0
1,1239,1673, 1.000,00:26:53,0, 0.565, 0.975,0
1,1238,1672, 1.414,00:26:54,0, 0.576, 0.977,0
1,1237,1672, 1.000,00:26:55,0, 0.578, 0.977,0
1,1235,1670, 2.828,00:26:56,0, 0.566, 0.974,0
1,1236,1669, 1.414,00:26:57,0, 0.588, 0.973,0
1,1238,1668, 2.236,00:26:58,0, 0.601, 0.972,0
1,1239,1666, 2.236,00:26:59,0, 0.591, 0.957,0
1,1238,1664, 2.236,00:27:00,0, 0.600, 0.975,0
1,1235,1665, 3.162,00:27:01,0, 0.575, 0.976,0
1,1236,1663, 2.236,00:27:02,0, 0.588, 0.972,0
1,1238,1665, 2.828,00:27:03,0, 0.581, 0.975,0
1,1240,1666, 2.236,00:27:04,0, 0.608, 0.974,0
1,1238,1668, 2.828,00:27:05,0, 0.579, 0.972,0
1,1238,1668, 0.000,00:27:06,0, 0.591, 0.973,0
1,1237,1668, 1.000,00:27:07,0, 0.573, 0.972,0
1,1236,1671, 3.162,00:27:08,0, 0.583, 0.973,0
1,1237,1673, 2.236,00:27:09,0, 0.564, 0.971,0
1,1235,1674, 2.236,00:27:10,0, 0.568, 0.975,0
1,1235,1677, 3.000,00:27:11,0, 0.583, 0.971,0
1,1235,1677, 0.000,00:27:12,0, 0.586, 0.967,0
1,1235,1677, 0.000,00:27:13,0, 0.575, 0.971,0
1,1235,1677, 0.000,00:27:14,0, 0.571, 0.976,0
1,1232,1678, 3.162,00:27:15,0, 0.567, 0.976,0
1,1232,1677, 1.000,00:27:16,0, 0.574, 0.976,0
1,1232,1677, 0.000,00:27:17,0, 0.567, 0.976,0
1,1232,1677, 0.000,00:27:18,0, 0.568, 0.974,0
1,1233,1677, 1.000,00:27:18,0, 0.571, 0.976,0
1,1233,1677, 0.000,00:27:19,0, 0.565, 0.973,0
1,1233,1677, 0.000,00:27:20,0, 0.580, 0.964,0
1,1233,1677, 0.000,00:27:21,1, 0.570, 0.969,0
1,1234,1676, 1.414,00:27:22,0, 0.566, 0.974,0
1,1234,1676, 0.000,00:27:23,0, 0.566, 0.974,0
1,1235,1675, 1.414,00:27:24,0, 0.582, 0.974,0
1,1235,1675, 0.000,00:27:25,0, 0.593, 0.950,0
1,1235,1675, 0.000,00:27:26,0, 0.585, 0.961,0
1,1235,1675, 0.000,00:27:27,0, 0.591, 0.954,0
1,1235,1675, 0.000,00:27:28,0, 0.591, 0.954,0
1,1235,1675, 0.000,00:27:29,0, 0.589, 0.956,0
1,1249,1664,-1.000,00:27:30,0, 0.306, 0.974,0
1,1271,1665,-1.000,00:27:31,0, 0.614, 0.969,0
1,1272,1663, 2.236,00:27:32,0, 0.639, 0.972,0
1,1272,1664, 1.000,00:27:33,0, 0.625, 0.966,0
1,1271,1664, 1.000,00:27:34,0, 0.625, 0.971,0
1,1271,1665, 1.000,00:27:35,0, 0.617, 0.968,0
1,1271,1665, 0.000,00:27:36,0, 0.627, 0.977,0
1,1271,1664, 1.000,00:27:37,0, 0.626, 0.975,0
1,1271,1664, 0.000,00:27:38,0, 0.627, 0.975,0
1,1271,1664, 0.000,00:27:39,0, 0.633, 0.970,0
1,1271,1665, 1.000,00:27:40,0, 0.603, 0.975,0
1,1271,1665, 0.000,00:27:41,0, 0.611, 0.976,0
1,1271,1664, 1.000,00:27:42,0, 0.619, 0.974,0
1,1271,1665, 1.000,00:27:43,0, 0.616, 0.974,0
1,1271,1665, 0.000,00:27:44,0, 0.605, 0.975,0
1,1271,1665, 0.000,00:27:45,0, 0.611, 0.974,0
1,1271,1664, 1.000,00:27:46,0, 0.620, 0.975,0
1,1272,1666, 2.236,00:27:47,0, 0.649, 0.970,0
1,1270,1669, 3.606,00:27:48,0, 0.638, 0.973,0
1,1268,1671, 2.828,00:27:49,0, 0.612, 0.975,0
1,1269,1669, 2.236,00:27:50,0, 0.631, 0.975,0
1,1269,1668, 1.000,00:27:50,0, 0.639, 0.972,0
1,1269,1668, 0.000,00:27:51,0, 0.613, 0.974,0
1,1269,1668, 0.000,00:27:52,0, 0.614, 0.971,0
1,1271,1670, 2.828,00:27:53,0, 0.634, 0.970,0
1,1273,1674, 4.472,00:27:54,0, 0.629, 0.969,0
1,1277,1674, 4.000,00:27:55,0, 0.608, 0.971,0
1,1276,1673, 1.414,00:27:56,0, 0.630, 0.971,0
1,1274,1671, 2.828,00:27:57,0, 0.621, 0.972,0
1,1275,1667, 4.123,00:27:58,0, 0.602, 0.969,0
1,1275,1670, 3.000,00:27:59,0, 0.636, 0.970,0
1,1276,1672, 2.236,00:28:00,1, 0.616, 0.973,0
1,1274,1671, 2.236,00:28:01,0, 0.603, 0.972,0
1,1271,1671, 3.000,00:28:02,0, 0.601, 0.976,0
1,1271,1671, 0.000,00:28:03,0, 0.593, 0.975,0
1,1271,1671, 0.000,00:28:04,0, 0.599, 0.977,0
1,1271,1671, 0.000,00:28:05,0, 0.590, 0.974,0
1,1268,1671, 3.000,00:28:06,0, 0.588, 0.974,0
1,1267,1668, 3.162,00:28:07,0, 0.590, 0.974,0
1,1270,1669, 3.162,00:28:08,0, 0.603, 0.972,0
1,1273,1669, 3.000,00:28:09,0, 0.604, 0.975,0
