phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 311,1271,-1.000,02:40:47,0, 0.187, 0.950,0
0, 187, 182,-1.000,02:40:48,0, 0.240, 0.975,1
0, 195, 197,-1.000,02:40:49,1, 0.256, 0.971,1
0, 204, 201,-1.000,02:40:50,1, 0.263, 0.968,1
0, 331, 215,-1.000,02:40:51,1, 0.270, 0.974,1
0, 330, 223,-1.000,02:40:52,1, 0.242, 0.970,1
0,1328,1504,-1.000,02:40:53,1, 0.238, 0.971,0
0,1354,1518,-1.000,02:40:54,1, 0.237, 0.973,0
0,1351,1526,-1.000,02:40:55,1, 0.212, 0.972,0
0, 457, 621,-1.000,02:40:56,1, 0.242, 0.973,0
0, 947,1513,-1.000,02:40:57,1, 0.228, 0.974,0
0, 955,1523,-1.000,02:40:58,1, 0.228, 0.971,0
0,1820,1055,-1.000,02:40:59,1, 0.232, 0.971,0
0,1750, 254,-1.000,02:41:00,1, 0.260, 0.971,0
0,1854,1105,-1.000,02:41:01,1, 0.250, 0.976,0
0, 964, 143,-1.000,02:41:02,1, 0.417, 0.965,0
0, 973, 148,10.296,02:41:03,1, 0.533, 0.974,0
0, 985, 157,15.000,02:41:04,1, 0.497, 0.977,0
0, 997, 165,14.422,02:41:05,1, 0.510, 0.969,0
0,1010, 174,15.811,02:41:06,1, 0.500, 0.975,0
0,1021, 182,13.601,02:41:07,1, 0.464, 0.977,0
0,1029, 190,11.314,02:41:08,1, 0.441, 0.973,0
0,1041, 199,15.000,02:41:09,1, 0.453, 0.971,0
0,1054, 208,15.811,02:41:10,1, 0.416, 0.972,0
0,1063, 221,15.811,02:41:11,1, 0.442, 0.964,0
0,1075, 231,15.620,02:41:12,1, 0.472, 0.963,0
0,1087, 241,15.620,02:41:13,1, 0.467, 0.965,0
0,1099, 250,15.000,02:41:14,1, 0.478, 0.967,0
0,1110, 260,14.866,02:41:15,1, 0.470, 0.962,0
0,1121, 271,15.556,02:41:16,1, 0.451, 0.959,0
0,1128, 285,15.652,02:41:17,0, 0.424, 0.961,0
0,1138, 295,14.142,02:41:18,1, 0.505, 0.969,0
0,1149, 297,11.180,02:41:19,1, 0.519, 0.960,0
0,1158, 289,12.042,02:41:20,1, 0.412, 0.977,0
0,1161, 275,14.318,02:41:21,1, 0.390, 0.965,0
1,1171, 268,12.207,02:41:22,1, 0.458, 0.972,0
1,1179, 265, 8.544,02:41:23,1, 0.531, 0.966,0
1,1175, 263, 4.472,02:41:24,1, 0.506, 0.969,0
1,1174, 263, 1.000,02:41:25,0, 0.497, 0.966,0
