phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 179,1063,-1.000,02:35:31,0, 0.609, 0.968,0
0, 773,1760,915.776,02:35:32,0, 0.449, 0.967,0
0,1066, 247,-1.000,02:35:33,0, 0.241, 0.971,0
1,1080, 184,-1.000,02:35:34,0, 0.176, 0.951,0
1,1079, 184,-1.000,02:35:35,0, 0.169, 0.951,0
1,1182, 181,-1.000,02:35:36,0, 0.170, 0.948,0
0,1712,1179,-1.000,02:35:37,1, 0.455, 0.963,0
0,1710,1178, 2.236,02:35:38,1, 0.470, 0.970,0
0,1705,1177, 5.099,02:35:39,1, 0.473, 0.966,0
0,1701,1176, 4.123,02:35:40,1, 0.473, 0.968,0
0,1697,1175, 4.123,02:35:41,1, 0.479, 0.969,0
0,1692,1174, 5.099,02:35:42,1, 0.463, 0.971,0
0,1688,1173, 4.123,02:35:43,1, 0.461, 0.972,0
0,1684,1172, 4.123,02:35:44,1, 0.464, 0.970,0
0,1680,1171, 4.123,02:35:45,1, 0.458, 0.971,0
0,1675,1170, 5.099,02:35:46,1, 0.453, 0.967,0
0,1671,1169, 4.123,02:35:47,1, 0.451, 0.970,0
0,1665,1170, 6.083,02:35:48,1, 0.462, 0.968,0
0,1652,1178,15.264,02:35:49,1, 0.458, 0.970,0
0,1640,1188,15.620,02:35:50,1, 0.447, 0.971,0
0,1628,1199,16.279,02:35:51,1, 0.430, 0.975,0
0,1616,1209,15.620,02:35:52,1, 0.418, 0.978,0
0,1603,1219,16.401,02:35:53,1, 0.396, 0.971,0
0,1590,1228,15.811,02:35:54,1, 0.390, 0.977,0
0,1577,1237,15.811,02:35:55,1, 0.351, 0.976,0
0,1564,1246,-1.000,02:35:56,1, 0.315, 0.975,0
0,1558,1256,-1.000,02:35:57,1, 0.310, 0.975,0
0,1552,1262,-1.000,02:35:58,1, 0.305, 0.976,0
0,1539,1271,-1.000,02:35:59,1, 0.358, 0.970,0
0,1526,1279,15.264,02:36:00,1, 0.355, 0.973,0
0,1513,1289,16.401,02:36:01,1, 0.375, 0.978,0
0,1500,1298,15.811,02:36:02,1, 0.410, 0.978,0
0,1487,1306,15.264,02:36:03,1, 0.430, 0.974,0
1,1472,1314,17.000,02:36:04,1, 0.451, 0.978,0
1,1457,1319,15.811,02:36:05,1, 0.484, 0.978,0
1,1441,1319,16.000,02:36:06,1, 0.465, 0.977,0
1,1425,1317,16.125,02:36:07,1, 0.493, 0.977,0
1,1409,1315,16.125,02:36:08,1, 0.507, 0.976,0
1,1393,1316,16.031,02:36:09,1, 0.519, 0.978,0
1,1378,1320,15.524,02:36:10,1, 0.515, 0.978,0
1,1363,1325,15.811,02:36:11,1, 0.521, 0.979,0
1,1359,1329, 5.657,02:36:12,1, 0.518, 0.978,0
1,1354,1334, 7.071,02:36:13,1, 0.538, 0.975,0
1,1363,1337, 9.487,02:36:14,0, 0.543, 0.969,0
1,1365,1339, 2.828,02:36:15,0, 0.544, 0.971,0
1,1367,1339, 2.000,02:36:16,0, 0.526, 0.961,0
1,1362,1339, 5.000,02:36:17,0, 0.525, 0.981,0
1,1362,1339, 0.000,02:36:18,0, 0.528, 0.961,0
1,1363,1339, 1.000,02:36:19,0, 0.527, 0.974,0
1,1364,1339, 1.000,02:36:20,0, 0.533, 0.979,0
1,1364,1339, 0.000,02:36:21,0, 0.515, 0.981,0
1,1364,1339, 0.000,02:36:22,0, 0.517, 0.983,0
1,1364,1339, 0.000,02:36:23,0, 0.532, 0.982,0
1,1364,1339, 0.000,02:36:24,0, 0.531, 0.981,0
1,1364,1339, 0.000,02:36:25,0, 0.531, 0.982,0
1,1364,1339, 0.000,02:36:26,0, 0.529, 0.981,0
1,1364,1339, 0.000,02:36:27,0, 0.530, 0.982,0
1,1371,1292,47.518,02:36:28,0, 0.518, 0.965,0
1,1374,1292, 3.000,02:36:29,0, 0.507, 0.964,0
1,1377,1291, 3.162,02:36:30,0, 0.514, 0.979,0
1,1376,1289, 2.236,02:36:31,0, 0.506, 0.977,0
1,1376,1289, 0.000,02:36:32,0, 0.504, 0.979,0
1,1376,1289, 0.000,02:36:33,0, 0.499, 0.980,0
1,1376,1291, 2.000,02:36:34,0, 0.505, 0.975,0
1,1373,1293, 3.606,02:36:35,0, 0.514, 0.980,0
1,1371,1291, 2.828,02:36:36,0, 0.510, 0.980,0
1,1374,1292, 3.162,02:36:37,0, 0.515, 0.975,0
1,1371,1292, 3.000,02:36:38,0, 0.514, 0.982,0
1,1372,1291, 1.414,02:36:39,0, 0.518, 0.977,0
1,1375,1294, 4.243,02:36:40,0, 0.518, 0.980,0
1,1376,1297, 3.162,02:36:41,0, 0.519, 0.980,0
1,1375,1298, 1.414,02:36:42,0, 0.521, 0.975,0
1,1376,1298, 1.000,02:36:43,0, 0.522, 0.974,0
1,1377,1302, 4.123,02:36:44,0, 0.532, 0.979,0
1,1377,1303, 1.000,02:36:45,0, 0.533, 0.973,0
1,1378,1307, 4.123,02:36:46,0, 0.551, 0.976,0
1,1380,1308, 2.236,02:36:47,0, 0.556, 0.975,0
1,1381,1311, 3.162,02:36:48,0, 0.549, 0.969,0
1,1383,1314, 3.606,02:36:49,0, 0.554, 0.976,0
1,1384,1318, 4.123,02:36:50,0, 0.541, 0.980,0
1,1383,1323, 5.099,02:36:51,0, 0.540, 0.973,0
1,1382,1326, 3.162,02:36:52,0, 0.540, 0.966,0
1,1382,1328, 2.000,02:36:53,0, 0.558, 0.974,0
1,1383,1330, 2.236,02:36:54,0, 0.564, 0.980,0
1,1383,1331, 1.000,02:36:55,0, 0.563, 0.971,0
1,1382,1332, 1.414,02:36:56,0, 0.557, 0.972,0
1,1380,1333, 2.236,02:36:57,0, 0.561, 0.976,0
1,1378,1332, 2.236,02:36:58,0, 0.547, 0.967,0
