phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 668, 595,-1.000,00:58:44,0, 0.392, 0.974,0
0, 649, 606,-1.000,00:58:45,0, 0.223, 0.974,0
0, 143, 967,-1.000,00:58:46,0, 0.372, 0.974,0
0, 202, 956,-1.000,00:58:47,0, 0.341, 0.973,0
0, 262, 948,-1.000,00:58:48,0, 0.326, 0.974,0
0, 316, 939,-1.000,00:58:49,0, 0.285, 0.974,0
0, 375, 932,-1.000,00:58:50,0, 0.246, 0.974,0
0, 437, 923,-1.000,00:58:51,0, 0.254, 0.974,0
0, 498, 915,-1.000,00:58:52,0, 0.255, 0.974,0
0, 554, 909,-1.000,00:58:53,0, 0.277, 0.974,0
0, 615, 899,-1.000,00:58:54,0, 0.287, 0.973,0
0, 671, 887,-1.000,00:58:55,0, 0.348, 0.974,0
0, 734, 878,-1.000,00:58:56,0, 0.364, 0.974,0
0, 796, 869,62.650,00:58:57,0, 0.361, 0.973,0
0, 858, 860,-1.000,00:58:58,0, 0.341, 0.973,0
0, 907, 852,-1.000,00:58:59,0, 0.273, 0.972,0
0, 971, 850,-1.000,00:59:00,0, 0.371, 0.973,0
0,1033, 841,62.650,00:59:01,0, 0.428, 0.973,0
0,1092, 828,60.415,00:59:02,0, 0.360, 0.972,0
0,1157, 824,65.123,00:59:03,0, 0.354, 0.968,0
0,1207, 815,-1.000,00:59:04,0, 0.286, 0.973,0
0,1269, 807,-1.000,00:59:05,0, 0.295, 0.974,0
0,1331, 798,-1.000,00:59:06,0, 0.291, 0.974,0
0,1395, 789,-1.000,00:59:07,0, 0.290, 0.972,0
0,1435, 783,-1.000,00:59:08,1, 0.244, 0.975,0
0,1445, 789,-1.000,00:59:09,1, 0.250, 0.976,0
0,1460, 796,-1.000,00:59:10,1, 0.320, 0.974,0
0,1472, 808,-1.000,00:59:10,1, 0.367, 0.975,0
0,1485, 820,17.692,00:59:11,1, 0.359, 0.972,0
0,1499, 832,18.439,00:59:12,1, 0.356, 0.973,0
0,1514, 841,17.493,00:59:13,1, 0.376, 0.973,0
0,1528, 851,17.205,00:59:14,1, 0.402, 0.973,0
0,1542, 862,17.804,00:59:15,1, 0.399, 0.972,0
0,1554, 874,16.971,00:59:16,1, 0.422, 0.975,0
1,1566, 887,17.692,00:59:17,1, 0.433, 0.973,0
1,1578, 899,16.971,00:59:18,1, 0.421, 0.974,0
1,1590, 910,16.279,00:59:19,1, 0.434, 0.973,0
1,1598, 922,14.422,00:59:20,1, 0.435, 0.974,0
1,1599, 933,11.045,00:59:21,1, 0.442, 0.975,0
1,1605, 947,15.232,00:59:22,1, 0.466, 0.974,0
1,1611, 961,15.232,00:59:23,1, 0.448, 0.975,0
1,1619, 975,16.125,00:59:24,1, 0.482, 0.973,0
1,1626, 989,15.652,00:59:25,1, 0.453, 0.976,0
1,1632,1003,15.232,00:59:26,1, 0.410, 0.973,0
1,1634,1017,-1.000,00:59:27,1, 0.314, 0.975,0
1,1644,1039,-1.000,00:59:28,1, 0.498, 0.977,0
1,1652,1054,17.000,00:59:29,1, 0.523, 0.973,0
1,1659,1066,13.892,00:59:30,1, 0.508, 0.974,0
1,1666,1082,17.464,00:59:31,1, 0.520, 0.972,0
1,1674,1094,14.422,00:59:32,0, 0.503, 0.968,0
1,1680,1106,13.416,00:59:33,1, 0.528, 0.970,0
1,1685,1120,14.866,00:59:34,1, 0.523, 0.977,0
1,1692,1134,15.652,00:59:35,1, 0.512, 0.979,0
1,1700,1148,16.125,00:59:36,1, 0.495, 0.976,0
1,1707,1161,14.765,00:59:37,1, 0.452, 0.979,0
1,1714,1174,14.765,00:59:38,1, 0.457, 0.977,0
1,1721,1182,10.630,00:59:39,1, 0.482, 0.977,0
1,1729,1195,15.264,00:59:40,1, 0.497, 0.977,0
1,1736,1208,14.765,00:59:41,1, 0.511, 0.978,0
1,1743,1222,15.652,00:59:42,1, 0.543, 0.979,0
1,1752,1234,15.000,00:59:43,1, 0.556, 0.979,0
1,1762,1246,15.620,00:59:44,1, 0.587, 0.978,0
1,1772,1254,12.806,00:59:45,1, 0.580, 0.972,0
1,1777,1257, 5.831,00:59:46,1, 0.578, 0.975,0
1,1781,1256, 4.123,00:59:47,0, 0.581, 0.978,0
1,1782,1256, 1.000,00:59:48,0, 0.575, 0.977,0
1,1780,1257, 2.236,00:59:49,0, 0.579, 0.979,0
1,1776,1258, 4.123,00:59:50,0, 0.574, 0.978,0
1,1776,1259, 1.000,00:59:51,0, 0.584, 0.975,0
1,1780,1261, 4.472,00:59:52,0, 0.585, 0.975,0
1,1783,1263, 3.606,00:59:53,0, 0.577, 0.974,0
1,1783,1263, 0.000,00:59:54,0, 0.576, 0.978,0
1,1784,1263, 1.000,00:59:55,0, 0.568, 0.978,0
1,1787,1264, 3.162,00:59:56,0, 0.569, 0.978,0
1,1788,1264, 1.000,00:59:57,0, 0.569, 0.977,0
1,1788,1264, 0.000,00:59:58,0, 0.568, 0.976,0
1,1786,1264, 2.000,00:59:59,0, 0.571, 0.972,0
1,1783,1263, 3.162,01:00:00,0, 0.575, 0.977,0
1,1781,1260, 3.606,01:00:01,0, 0.578, 0.973,0
1,1778,1260, 3.000,01:00:02,0, 0.579, 0.974,0
1,1776,1262, 2.828,01:00:03,0, 0.584, 0.976,0
1,1774,1263, 2.236,01:00:04,0, 0.580, 0.976,0
1,1772,1265, 2.828,01:00:05,0, 0.576, 0.979,0
1,1774,1268, 3.606,01:00:06,0, 0.575, 0.979,0
1,1774,1264, 4.000,01:00:07,0, 0.577, 0.976,0
