phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1666,1697,-1.000,00:04:31,1, 0.516, 0.963,0
0,1196,1281,688.368,00:04:32,1, 0.498, 0.976,0
0,1206,1280,10.050,00:04:33,1, 0.485, 0.974,0
0,1216,1281,10.050,00:04:34,1, 0.478, 0.970,0
0,1227,1280,11.045,00:04:35,1, 0.480, 0.977,0
0,1236,1281, 9.055,00:04:36,1, 0.459, 0.979,0
0,1242,1284, 6.708,00:04:37,1, 0.434, 0.981,0
0,1242,1286, 2.000,00:04:38,1, 0.421, 0.982,0
0,1243,1286, 1.000,00:04:39,1, 0.405, 0.979,0
1,1256,1287,13.038,00:04:40,1, 0.449, 0.978,0
1,1268,1284,12.369,00:04:41,1, 0.461, 0.977,0
1,1282,1286,14.142,00:04:42,1, 0.436, 0.973,0
1,1296,1292,15.232,00:04:43,1, 0.385, 0.974,0
1,1310,1297,14.866,00:04:44,1, 0.419, 0.975,0
1,1324,1302,14.866,00:04:45,1, 0.489, 0.976,0
1,1331,1305, 7.616,00:04:46,1, 0.495, 0.977,0
1,1331,1305, 0.000,00:04:47,1, 0.498, 0.977,0
1,1331,1305, 0.000,00:04:48,1, 0.500, 0.978,0
1,1331,1305, 0.000,00:04:49,1, 0.500, 0.978,0
1,1331,1305, 0.000,00:04:50,1, 0.500, 0.978,0
1,1331,1305, 0.000,00:04:51,1, 0.500, 0.978,0
1,1331,1305, 0.000,00:04:52,1, 0.500, 0.978,0
1,1345,1309,14.560,00:04:53,1, 0.501, 0.977,0
1,1346,1310, 1.414,00:04:54,1, 0.504, 0.976,0
1,1355,1318,12.042,00:04:55,1, 0.497, 0.976,0
1,1368,1329,17.029,00:04:56,1, 0.508, 0.978,0
1,1379,1338,14.213,00:04:57,1, 0.499, 0.978,0
1,1388,1351,15.811,00:04:58,1, 0.511, 0.972,0
1,1393,1365,14.866,00:04:59,1, 0.512, 0.977,0
1,1404,1377,16.279,00:05:00,1, 0.508, 0.978,0
1,1416,1388,16.279,00:05:01,1, 0.501, 0.978,0
1,1429,1395,14.765,00:05:02,1, 0.492, 0.974,0
1,1441,1406,16.279,00:05:03,1, 0.495, 0.976,0
1,1455,1409,14.318,00:05:04,1, 0.514, 0.978,0
1,1459,1411, 4.472,00:05:05,0, 0.504, 0.978,0
1,1463,1410, 4.123,00:05:06,0, 0.499, 0.969,0
1,1462,1409, 1.414,00:05:07,0, 0.496, 0.979,0
1,1460,1412, 3.606,00:05:08,0, 0.506, 0.975,0
1,1457,1412, 3.000,00:05:09,0, 0.515, 0.978,0
1,1457,1412, 0.000,00:05:10,0, 0.509, 0.977,0
1,1456,1413, 1.414,00:05:11,0, 0.518, 0.979,0
1,1456,1413, 0.000,00:05:12,0, 0.511, 0.974,0
1,1456,1411, 2.000,00:05:13,0, 0.513, 0.975,0
1,1456,1410, 1.000,00:05:14,0, 0.522, 0.978,0
1,1455,1414, 4.123,00:05:15,0, 0.511, 0.978,0
1,1456,1412, 2.236,00:05:16,0, 0.509, 0.977,0
1,1459,1409, 4.243,00:05:17,0, 0.507, 0.978,0
1,1459,1405, 4.000,00:05:18,0, 0.482, 0.977,0
1,1459,1403, 2.000,00:05:19,0, 0.487, 0.976,0
1,1459,1402, 1.000,00:05:20,0, 0.479, 0.977,0
1,1457,1401, 2.236,00:05:21,0, 0.480, 0.977,0
1,1460,1403, 3.606,00:05:22,0, 0.490, 0.972,0
1,1459,1406, 3.162,00:05:23,0, 0.494, 0.978,0
1,1455,1405, 4.123,00:05:24,0, 0.487, 0.976,0
1,1459,1404, 4.123,00:05:25,0, 0.494, 0.970,0
1,1460,1401, 3.162,00:05:26,0, 0.482, 0.959,0
1,1461,1401, 1.000,00:05:27,0, 0.481, 0.974,0
-1,1161,1123,-1.000,00:05:28,0, 0.185, 0.880,0
-1,1497, 185,-1.000,00:05:29,0, 0.376, 0.878,0
-1,1502, 185, 5.000,00:05:30,0, 0.384, 0.878,0
-1,1502, 185, 0.000,00:05:31,0, 0.384, 0.878,0
-1,1502, 185, 0.000,00:05:32,0, 0.383, 0.878,0
1,1461,1401,1216.691,00:05:33,0, 0.482, 0.960,0
1,1461,1402, 1.000,00:05:34,0, 0.486, 0.978,0
1,1459,1403, 2.236,00:05:35,0, 0.487, 0.978,0
1,1459,1403, 0.000,00:05:36,0, 0.481, 0.978,0
1,1460,1402, 1.414,00:05:37,0, 0.489, 0.977,0
1,1461,1402, 1.000,00:05:38,0, 0.488, 0.976,0
1,1459,1405, 3.606,00:05:39,0, 0.501, 0.975,0
1,1456,1406, 3.162,00:05:40,0, 0.487, 0.971,0
1,1456,1402, 4.000,00:05:41,0, 0.480, 0.976,0
1,1456,1402, 0.000,00:05:42,0, 0.481, 0.975,0
1,1456,1401, 1.000,00:05:43,0, 0.488, 0.977,0
1,1457,1401, 1.000,00:05:44,0, 0.486, 0.975,0
1,1460,1401, 3.000,00:05:45,0, 0.496, 0.978,0
1,1464,1401, 4.000,00:05:46,0, 0.485, 0.977,0
1,1468,1403, 4.472,00:05:47,0, 0.472, 0.976,0
1,1469,1406, 3.162,00:05:48,0, 0.485, 0.972,0
1,1466,1405, 3.162,00:05:49,0, 0.488, 0.975,0
1,1466,1405, 0.000,00:05:50,0, 0.487, 0.972,0
1,1466,1405, 0.000,00:05:51,0, 0.484, 0.968,0
1,1466,1405, 0.000,00:05:52,0, 0.485, 0.971,0
1,1466,1405, 0.000,00:05:53,0, 0.488, 0.971,0
1,1466,1405, 0.000,00:05:54,0, 0.483, 0.965,0
1,1467,1405, 1.000,00:05:55,0, 0.487, 0.977,0
1,1469,1406, 2.236,00:05:56,0, 0.482, 0.966,0
1,1472,1406, 3.000,00:05:57,0, 0.484, 0.975,0
1,1472,1407, 1.000,00:05:58,0, 0.478, 0.968,0
1,1473,1407, 1.000,00:05:59,0, 0.483, 0.970,0
1,1472,1407, 1.000,00:06:00,0, 0.491, 0.971,0
1,1469,1405, 3.606,00:06:01,0, 0.485, 0.977,0
1,1467,1406, 2.236,00:06:02,0, 0.479, 0.964,0
1,1469,1405, 2.236,00:06:03,0, 0.467, 0.965,0
1,1472,1408, 4.243,00:06:04,0, 0.489, 0.976,0
1,1473,1408, 1.000,00:06:05,0, 0.491, 0.975,0
1,1473,1408, 0.000,00:06:10,0, 0.475, 0.978,0
1,1472,1407, 1.414,00:06:11,0, 0.486, 0.978,0
1,1471,1407, 1.000,00:06:12,0, 0.476, 0.977,0
1,1471,1407, 0.000,00:06:13,0, 0.473, 0.977,0
