phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 143, 159,-1.000,01:58:29,0, 0.325, 0.967,1
0, 143,1729,-1.000,01:58:30,0, 0.259, 0.974,1
0, 167, 366,-1.000,01:58:31,0, 0.271, 0.971,0
0, 171, 994,-1.000,01:58:32,0, 0.486, 0.972,0
0, 229, 984,58.856,01:58:33,0, 0.459, 0.971,0
0, 284, 971,56.515,01:58:34,0, 0.437, 0.972,0
0, 345, 963,61.522,01:58:35,0, 0.434, 0.971,0
0, 406, 955,61.522,01:58:36,0, 0.395, 0.972,0
0, 467, 948,-1.000,01:58:37,0, 0.331, 0.971,0
0, 521, 946,-1.000,01:58:38,0, 0.317, 0.973,0
0, 579, 938,-1.000,01:58:39,0, 0.413, 0.972,0
0, 639, 929,60.671,01:58:40,0, 0.372, 0.972,0
-1, 262, 258,-1.000,01:58:41,0, 0.177, 0.923,1
-1, 262, 258,-1.000,01:58:42,0, 0.176, 0.923,1
-1,1649, 223,-1.000,01:58:43,0, 0.173, 0.922,0
-1, 262, 258,-1.000,01:58:44,0, 0.176, 0.922,1
-1, 262, 258,-1.000,01:58:45,0, 0.179, 0.919,1
-1, 262, 258,-1.000,01:58:46,0, 0.169, 0.915,1
-1, 262, 258,-1.000,01:58:47,0, 0.187, 0.907,1
0,1069, 871,-1.000,01:58:48,1, 0.513, 0.972,0
0,1077, 882,13.601,01:58:48,1, 0.519, 0.972,0
0,1087, 893,14.866,01:58:49,1, 0.539, 0.972,0
0,1098, 903,14.866,01:58:50,1, 0.551, 0.972,0
0,1107, 916,15.811,01:58:51,1, 0.573, 0.973,0
0,1116, 928,15.000,01:58:52,1, 0.576, 0.972,0
0,1128, 938,15.620,01:58:53,1, 0.550, 0.972,0
0,1140, 949,16.279,01:58:54,1, 0.547, 0.972,0
0,1151, 958,14.213,01:58:55,1, 0.564, 0.972,0
0,1160, 970,15.000,01:58:56,1, 0.559, 0.973,0
0,1171, 981,15.556,01:58:57,1, 0.537, 0.972,0
0,1181, 991,14.142,01:58:58,1, 0.588, 0.974,0
0,1190,1002,14.213,01:58:59,1, 0.607, 0.976,0
0,1201,1013,15.556,01:59:00,1, 0.599, 0.976,0
0,1211,1025,15.620,01:59:01,1, 0.594, 0.976,0
0,1220,1037,15.000,01:59:02,1, 0.586, 0.976,0
1,1229,1048,14.213,01:59:03,1, 0.538, 0.980,0
1,1237,1061,15.264,01:59:04,1, 0.523, 0.982,0
1,1247,1073,15.620,01:59:05,1, 0.502, 0.979,0
1,1256,1085,15.000,01:59:06,1, 0.473, 0.980,0
1,1265,1097,15.000,01:59:07,1, 0.480, 0.978,0
1,1274,1109,15.000,01:59:08,1, 0.474, 0.981,0
1,1282,1121,14.422,01:59:09,1, 0.473, 0.981,0
1,1290,1133,14.422,01:59:10,1, 0.486, 0.981,0
1,1298,1145,14.422,01:59:11,1, 0.475, 0.978,0
1,1306,1158,15.264,01:59:12,1, 0.483, 0.979,0
1,1313,1170,13.892,01:59:13,1, 0.495, 0.978,0
1,1320,1183,14.765,01:59:14,1, 0.478, 0.980,0
1,1326,1195,13.416,01:59:15,1, 0.489, 0.978,0
1,1334,1207,14.422,01:59:16,1, 0.455, 0.979,0
1,1340,1216,10.817,01:59:17,1, 0.454, 0.978,0
1,1348,1228,14.422,01:59:18,1, 0.490, 0.981,0
1,1355,1240,13.892,01:59:19,1, 0.525, 0.980,0
1,1362,1252,13.892,01:59:19,1, 0.506, 0.981,0
1,1369,1266,15.652,01:59:20,1, 0.523, 0.981,0
1,1377,1279,15.264,01:59:21,1, 0.518, 0.980,0
1,1385,1291,14.422,01:59:22,1, 0.538, 0.977,0
1,1393,1302,13.601,01:59:23,1, 0.555, 0.978,0
1,1402,1316,16.643,01:59:24,1, 0.541, 0.982,0
1,1410,1321, 9.434,01:59:25,1, 0.526, 0.975,0
1,1422,1326,13.000,01:59:26,1, 0.537, 0.978,0
1,1419,1340,14.318,01:59:27,1, 0.553, 0.978,0
1,1415,1342, 4.472,01:59:28,0, 0.555, 0.981,0
1,1413,1339, 3.606,01:59:29,0, 0.548, 0.981,0
1,1413,1335, 4.000,01:59:30,0, 0.542, 0.980,0
1,1416,1335, 3.000,01:59:31,0, 0.537, 0.977,0
1,1417,1335, 1.000,01:59:32,0, 0.541, 0.979,0
1,1418,1335, 1.000,01:59:33,0, 0.541, 0.981,0
1,1420,1338, 3.606,01:59:34,0, 0.544, 0.977,0
1,1416,1340, 4.472,01:59:35,0, 0.547, 0.979,0
1,1412,1339, 4.123,01:59:36,0, 0.550, 0.981,0
1,1409,1337, 3.606,01:59:37,0, 0.546, 0.976,0
1,1408,1335, 2.236,01:59:38,0, 0.544, 0.977,0
1,1408,1335, 0.000,01:59:39,0, 0.541, 0.977,0
1,1408,1335, 0.000,01:59:40,0, 0.544, 0.977,0
1,1408,1335, 0.000,01:59:41,0, 0.541, 0.978,0
1,1408,1335, 0.000,01:59:42,0, 0.540, 0.978,0
1,1408,1335, 0.000,01:59:43,0, 0.540, 0.981,0
1,1408,1335, 0.000,01:59:44,0, 0.543, 0.977,0
1,1409,1335, 1.000,01:59:45,0, 0.534, 0.982,0
1,1410,1336, 1.414,01:59:46,0, 0.543, 0.981,0
1,1412,1337, 2.236,01:59:47,0, 0.543, 0.982,0
1,1413,1339, 2.236,01:59:48,0, 0.551, 0.979,0
1,1412,1339, 1.000,01:59:49,0, 0.544, 0.979,0
1,1414,1339, 2.000,01:59:49,0, 0.551, 0.979,0
1,1415,1339, 1.000,01:59:50,0, 0.546, 0.977,0
1,1412,1339, 3.000,01:59:51,0, 0.539, 0.979,0
1,1411,1339, 1.000,01:59:53,0, 0.545, 0.982,0
1,1411,1339, 0.000,01:59:54,0, 0.541, 0.979,0
1,1411,1339, 0.000,01:59:55,0, 0.541, 0.979,0
1,1411,1339, 0.000,01:59:56,0, 0.537, 0.978,0
1,1411,1339, 0.000,01:59:57,0, 0.539, 0.982,0
1,1411,1339, 0.000,01:59:58,0, 0.538, 0.978,0
1,1411,1339, 0.000,01:59:59,0, 0.540, 0.982,0
1,1411,1339, 0.000,02:00:00,0, 0.542, 0.981,0
1,1411,1339, 0.000,02:00:01,0, 0.542, 0.982,0
1,1411,1339, 0.000,02:00:02,0, 0.539, 0.978,0
1,1411,1339, 0.000,02:00:03,0, 0.542, 0.981,0
1,1410,1336, 3.162,02:00:04,0, 0.540, 0.978,0
1,1407,1336, 3.000,02:00:05,0, 0.538, 0.978,0
1,1407,1336, 0.000,02:00:06,0, 0.556, 0.978,0
1,1408,1336, 1.000,02:00:07,0, 0.548, 0.981,0
