phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 319,1341,-1.000,00:05:17,1, 0.422, 0.972,0
0,1714, 372,1688.005,00:05:18,1, 0.474, 0.969,0
0,1697, 373,17.029,00:05:19,1, 0.474, 0.970,0
0,1681, 372,16.031,00:05:20,1, 0.465, 0.970,0
0,1665, 370,16.125,00:05:21,1, 0.466, 0.971,0
0,1650, 368,15.133,00:05:22,1, 0.441, 0.970,0
0,1635, 366,15.133,00:05:23,1, 0.464, 0.975,0
0,1620, 364,15.133,00:05:24,1, 0.441, 0.966,0
0,1605, 362,15.133,00:05:25,1, 0.429, 0.974,0
0,1589, 359,16.279,00:05:26,1, 0.442, 0.974,0
0,1580, 355, 9.849,00:05:27,1, 0.442, 0.974,0
0,1564, 352,16.279,00:05:28,1, 0.458, 0.975,0
0,1549, 346,16.155,00:05:29,1, 0.460, 0.975,0
0,1534, 341,15.811,00:05:30,1, 0.477, 0.975,0
0,1520, 335,15.232,00:05:31,1, 0.492, 0.974,0
0,1505, 330,15.811,00:05:32,1, 0.494, 0.974,0
0,1490, 325,15.811,00:05:33,1, 0.508, 0.970,0
0,1480, 315,14.142,00:05:34,1, 0.470, 0.974,0
0,1467, 309,14.318,00:05:35,1, 0.426, 0.971,0
0,1453, 305,14.560,00:05:36,1, 0.387, 0.972,0
0,1446, 304, 7.071,00:05:37,1, 0.361, 0.969,0
0,1434, 306,-1.000,00:05:38,1, 0.341, 0.971,0
0,1438, 311,-1.000,00:05:39,1, 0.363, 0.977,0
0,1430, 312, 8.062,00:05:40,1, 0.376, 0.978,0
0,1427, 315, 4.243,00:05:41,1, 0.388, 0.977,0
0,1429, 308, 7.280,00:05:42,1, 0.377, 0.977,0
0,1418, 301,13.038,00:05:43,1, 0.425, 0.978,0
0,1409, 298, 9.487,00:05:44,1, 0.450, 0.978,0
0,1404, 299, 5.099,00:05:45,0, 0.484, 0.975,0
0,1403, 299, 1.000,00:05:46,0, 0.531, 0.976,0
1,1400, 297, 3.606,00:05:47,0, 0.538, 0.977,0
1,1400, 293, 4.000,00:05:48,0, 0.525, 0.977,0
1,1403, 292, 3.162,00:05:49,0, 0.526, 0.971,0
1,1403, 295, 3.000,00:05:50,0, 0.518, 0.955,0
1,1404, 299, 4.123,00:05:51,0, 0.528, 0.975,0
1,1404, 300, 1.000,00:05:52,0, 0.523, 0.977,0
1,1404, 299, 1.000,00:05:53,0, 0.521, 0.979,0
1,1405, 296, 3.162,00:05:54,0, 0.511, 0.974,0
1,1407, 295, 2.236,00:05:55,0, 0.513, 0.977,0
1,1408, 295, 1.000,00:05:56,0, 0.502, 0.975,0
1,1408, 295, 0.000,00:05:57,0, 0.508, 0.978,0
1,1408, 295, 0.000,00:05:57,0, 0.511, 0.978,0
1,1408, 295, 0.000,00:05:58,0, 0.511, 0.977,0
1,1408, 295, 0.000,00:05:59,0, 0.514, 0.976,0
1,1408, 294, 1.000,00:06:00,0, 0.513, 0.975,0
1,1409, 294, 1.000,00:06:01,0, 0.507, 0.978,0
1,1408, 294, 1.000,00:06:02,0, 0.512, 0.976,0
1,1408, 295, 1.000,00:06:03,0, 0.508, 0.975,0
1,1407, 294, 1.414,00:06:04,0, 0.515, 0.977,0
1,1404, 296, 3.606,00:06:05,0, 0.530, 0.979,0
1,1403, 297, 1.414,00:06:06,0, 0.521, 0.978,0
1,1404, 297, 1.000,00:06:07,0, 0.526, 0.977,0
1,1404, 297, 0.000,00:06:08,0, 0.526, 0.977,0
1,1404, 297, 0.000,00:06:09,0, 0.521, 0.978,0
1,1404, 297, 0.000,00:06:10,0, 0.527, 0.975,0
1,1403, 296, 1.414,00:06:11,0, 0.532, 0.976,0
1,1403, 296, 0.000,00:06:12,0, 0.533, 0.967,0
1,1403, 296, 0.000,00:06:13,0, 0.528, 0.974,0
1,1404, 295, 1.414,00:06:14,0, 0.523, 0.976,0
1,1403, 295, 1.000,00:06:15,0, 0.531, 0.965,0
1,1403, 294, 1.000,00:06:16,0, 0.529, 0.968,0
1,1403, 295, 1.000,00:06:17,0, 0.522, 0.974,0
1,1403, 297, 2.000,00:06:18,0, 0.533, 0.966,0
1,1404, 297, 1.000,00:06:19,0, 0.523, 0.976,0
1,1406, 299, 2.828,00:06:20,0, 0.510, 0.975,0
1,1409, 299, 3.000,00:06:21,0, 0.498, 0.979,0
1,1410, 297, 2.236,00:06:22,0, 0.485, 0.977,0
1,1412, 294, 3.606,00:06:23,0, 0.500, 0.979,0
1,1412, 298, 4.000,00:06:24,0, 0.481, 0.976,0
1,1411, 299, 1.414,00:06:25,0, 0.494, 0.975,0
1,1411, 297, 2.000,00:06:26,0, 0.496, 0.975,0
1,1410, 297, 1.000,00:06:27,0, 0.496, 0.978,0
1,1410, 298, 1.000,00:06:28,0, 0.490, 0.976,0
1,1409, 299, 1.414,00:06:29,0, 0.499, 0.976,0
1,1407, 296, 3.606,00:06:30,0, 0.509, 0.978,0
1,1404, 295, 3.162,00:06:31,0, 0.529, 0.974,0
1,1404, 295, 0.000,00:06:32,0, 0.520, 0.974,0
1,1404, 295, 0.000,00:06:33,0, 0.517, 0.976,0
1,1404, 295, 0.000,00:06:34,0, 0.516, 0.975,0
1,1405, 295, 1.000,00:06:35,0, 0.522, 0.977,0
1,1407, 295, 2.000,00:06:36,0, 0.516, 0.975,0
1,1407, 297, 2.000,00:06:37,0, 0.518, 0.978,0
1,1407, 299, 2.000,00:06:38,0, 0.507, 0.978,0
1,1407, 299, 0.000,00:06:39,0, 0.506, 0.976,0
1,1407, 299, 0.000,00:06:40,0, 0.501, 0.977,0
1,1407, 299, 0.000,00:06:41,0, 0.502, 0.976,0
1,1407, 300, 1.000,00:06:41,0, 0.497, 0.977,0
1,1407, 298, 2.000,00:06:42,0, 0.510, 0.979,0
1,1404, 298, 3.000,00:06:43,0, 0.524, 0.977,0
1,1404, 299, 1.000,00:06:44,0, 0.515, 0.977,0
1,1404, 299, 0.000,00:06:45,0, 0.519, 0.975,0
1,1406, 297, 2.828,00:06:46,0, 0.510, 0.976,0
1,1408, 294, 3.606,00:06:47,0, 0.479, 0.975,0
1,1408, 291, 3.000,00:06:48,0, 0.475, 0.965,0
1,1406, 287, 4.472,00:06:49,0, 0.481, 0.978,0
1,1407, 284, 3.162,00:06:50,0, 0.474, 0.978,0
1,1407, 284, 0.000,00:06:51,0, 0.474, 0.979,0
1,1407, 284, 0.000,00:06:52,0, 0.474, 0.978,0
1,1407, 282, 2.000,00:06:53,0, 0.471, 0.978,0
1,1406, 286, 4.123,00:06:54,0, 0.479, 0.976,0
1,1409, 288, 3.606,00:06:55,0, 0.470, 0.977,0
1,1413, 287, 4.123,00:06:56,0, 0.464, 0.972,0
1,1417, 285, 4.472,00:06:57,0, 0.464, 0.965,0
1,1420, 283, 3.606,00:06:58,0, 0.452, 0.976,0
1,1423, 280, 4.243,00:06:59,0, 0.439, 0.969,0
1,1427, 278, 4.472,00:07:00,0, 0.428, 0.975,0
1,1429, 276, 2.828,00:07:01,0, 0.432, 0.976,0
1,1427, 276, 2.000,00:07:02,0, 0.401, 0.977,0
1,1425, 278, 2.828,00:07:03,0, 0.439, 0.976,0
1,1421, 278, 4.000,00:07:04,0, 0.445, 0.978,0
1,1417, 277, 4.123,00:07:05,0, 0.452, 0.978,0
1,1413, 276, 4.123,00:07:06,0, 0.462, 0.979,0
1,1409, 275, 4.123,00:07:07,0, 0.473, 0.977,0
1,1405, 274, 4.123,00:07:08,0, 0.487, 0.976,0
1,1401, 273, 4.123,00:07:09,0, 0.500, 0.976,0
1,1397, 272, 4.123,00:07:10,0, 0.506, 0.978,0
1,1393, 271, 4.123,00:07:11,0, 0.497, 0.980,0
1,1389, 270, 4.123,00:07:12,0, 0.509, 0.979,0
1,1385, 269, 4.123,00:07:13,0, 0.511, 0.972,0
1,1381, 268, 4.123,00:07:14,0, 0.523, 0.972,0
1,1377, 267, 4.123,00:07:15,0, 0.531, 0.971,0
1,1376, 268, 1.414,00:07:16,0, 0.529, 0.972,0
1,1374, 268, 2.000,00:07:17,0, 0.521, 0.967,0
1,1373, 268, 1.000,00:07:18,0, 0.522, 0.971,0
1,1373, 268, 0.000,00:07:19,0, 0.522, 0.971,0
1,1373, 268, 0.000,00:07:20,0, 0.522, 0.971,0
1,1373, 268, 0.000,00:07:21,0, 0.522, 0.971,0
1,1374, 268, 1.000,00:07:22,0, 0.522, 0.971,0
1,1372, 268, 2.000,00:07:23,0, 0.522, 0.971,0
1,1369, 268, 3.000,00:07:24,0, 0.526, 0.974,0
1,1365, 269, 4.123,00:07:25,0, 0.527, 0.976,0
1,1363, 270, 2.236,00:07:26,0, 0.524, 0.977,0
1,1363, 270, 0.000,00:07:26,0, 0.527, 0.976,0
1,1363, 270, 0.000,00:07:27,0, 0.537, 0.975,0
1,1364, 271, 1.414,00:07:28,0, 0.535, 0.980,0
1,1365, 270, 1.414,00:07:29,0, 0.532, 0.979,0
1,1365, 270, 0.000,00:07:30,0, 0.525, 0.979,0
1,1365, 270, 0.000,00:07:31,0, 0.523, 0.979,0
1,1365, 270, 0.000,00:07:32,0, 0.528, 0.979,0
1,1365, 270, 0.000,00:07:33,0, 0.529, 0.974,0
1,1364, 270, 1.000,00:07:34,0, 0.518, 0.977,0
1,1364, 271, 1.000,00:07:35,0, 0.526, 0.971,0
1,1364, 270, 1.000,00:07:36,0, 0.529, 0.970,0
1,1364, 270, 0.000,00:07:37,0, 0.526, 0.971,0
1,1363, 269, 1.414,00:07:38,0, 0.527, 0.971,0
1,1363, 269, 0.000,00:07:39,0, 0.531, 0.971,0
1,1363, 269, 0.000,00:07:40,0, 0.532, 0.968,0
1,1363, 269, 0.000,00:07:41,0, 0.529, 0.965,0
1,1363, 269, 0.000,00:07:42,0, 0.528, 0.966,0
1,1363, 269, 0.000,00:07:43,0, 0.527, 0.965,0
1,1363, 269, 0.000,00:07:44,0, 0.522, 0.966,0
1,1363, 269, 0.000,00:07:45,0, 0.526, 0.966,0
1,1363, 269, 0.000,00:07:46,0, 0.525, 0.966,0
1,1363, 269, 0.000,00:07:47,0, 0.531, 0.966,0
1,1363, 269, 0.000,00:07:48,0, 0.529, 0.966,0
1,1363, 269, 0.000,00:07:49,0, 0.529, 0.966,0
1,1363, 269, 0.000,00:07:50,0, 0.531, 0.966,0
1,1363, 268, 1.000,00:07:51,0, 0.524, 0.966,0
1,1360, 268, 3.000,00:07:52,0, 0.543, 0.966,0
1,1359, 268, 1.000,00:07:53,0, 0.528, 0.970,0
1,1359, 268, 0.000,00:07:54,0, 0.529, 0.970,0
1,1359, 268, 0.000,00:07:55,0, 0.531, 0.971,0
1,1359, 268, 0.000,00:07:56,0, 0.533, 0.972,0
1,1359, 268, 0.000,00:07:57,0, 0.530, 0.969,0
1,1359, 268, 0.000,00:07:58,0, 0.525, 0.971,0
1,1359, 268, 0.000,00:07:59,0, 0.529, 0.970,0
1,1359, 268, 0.000,00:08:00,0, 0.527, 0.971,0
1,1359, 269, 1.000,00:08:01,0, 0.536, 0.966,0
1,1359, 269, 0.000,00:08:02,0, 0.533, 0.975,0
1,1359, 269, 0.000,00:08:03,0, 0.527, 0.975,0
1,1359, 269, 0.000,00:08:04,0, 0.532, 0.975,0
1,1359, 269, 0.000,00:08:05,0, 0.539, 0.972,0
1,1359, 269, 0.000,00:08:06,0, 0.530, 0.971,0
1,1359, 269, 0.000,00:08:07,0, 0.526, 0.970,0
1,1361, 268, 2.236,00:08:08,0, 0.525, 0.975,0
1,1361, 268, 0.000,00:08:09,0, 0.531, 0.973,0
1,1361, 268, 0.000,00:08:10,0, 0.528, 0.973,0
1,1361, 268, 0.000,00:08:11,0, 0.526, 0.976,0
1,1361, 268, 0.000,00:08:11,0, 0.527, 0.974,0
1,1361, 268, 0.000,00:08:12,0, 0.525, 0.974,0
1,1361, 268, 0.000,00:08:13,0, 0.529, 0.969,0
1,1361, 268, 0.000,00:08:14,0, 0.529, 0.967,0
1,1361, 268, 0.000,00:08:15,0, 0.527, 0.978,0
