phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 996,1058,-1.000,00:50:19,1, 0.471, 0.972,0
0, 994,1066, 8.246,00:50:20,1, 0.538, 0.961,0
0, 992,1073, 7.280,00:50:21,1, 0.506, 0.966,0
0, 987,1083,11.180,00:50:22,1, 0.476, 0.966,0
0, 980,1093,12.207,00:50:23,1, 0.468, 0.968,0
-1,1344, 159,-1.000,00:50:24,0, 0.185, 0.934,0
-1,1165, 176,-1.000,00:50:25,0, 0.196, 0.922,0
0, 963,1121,-1.000,00:50:26,1, 0.471, 0.974,0
0, 958,1129, 9.434,00:50:27,1, 0.483, 0.974,0
0, 952,1139,11.662,00:50:28,1, 0.489, 0.970,0
0, 946,1149,11.662,00:50:29,1, 0.469, 0.968,0
0, 939,1158,11.402,00:50:30,1, 0.435, 0.966,0
0, 930,1167,12.728,00:50:31,1, 0.437, 0.966,0
0, 923,1177,12.207,00:50:32,1, 0.434, 0.965,0
0, 912,1191,17.804,00:50:33,1, 0.460, 0.968,0
0, 905,1204,14.765,00:50:34,1, 0.435, 0.969,0
0, 898,1218,15.652,00:50:35,1, 0.441, 0.971,0
1, 890,1231,15.264,00:50:36,1, 0.478, 0.975,0
1, 887,1244,13.342,00:50:36,1, 0.477, 0.977,0
1, 879,1256,14.422,00:50:37,1, 0.481, 0.978,0
1, 870,1268,15.000,00:50:38,1, 0.484, 0.975,0
1, 860,1280,15.620,00:50:39,1, 0.500, 0.975,0
1, 850,1291,14.866,00:50:40,0, 0.496, 0.975,0
1, 841,1304,15.811,00:50:41,0, 0.485, 0.969,0
1, 835,1314,11.662,00:50:42,0, 0.487, 0.973,0
1, 829,1322,10.000,00:50:43,0, 0.459, 0.973,0
1, 823,1331,10.817,00:50:44,0, 0.455, 0.974,0
1, 820,1334, 4.243,00:50:45,1, 0.438, 0.979,0
1, 811,1345,14.213,00:50:46,1, 0.420, 0.979,0
1, 803,1355,12.806,00:50:47,1, 0.383, 0.977,0
1, 797,1360, 7.810,00:50:48,1, 0.387, 0.979,0
1, 791,1371,12.530,00:50:49,1, 0.396, 0.981,0
1, 784,1378, 9.899,00:50:50,0, 0.413, 0.979,0
1, 776,1386,11.314,00:50:51,0, 0.418, 0.976,0
1, 770,1393, 9.220,00:50:52,1, 0.418, 0.975,0
1, 761,1405,15.000,00:50:53,1, 0.413, 0.974,0
1, 753,1417,14.422,00:50:54,1, 0.447, 0.978,0
1, 746,1425,10.630,00:50:55,1, 0.496, 0.977,0
1, 743,1429, 5.000,00:50:56,1, 0.497, 0.979,0
1, 732,1438,14.213,00:50:57,1, 0.508, 0.982,0
1, 722,1448,14.142,00:50:58,0, 0.535, 0.979,0
1, 718,1452, 5.657,00:50:59,1, 0.541, 0.980,0
1, 709,1461,12.728,00:51:00,1, 0.600, 0.970,0
1, 702,1466, 8.602,00:51:01,0, 0.618, 0.972,0
1, 701,1470, 4.123,00:51:02,0, 0.599, 0.975,0
1, 701,1474, 4.000,00:51:03,0, 0.589, 0.972,0
1, 702,1476, 2.236,00:51:04,0, 0.591, 0.972,0
1, 702,1479, 3.000,00:51:05,0, 0.595, 0.973,0
1, 704,1482, 3.606,00:51:06,0, 0.651, 0.977,0
1, 705,1485, 3.162,00:51:07,0, 0.630, 0.963,0
1, 708,1486, 3.162,00:51:07,0, 0.617, 0.980,0
1, 711,1486, 3.000,00:51:08,0, 0.606, 0.981,0
1, 714,1488, 3.606,00:51:09,0, 0.617, 0.981,0
1, 714,1488, 0.000,00:51:10,0, 0.613, 0.980,0
1, 715,1488, 1.000,00:51:11,0, 0.611, 0.979,0
1, 714,1489, 1.414,00:51:12,0, 0.618, 0.980,0
1, 713,1487, 2.236,00:51:13,0, 0.615, 0.982,0
1, 709,1486, 4.123,00:51:14,0, 0.607, 0.983,0
