phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 293, 143,-1.000,04:53:26,0, 0.747, 0.948,1
0, 283, 143,-1.000,04:53:27,0, 0.744, 0.949,1
-1, 634, 694,-1.000,04:53:29,0, 0.345, 0.878,0
-1,1498, 221,-1.000,04:53:30,0, 0.493, 0.943,0
-1,1468, 171,58.310,04:53:32,0, 0.397, 0.932,0
1, 822, 175,646.012,04:53:33,0, 0.602, 0.956,0
1,1491, 220,670.512,04:53:34,0, 0.530, 0.957,0
1,1499, 212,11.314,04:53:35,0, 0.544, 0.956,0
-1,1488, 215,11.402,04:53:36,0, 0.428, 0.847,0
-1,1480, 216, 8.062,04:53:37,0, 0.394, 0.896,0
1,1474, 157,59.304,04:53:38,0, 0.504, 0.946,0
-1,1275, 157,199.000,04:53:39,0, 0.444, 0.937,0
-1,1279, 171,14.560,04:53:40,0, 0.440, 0.946,0
-1,1280, 170, 1.414,04:53:41,0, 0.407, 0.934,0
-1, 980, 163,-1.000,04:53:42,0, 0.324, 0.877,0
-1, 634, 694,-1.000,04:53:43,0, 0.350, 0.878,0
1, 295, 143,-1.000,04:53:44,0, 0.704, 0.952,1
1, 295, 143,-1.000,04:53:45,0, 0.701, 0.953,1
1, 295, 143,-1.000,04:53:46,0, 0.702, 0.953,1
1, 305, 143,-1.000,04:53:47,0, 0.679, 0.953,1
-1, 655, 143,-1.000,04:53:48,0, 0.324, 0.924,0
-1, 796, 191,-1.000,04:53:49,0, 0.370, 0.920,0
-1, 213, 931,942.066,04:53:50,0, 0.462, 0.920,0
-1, 213, 931, 0.000,04:53:51,0, 0.522, 0.920,0
-1, 214, 931, 1.000,04:53:52,0, 0.507, 0.922,0
-1, 214, 931, 0.000,04:53:53,0, 0.508, 0.922,0
-1, 214, 931, 0.000,04:53:54,0, 0.505, 0.922,0
-1, 214, 931, 0.000,04:53:55,0, 0.506, 0.922,0
-1, 218, 681,-1.000,04:53:56,0, 0.223, 0.923,0
-1, 655, 143,-1.000,04:53:57,0, 0.324, 0.923,0
-1,1800,1524,-1.000,04:53:58,0, 0.202, 0.922,0
-1,1472, 221,-1.000,04:53:59,0, 0.213, 0.922,0
-1,1800,1524,-1.000,04:54:00,0, 0.202, 0.922,0
-1,1472, 221,-1.000,04:54:01,0, 0.209, 0.922,0
-1,1472, 221,-1.000,04:54:02,0, 0.209, 0.922,0
-1, 807, 182,-1.000,04:54:03,0, 0.431, 0.920,0
-1,1495,1511,-1.000,04:54:04,0, 0.250, 0.920,0
-1,1159,1484,-1.000,04:54:05,0, 0.273, 0.920,0
-1,1159,1484,-1.000,04:54:06,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:07,0, 0.275, 0.920,0
-1,1159,1484,-1.000,04:54:08,0, 0.274, 0.920,0
-1,1159,1484,-1.000,04:54:09,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:10,0, 0.276, 0.920,0
-1,1159,1484,-1.000,04:54:11,0, 0.274, 0.920,0
-1,1159,1484,-1.000,04:54:12,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:13,0, 0.273, 0.920,0
-1,1159,1484,-1.000,04:54:14,0, 0.270, 0.920,0
-1,1159,1484,-1.000,04:54:15,0, 0.275, 0.920,0
-1,1159,1484,-1.000,04:54:16,0, 0.275, 0.920,0
-1,1159,1484,-1.000,04:54:17,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:18,0, 0.269, 0.920,0
-1,1159,1484,-1.000,04:54:19,0, 0.270, 0.920,0
-1,1159,1484,-1.000,04:54:20,0, 0.269, 0.920,0
-1,1159,1484,-1.000,04:54:21,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:22,0, 0.269, 0.920,0
-1,1159,1484,-1.000,04:54:23,0, 0.270, 0.920,0
-1,1159,1484,-1.000,04:54:24,0, 0.272, 0.920,0
-1,1159,1484,-1.000,04:54:25,0, 0.270, 0.920,0
-1,1159,1484,-1.000,04:54:26,0, 0.270, 0.920,0
-1,1159,1484,-1.000,04:54:27,0, 0.267, 0.920,0
-1,1472, 221,-1.000,04:54:28,0, 0.205, 0.922,0
-1,1800,1524,-1.000,04:54:29,0, 0.201, 0.922,0
-1,1472, 221,-1.000,04:54:30,0, 0.214, 0.922,0
-1,1049, 820,-1.000,04:54:31,0, 0.213, 0.922,0
