phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1178, 165,-1.000,01:46:59,0, 0.554, 0.963,0
0,1787, 172,-1.000,01:47:00,0, 0.390, 0.964,1
0, 567,1668,-1.000,01:47:01,0, 0.181, 0.966,0
0, 939,1819,-1.000,01:47:02,0, 0.557, 0.965,0
0, 936,1758,61.074,01:47:03,0, 0.558, 0.962,0
0, 933,1700,58.078,01:47:04,0, 0.539, 0.965,0
0, 927,1642,58.310,01:47:05,0, 0.483, 0.972,0
1, 493, 648,-1.000,01:47:06,0, 0.227, 0.951,0
0, 920,1550,-1.000,01:47:07,1, 0.597, 0.971,0
0, 914,1553, 6.708,01:47:08,0, 0.597, 0.968,0
0, 907,1556, 7.616,01:47:09,1, 0.609, 0.970,0
0, 902,1551, 7.071,01:47:10,1, 0.622, 0.973,0
-1, 271, 296,-1.000,01:47:11,0, 0.240, 0.931,0
-1,1210, 180,-1.000,01:47:12,0, 0.242, 0.928,0
-1,1157, 176,-1.000,01:47:13,0, 0.254, 0.927,0
0, 904,1534,-1.000,01:47:14,1, 0.626, 0.967,0
0, 904,1531, 3.000,01:47:14,1, 0.625, 0.969,0
0, 905,1529, 2.236,01:47:15,1, 0.608, 0.970,0
0, 905,1530, 1.000,01:47:16,1, 0.595, 0.966,0
0, 905,1532, 2.000,01:47:17,1, 0.606, 0.966,0
0, 905,1533, 1.000,01:47:18,1, 0.605, 0.970,0
0, 906,1532, 1.414,01:47:19,1, 0.601, 0.968,0
1, 898,1532, 8.000,01:47:20,1, 0.580, 0.960,0
0, 882,1533,16.031,01:47:21,1, 0.546, 0.960,0
0, 868,1532,14.036,01:47:22,1, 0.541, 0.956,0
0, 854,1531,14.036,01:47:23,1, 0.517, 0.960,0
0, 840,1529,14.142,01:47:24,1, 0.522, 0.959,0
0, 825,1528,15.033,01:47:25,1, 0.520, 0.961,0
0, 818,1526, 7.280,01:47:26,1, 0.517, 0.965,0
1, 803,1524,15.133,01:47:27,1, 0.531, 0.959,0
0, 788,1521,15.297,01:47:28,1, 0.563, 0.970,0
0, 775,1517,13.601,01:47:29,1, 0.575, 0.969,0
0, 759,1512,16.763,01:47:30,1, 0.589, 0.976,0
0, 745,1508,14.560,01:47:31,1, 0.617, 0.972,0
0, 730,1505,15.297,01:47:32,1, 0.613, 0.975,0
1, 715,1500,15.811,01:47:33,1, 0.589, 0.967,0
1, 702,1495,13.928,01:47:34,1, 0.588, 0.969,0
1, 688,1490,14.866,01:47:35,1, 0.592, 0.973,0
1, 673,1489,15.033,01:47:36,1, 0.578, 0.976,0
1, 658,1492,15.297,01:47:37,1, 0.595, 0.970,0
1, 643,1496,15.524,01:47:38,1, 0.588, 0.967,0
1, 629,1501,14.866,01:47:39,1, 0.605, 0.975,0
1, 615,1499,14.142,01:47:40,1, 0.593, 0.970,0
1, 608,1510,13.038,01:47:41,1, 0.608, 0.968,0
1, 605,1524,14.318,01:47:42,1, 0.658, 0.965,0
1, 611,1528, 7.211,01:47:43,1, 0.641, 0.974,0
1, 622,1526,11.180,01:47:43,0, 0.621, 0.978,0
1, 623,1526, 1.000,01:47:44,0, 0.633, 0.972,0
1, 621,1523, 3.606,01:47:45,0, 0.644, 0.973,0
1, 617,1524, 4.123,01:47:46,0, 0.618, 0.974,0
1, 613,1523, 4.123,01:47:47,0, 0.625, 0.976,0
1, 611,1521, 2.828,01:47:48,0, 0.645, 0.977,0
1, 610,1518, 3.162,01:47:49,0, 0.625, 0.978,0
1, 612,1514, 4.472,01:47:50,0, 0.611, 0.973,0
1, 613,1513, 1.414,01:47:51,0, 0.599, 0.965,0
1, 612,1515, 2.236,01:47:52,0, 0.627, 0.971,0
1, 611,1515, 1.000,01:47:53,0, 0.634, 0.976,0
1, 610,1517, 2.236,01:47:54,0, 0.634, 0.979,0
1, 610,1520, 3.000,01:47:55,0, 0.629, 0.973,0
1, 613,1521, 3.162,01:47:56,0, 0.657, 0.975,0
1, 616,1522, 3.162,01:47:57,0, 0.638, 0.974,0
1, 618,1521, 2.236,01:47:58,0, 0.617, 0.972,0
1, 619,1519, 2.236,01:47:59,0, 0.652, 0.973,0
1, 619,1523, 4.000,01:48:00,0, 0.630, 0.974,0
1, 619,1524, 1.000,01:48:01,0, 0.618, 0.973,0
1, 619,1525, 1.000,01:48:02,0, 0.632, 0.974,0
1, 619,1524, 1.000,01:48:03,0, 0.632, 0.976,0
1, 618,1523, 1.414,01:48:04,0, 0.647, 0.973,0
1, 620,1524, 2.236,01:48:05,0, 0.650, 0.971,0
1, 621,1524, 1.000,01:48:06,0, 0.638, 0.974,0
1, 621,1521, 3.000,01:48:07,0, 0.643, 0.972,0
1, 621,1517, 4.000,01:48:08,0, 0.633, 0.970,0
1, 621,1516, 1.000,01:48:09,0, 0.652, 0.973,0
1, 621,1517, 1.000,01:48:10,0, 0.623, 0.975,0
