phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1175, 163,-1.000,00:43:15,0, 0.482, 0.967,0
0, 491, 561,-1.000,00:43:16,0, 0.337, 0.967,0
0, 233,1357,-1.000,00:43:17,0, 0.299, 0.967,0
0,1250,1825,-1.000,00:43:18,0, 0.589, 0.968,0
0,1225,1766,64.078,00:43:19,0, 0.478, 0.968,0
0,1200,1718,54.120,00:43:20,0, 0.494, 0.967,0
0,1173,1658,65.795,00:43:21,0, 0.520, 0.968,0
0,1147,1599,64.475,00:43:22,0, 0.521, 0.967,0
0,1121,1541,63.561,00:43:23,0, 0.463, 0.967,0
0,1106,1492,51.245,00:43:24,0, 0.579, 0.966,0
0,1079,1434,63.977,00:43:25,0, 0.552, 0.967,0
0,1054,1379,60.415,00:43:26,0, 0.505, 0.968,0
0,1030,1325,59.093,00:43:27,0, 0.463, 0.968,0
0,1006,1268,61.847,00:43:28,0, 0.409, 0.967,0
0, 981,1211,62.241,00:43:29,0, 0.404, 0.965,0
0, 956,1158,58.600,00:43:30,0, 0.413, 0.966,0
0, 930,1101,62.650,00:43:31,0, 0.425, 0.966,0
0, 904,1043,63.561,00:43:32,0, 0.423, 0.967,0
1, 887,1033,-1.000,00:43:33,0, 0.115, 0.954,0
0, 846, 936,-1.000,00:43:34,0, 0.386, 0.972,0
0, 847, 923,13.038,00:43:35,1, 0.390, 0.972,0
0, 871, 911,26.833,00:43:36,1, 0.437, 0.968,0
0, 886, 902,17.493,00:43:37,1, 0.435, 0.967,0
0, 900, 893,16.643,00:43:38,1, 0.436, 0.967,0
0, 915, 885,17.000,00:43:39,1, 0.415, 0.968,0
0, 929, 876,16.643,00:43:40,1, 0.401, 0.967,0
0, 933, 868, 8.944,00:43:41,1, 0.410, 0.968,0
0, 947, 860,16.125,00:43:42,1, 0.398, 0.968,0
0, 961, 851,16.643,00:43:43,1, 0.439, 0.968,0
0, 975, 848,14.318,00:43:44,1, 0.452, 0.968,0
0, 989, 839,16.643,00:43:45,1, 0.454, 0.967,0
0,1003, 831,16.125,00:43:46,1, 0.483, 0.965,0
0,1017, 822,16.643,00:43:47,1, 0.429, 0.963,0
0,1031, 813,16.643,00:43:48,1, 0.410, 0.964,0
1,1045, 803,17.205,00:43:49,1, 0.363, 0.969,0
1,1059, 794,-1.000,00:43:50,1, 0.270, 0.969,0
1,1087, 786,-1.000,00:43:51,1, 0.492, 0.969,0
1,1101, 778,16.125,00:43:52,1, 0.479, 0.970,0
1,1118, 768,19.723,00:43:53,1, 0.468, 0.970,0
1,1130, 761,13.892,00:43:54,1, 0.452, 0.971,0
1,1142, 754,13.892,00:43:55,1, 0.418, 0.971,0
1,1155, 745,15.811,00:43:56,1, 0.406, 0.971,0
1,1169, 737,16.125,00:43:57,1, 0.389, 0.971,0
1,1182, 729,15.264,00:43:58,1, 0.383, 0.971,0
1,1195, 721,15.264,00:43:59,1, 0.379, 0.971,0
1,1208, 713,15.264,00:44:00,1, 0.366, 0.971,0
1,1222, 704,-1.000,00:44:01,1, 0.349, 0.971,0
1,1235, 697,-1.000,00:44:02,1, 0.334, 0.972,0
1,1241, 686,-1.000,00:44:03,1, 0.322, 0.972,0
1,1254, 678,-1.000,00:44:04,1, 0.331, 0.971,0
1,1267, 669,-1.000,00:44:05,1, 0.319, 0.971,0
1,1280, 661,-1.000,00:44:06,1, 0.305, 0.971,0
1,1294, 653,-1.000,00:44:07,1, 0.328, 0.971,0
1,1307, 645,-1.000,00:44:08,1, 0.311, 0.971,0
1,1321, 645,-1.000,00:44:09,1, 0.306, 0.971,0
1,1335, 638,-1.000,00:44:10,1, 0.309, 0.971,0
1,1348, 630,-1.000,00:44:11,1, 0.361, 0.971,0
1,1361, 622,15.264,00:44:12,1, 0.368, 0.972,0
1,1374, 614,15.264,00:44:13,1, 0.364, 0.972,0
1,1386, 605,15.000,00:44:14,1, 0.364, 0.971,0
1,1399, 597,15.264,00:44:15,1, 0.373, 0.971,0
1,1411, 589,14.422,00:44:16,1, 0.406, 0.972,0
1,1424, 581,-1.000,00:44:17,1, 0.349, 0.972,0
1,1435, 572,-1.000,00:44:18,1, 0.373, 0.972,0
1,1448, 564,15.264,00:44:19,1, 0.382, 0.971,0
1,1460, 556,14.422,00:44:20,1, 0.379, 0.972,0
1,1472, 549,13.892,00:44:21,1, 0.410, 0.972,0
1,1486, 541,16.125,00:44:22,1, 0.409, 0.972,0
1,1499, 534,14.765,00:44:23,1, 0.393, 0.972,0
1,1513, 526,16.125,00:44:24,1, 0.380, 0.972,0
1,1527, 519,15.652,00:44:25,1, 0.387, 0.972,0
1,1533, 510,10.817,00:44:26,1, 0.383, 0.972,0
1,1546, 503,14.765,00:44:27,1, 0.391, 0.973,0
1,1559, 494,15.811,00:44:28,1, 0.402, 0.973,0
1,1572, 486,15.264,00:44:29,1, 0.410, 0.972,0
1,1584, 484,12.166,00:44:30,1, 0.410, 0.973,0
1,1597, 477,14.765,00:44:31,1, 0.422, 0.972,0
1,1611, 469,16.125,00:44:32,1, 0.414, 0.972,0
1,1624, 462,14.765,00:44:33,1, 0.455, 0.973,0
1,1637, 454,15.264,00:44:34,1, 0.463, 0.978,0
1,1649, 444,15.620,00:44:35,1, 0.471, 0.980,0
1,1660, 434,14.866,00:44:36,1, 0.493, 0.972,0
1,1670, 423,14.866,00:44:37,1, 0.513, 0.969,0
1,1680, 418,11.180,00:44:38,0, 0.516, 0.978,0
1,1685, 419, 5.099,00:44:39,0, 0.509, 0.975,0
1,1689, 418, 4.123,00:44:40,0, 0.519, 0.978,0
1,1690, 415, 3.162,00:44:41,0, 0.514, 0.979,0
1,1689, 411, 4.123,00:44:42,0, 0.510, 0.980,0
1,1689, 408, 3.000,00:44:43,0, 0.516, 0.979,0
1,1688, 408, 1.000,00:44:44,0, 0.519, 0.981,0
1,1688, 408, 0.000,00:44:45,0, 0.515, 0.980,0
1,1687, 408, 1.000,00:44:46,0, 0.512, 0.957,0
1,1688, 408, 1.000,00:44:47,0, 0.526, 0.968,0
1,1691, 409, 3.162,00:44:48,0, 0.532, 0.977,0
1,1690, 406, 3.162,00:44:49,0, 0.514, 0.980,0
1,1691, 406, 1.000,00:44:50,0, 0.506, 0.980,0
1,1691, 406, 0.000,00:44:51,0, 0.510, 0.981,0
1,1690, 405, 1.414,00:44:52,0, 0.495, 0.982,0
1,1690, 405, 0.000,00:44:53,0, 0.491, 0.982,0
1,1687, 405, 3.000,00:44:54,0, 0.502, 0.980,0
1,1683, 405, 4.000,00:44:55,0, 0.495, 0.979,0
1,1679, 405,-1.000,00:44:56,0, 0.319, 0.976,0
1,1677, 401,-1.000,00:44:57,0, 0.509, 0.979,0
1,1674, 400, 3.162,00:44:58,0, 0.506, 0.980,0
1,1673, 401, 1.414,00:44:59,0, 0.510, 0.980,0
1,1673, 400, 1.000,00:45:00,0, 0.508, 0.981,0
1,1673, 399, 1.000,00:45:01,0, 0.511, 0.981,0
1,1673, 397, 2.000,00:45:02,0, 0.509, 0.972,0
1,1673, 397, 0.000,00:45:03,0, 0.508, 0.980,0
1,1673, 397, 0.000,00:45:04,0, 0.509, 0.971,0
1,1673, 398, 1.000,00:45:05,0, 0.505, 0.965,0
1,1673, 398, 0.000,00:45:07,0, 0.497, 0.979,0
1,1673, 399, 1.000,00:45:08,0, 0.502, 0.979,0
1,1673, 399, 0.000,00:45:09,0, 0.502, 0.980,0
1,1673, 399, 0.000,00:45:10,0, 0.500, 0.980,0
1,1673, 399, 0.000,00:45:11,0, 0.503, 0.981,0
1,1673, 399, 0.000,00:45:12,0, 0.503, 0.962,0
1,1674, 402, 3.162,00:45:13,0, 0.500, 0.979,0
1,1674, 402, 0.000,00:45:14,0, 0.498, 0.966,0
1,1674, 401, 1.000,00:45:15,0, 0.500, 0.973,0
1,1674, 401, 0.000,00:45:16,0, 0.500, 0.973,0
1,1674, 401, 0.000,00:45:17,0, 0.500, 0.973,0
1,1674, 401, 0.000,00:45:18,0, 0.497, 0.972,0
1,1674, 401, 0.000,00:45:19,0, 0.498, 0.973,0
1,1674, 401, 0.000,00:45:20,0, 0.499, 0.975,0
1,1674, 401, 0.000,00:45:21,0, 0.495, 0.973,0
1,1674, 401, 0.000,00:45:22,0, 0.491, 0.973,0
1,1674, 401, 0.000,00:45:23,0, 0.491, 0.973,0
1,1674, 401, 0.000,00:45:24,0, 0.494, 0.974,0
1,1674, 401, 0.000,00:45:25,0, 0.495, 0.974,0
1,1674, 401, 0.000,00:45:26,0, 0.493, 0.976,0
1,1674, 401, 0.000,00:45:27,0, 0.496, 0.976,0
1,1673, 399, 2.236,00:45:28,0, 0.497, 0.976,0
1,1673, 396, 3.000,00:45:29,0, 0.494, 0.981,0
1,1673, 392, 4.000,00:45:30,0, 0.502, 0.977,0
1,1673, 392, 0.000,00:45:31,0, 0.501, 0.964,0
1,1675, 391, 2.236,00:45:32,0, 0.504, 0.965,0
1,1677, 391, 2.000,00:45:33,0, 0.497, 0.973,0
1,1676, 392, 1.414,00:45:34,0, 0.500, 0.978,0
1,1673, 392, 3.000,00:45:35,0, 0.505, 0.978,0
1,1669, 392, 4.000,00:45:36,0, 0.502, 0.978,0
1,1670, 388, 4.123,00:45:37,0, 0.513, 0.979,0
1,1673, 386, 3.606,00:45:38,0, 0.511, 0.971,0
1,1673, 382, 4.000,00:45:39,0, 0.504, 0.980,0
1,1674, 377, 5.099,00:45:40,0, 0.507, 0.980,0
