phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 311,1343,-1.000,00:06:24,1, 0.399, 0.975,0
0, 435, 905,-1.000,00:06:25,1, 0.286, 0.973,0
0, 436, 915,-1.000,00:06:26,1, 0.297, 0.973,0
0, 438, 924,-1.000,00:06:27,1, 0.265, 0.976,0
0, 444, 936,-1.000,00:06:28,1, 0.295, 0.976,0
0, 448, 944,-1.000,00:06:29,0, 0.301, 0.966,0
0, 453, 947,-1.000,00:06:30,1, 0.285, 0.969,0
0, 455, 955,-1.000,00:06:31,1, 0.313, 0.970,0
0, 454, 966,-1.000,00:06:32,1, 0.328, 0.971,0
0, 452, 977,-1.000,00:06:33,1, 0.350, 0.970,0
2, 450, 988,-1.000,00:06:34,1, 0.406, 0.974,0
2, 446, 998,10.770,00:06:35,1, 0.394, 0.981,0
2, 437,1010,15.000,00:06:36,1, 0.397, 0.983,0
2, 427,1021,14.866,00:06:37,1, 0.425, 0.985,0
2, 416,1032,15.556,00:06:38,1, 0.438, 0.980,0
2, 410,1045,14.318,00:06:39,1, 0.413, 0.972,0
2, 405,1059,14.866,00:06:40,1, 0.437, 0.970,0
2, 393,1067,14.422,00:06:41,1, 0.434, 0.973,0
2, 383,1078,14.866,00:06:42,1, 0.400, 0.977,0
2, 377,1086,10.000,00:06:43,0, 0.405, 0.977,0
2, 374,1088, 3.606,00:06:44,0, 0.402, 0.980,0
2, 371,1087, 3.162,00:06:45,0, 0.380, 0.983,0
2, 367,1085, 4.472,00:06:46,0, 0.385, 0.983,0
2, 364,1083, 3.606,00:06:46,0, 0.393, 0.978,0
2, 364,1081, 2.000,00:06:47,0, 0.385, 0.977,0
2, 364,1082, 1.000,00:06:48,0, 0.388, 0.983,0
2, 367,1084, 3.606,00:06:49,0, 0.382, 0.986,0
2, 369,1084, 2.000,00:06:50,0, 0.377, 0.986,0
2, 371,1083, 2.236,00:06:51,0, 0.379, 0.988,0
2, 371,1084, 1.000,00:06:52,0, 0.385, 0.986,0
2, 369,1084, 2.000,00:06:53,0, 0.386, 0.983,0
2, 366,1088, 5.000,00:06:54,0, 0.390, 0.986,0
2, 362,1088, 4.000,00:06:55,0, 0.393, 0.986,0
2, 364,1084, 4.472,00:06:56,0, 0.392, 0.984,0
2, 367,1083, 3.162,00:06:57,0, 0.381, 0.982,0
2, 370,1083, 3.000,00:06:58,0, 0.379, 0.978,0
2, 371,1083, 1.000,00:06:59,0, 0.379, 0.987,0
2, 369,1084, 2.236,00:07:00,0, 0.393, 0.972,0
2, 368,1085, 1.414,00:07:01,0, 0.379, 0.982,0
2, 367,1086, 1.414,00:07:02,0, 0.391, 0.982,0
2, 367,1087, 1.000,00:07:03,0, 0.382, 0.985,0
2, 369,1087, 2.000,00:07:04,0, 0.381, 0.989,0
2, 369,1088, 1.000,00:07:05,0, 0.379, 0.988,0
2, 369,1088, 0.000,00:07:06,0, 0.377, 0.987,0
2, 369,1088, 0.000,00:07:07,0, 0.378, 0.985,0
2, 369,1088, 0.000,00:07:08,0, 0.377, 0.986,0
2, 369,1088, 0.000,00:07:09,0, 0.377, 0.986,0
2, 370,1087, 1.414,00:07:10,0, 0.381, 0.984,0
2, 370,1087, 0.000,00:07:11,0, 0.383, 0.983,0
2, 371,1087, 1.000,00:07:12,0, 0.381, 0.984,0
2, 371,1087, 0.000,00:07:13,0, 0.378, 0.985,0
2, 371,1087, 0.000,00:07:14,0, 0.379, 0.986,0
2, 371,1087, 0.000,00:07:15,0, 0.380, 0.986,0
2, 371,1087, 0.000,00:07:16,0, 0.386, 0.985,0
2, 370,1087, 1.000,00:07:17,0, 0.385, 0.979,0
2, 367,1087, 3.000,00:07:17,0, 0.383, 0.988,0
2, 367,1087, 0.000,00:07:18,0, 0.380, 0.988,0
2, 367,1087, 0.000,00:07:19,0, 0.380, 0.989,0
2, 367,1087, 0.000,00:07:20,0, 0.379, 0.989,0
2, 367,1087, 0.000,00:07:21,0, 0.381, 0.989,0
2, 367,1087, 0.000,00:07:22,0, 0.382, 0.987,0
2, 367,1087, 0.000,00:07:23,0, 0.380, 0.987,0
2, 367,1085, 2.000,00:07:24,0, 0.381, 0.976,0
2, 364,1084, 3.162,00:07:25,0, 0.397, 0.985,0
2, 363,1088, 4.123,00:07:26,0, 0.395, 0.979,0
2, 366,1089, 3.162,00:07:27,0, 0.382, 0.983,0
2, 368,1089, 2.000,00:07:28,0, 0.386, 0.984,0
2, 368,1091, 2.000,00:07:29,0, 0.389, 0.988,0
2, 368,1091, 0.000,00:07:30,0, 0.387, 0.989,0
2, 370,1092, 2.236,00:07:31,0, 0.395, 0.988,0
2, 370,1091, 1.000,00:07:32,0, 0.394, 0.986,0
2, 371,1090, 1.414,00:07:33,0, 0.386, 0.973,0
2, 374,1091, 3.162,00:07:34,0, 0.396, 0.988,0
2, 377,1093, 3.606,00:07:35,0, 0.407, 0.983,0
2, 381,1094, 4.123,00:07:36,0, 0.399, 0.987,0
2, 385,1095, 4.123,00:07:37,0, 0.399, 0.985,0
2, 389,1095, 4.000,00:07:38,0, 0.409, 0.984,0
2, 393,1094, 4.123,00:07:39,0, 0.419, 0.983,0
2, 397,1092, 4.472,00:07:40,0, 0.427, 0.986,0
2, 401,1092, 4.000,00:07:41,0, 0.423, 0.982,0
2, 404,1092, 3.000,00:07:42,0, 0.409, 0.983,0
2, 405,1092, 1.000,00:07:43,0, 0.412, 0.982,0
2, 408,1094, 3.606,00:07:44,0, 0.414, 0.984,0
2, 409,1098, 4.123,00:07:45,0, 0.410, 0.986,0
2, 407,1101, 3.606,00:07:46,0, 0.403, 0.985,0
2, 404,1098, 4.243,00:07:47,0, 0.407, 0.986,0
2, 404,1095, 3.000,00:07:48,0, 0.402, 0.989,0
2, 404,1093, 2.000,00:07:49,0, 0.409, 0.990,0
2, 404,1093, 0.000,00:07:49,0, 0.408, 0.990,0
2, 404,1093, 0.000,00:07:50,0, 0.407, 0.987,0
2, 404,1093, 0.000,00:07:51,0, 0.400, 0.979,0
2, 404,1095, 2.000,00:07:52,0, 0.409, 0.986,0
2, 404,1099, 4.000,00:07:53,0, 0.405, 0.986,0
2, 408,1100, 4.123,00:07:54,0, 0.410, 0.986,0
2, 412,1100, 4.000,00:07:55,0, 0.393, 0.976,0
2, 416,1101, 4.123,00:07:56,0, 0.409, 0.978,0
2, 419,1099, 3.606,00:07:57,0, 0.411, 0.979,0
2, 422,1098, 3.162,00:07:58,0, 0.411, 0.977,0
2, 423,1097, 1.414,00:07:59,0, 0.409, 0.979,0
2, 423,1097, 0.000,00:08:00,0, 0.404, 0.988,0
2, 423,1097, 0.000,00:08:01,0, 0.400, 0.987,0
2, 423,1098, 1.000,00:08:02,0, 0.395, 0.984,0
2, 424,1098, 1.000,00:08:03,0, 0.401, 0.986,0
2, 425,1098, 1.000,00:08:04,0, 0.405, 0.985,0
2, 427,1100, 2.828,00:08:05,0, 0.401, 0.985,0
2, 427,1102, 2.000,00:08:06,0, 0.398, 0.983,0
2, 427,1102, 0.000,00:08:07,0, 0.412, 0.982,0
2, 427,1101, 1.000,00:08:08,0, 0.413, 0.982,0
2, 427,1102, 1.000,00:08:09,0, 0.402, 0.980,0
2, 427,1103, 1.000,00:08:10,0, 0.393, 0.983,0
2, 429,1102, 2.236,00:08:11,0, 0.394, 0.982,0
2, 428,1103, 1.414,00:08:12,0, 0.394, 0.985,0
2, 429,1101, 2.236,00:08:13,0, 0.403, 0.974,0
2, 429,1100, 1.000,00:08:14,0, 0.391, 0.985,0
2, 428,1099, 1.414,00:08:15,0, 0.400, 0.984,0
2, 427,1100, 1.414,00:08:16,0, 0.399, 0.985,0
2, 423,1102, 4.472,00:08:17,0, 0.401, 0.986,0
2, 420,1104, 3.606,00:08:18,0, 0.394, 0.988,0
2, 418,1103, 2.236,00:08:19,0, 0.403, 0.988,0
2, 415,1103, 3.000,00:08:20,0, 0.421, 0.975,0
2, 414,1105, 2.236,00:08:20,0, 0.410, 0.974,0
2, 414,1107, 2.000,00:08:21,0, 0.410, 0.981,0
2, 412,1108, 2.236,00:08:22,0, 0.420, 0.973,0
2, 410,1108, 2.000,00:08:23,0, 0.404, 0.981,0
2, 407,1108, 3.000,00:08:24,0, 0.396, 0.966,0
2, 405,1109, 2.236,00:08:25,0, 0.396, 0.976,0
2, 403,1108, 2.236,00:08:26,0, 0.397, 0.986,0
2, 403,1108, 0.000,00:08:27,0, 0.392, 0.980,0
2, 402,1108, 1.000,00:08:28,0, 0.398, 0.985,0
2, 403,1108, 1.000,00:08:29,0, 0.404, 0.979,0
2, 403,1109, 1.000,00:08:30,0, 0.398, 0.989,0
2, 401,1111, 2.828,00:08:31,0, 0.394, 0.983,0
2, 397,1111, 4.000,00:08:32,0, 0.399, 0.987,0
2, 398,1110, 1.414,00:08:33,0, 0.402, 0.976,0
2, 402,1109, 4.123,00:08:34,0, 0.399, 0.970,0
2, 406,1109, 4.000,00:08:35,0, 0.391, 0.981,0
2, 410,1109, 4.000,00:08:36,0, 0.401, 0.975,0
2, 414,1107, 4.472,00:08:37,0, 0.410, 0.983,0
-1, 227, 886,-1.000,00:08:38,0, 0.134, 0.939,0
-1,1730,1730,-1.000,00:08:39,0, 0.194, 0.937,0
-1,1034,1397,-1.000,00:08:40,0, 0.222, 0.943,0
2, 429,1099,-1.000,00:08:41,0, 0.399, 0.978,0
2, 431,1096, 3.606,00:08:42,0, 0.393, 0.982,0
2, 434,1094, 3.606,00:08:43,0, 0.386, 0.983,0
2, 438,1095, 4.123,00:08:44,0, 0.388, 0.984,0
2, 441,1098, 4.243,00:08:45,0, 0.375, 0.981,0
2, 444,1101, 4.243,00:08:46,0, 0.375, 0.985,0
2, 447,1104, 4.243,00:08:47,0, 0.370, 0.979,0
2, 448,1108, 4.123,00:08:48,0, 0.368, 0.976,0
2, 451,1111, 4.243,00:08:49,0, 0.369, 0.980,0
2, 455,1112, 4.123,00:08:50,0, 0.372, 0.966,0
2, 459,1114, 4.472,00:08:51,0, 0.373, 0.972,0
2, 462,1116, 3.606,00:08:51,0, 0.373, 0.970,0
2, 464,1120, 4.472,00:08:52,1, 0.366, 0.969,0
2, 465,1122, 2.236,00:08:53,1, 0.366, 0.973,0
2, 465,1123, 1.000,00:08:54,0, 0.368, 0.979,0
2, 465,1123, 0.000,00:08:55,0, 0.363, 0.985,0
2, 465,1123, 0.000,00:08:56,0, 0.365, 0.987,0
2, 465,1123, 0.000,00:08:57,0, 0.365, 0.984,0
2, 465,1123, 0.000,00:08:58,0, 0.364, 0.983,0
2, 464,1124, 1.414,00:08:59,0, 0.370, 0.979,0
2, 465,1124, 1.000,00:09:00,0, 0.366, 0.986,0
2, 465,1124, 0.000,00:09:01,0, 0.364, 0.989,0
2, 464,1124, 1.000,00:09:02,0, 0.369, 0.988,0
2, 463,1124, 1.000,00:09:03,0, 0.378, 0.979,0
2, 461,1124, 2.000,00:09:04,0, 0.364, 0.986,0
2, 461,1124, 0.000,00:09:05,0, 0.368, 0.985,0
2, 458,1124, 3.000,00:09:06,0, 0.362, 0.984,0
2, 457,1127, 3.162,00:09:07,0, 0.360, 0.983,0
2, 457,1127, 0.000,00:09:08,0, 0.362, 0.984,0
2, 457,1127, 0.000,00:09:09,0, 0.357, 0.985,0
2, 457,1127, 0.000,00:09:10,0, 0.355, 0.984,0
