phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 778,1431,-1.000,01:15:45,1, 0.480, 0.957,0
0, 770,1421,12.806,01:15:46,0, 0.465, 0.953,0
0, 759,1409,16.279,01:15:47,0, 0.439, 0.951,0
0, 749,1398,14.866,01:15:48,0, 0.460, 0.952,0
1, 739,1386,15.620,01:15:49,0, 0.475, 0.952,0
0, 728,1374,16.279,01:15:50,0, 0.459, 0.953,0
0, 719,1363,14.213,01:15:51,0, 0.439, 0.950,0
0, 709,1353,14.142,01:15:52,0, 0.422, 0.950,0
-1, 699,1342,14.866,01:15:53,0, 0.449, 0.944,0
1, 690,1330,15.000,01:15:54,0, 0.475, 0.948,0
0, 681,1319,14.213,01:15:55,0, 0.524, 0.949,0
0, 672,1309,13.454,01:15:56,0, 0.498, 0.952,0
-1, 666,1303, 8.485,01:16:00,0, 0.536, 0.934,0
-1, 652,1294,16.643,01:16:00,0, 0.530, 0.934,0
-1, 637,1283,18.601,01:16:01,0, 0.531, 0.932,0
-1, 625,1272,16.279,01:16:02,0, 0.538, 0.934,0
-1, 611,1261,17.804,01:16:03,0, 0.522, 0.934,0
-1, 599,1249,16.971,01:16:04,0, 0.490, 0.933,0
0, 589,1239,14.142,01:16:05,1, 0.501, 0.954,0
0, 581,1232,10.630,01:16:06,1, 0.509, 0.949,0
1, 568,1227,13.928,01:16:07,1, 0.464, 0.956,0
1, 555,1223,13.601,01:16:08,1, 0.464, 0.961,0
1, 542,1217,14.318,01:16:09,0, 0.451, 0.962,0
1, 529,1211,14.318,01:16:10,1, 0.440, 0.966,0
1, 516,1204,14.765,01:16:11,0, 0.397, 0.967,0
1, 507,1198,10.817,01:16:12,0, 0.418, 0.952,0
1, 496,1189,14.213,01:16:13,0, 0.407, 0.953,0
1, 485,1180,14.213,01:16:14,0, 0.454, 0.954,0
1, 474,1170,14.866,01:16:15,0, 0.446, 0.950,0
1, 462,1162,14.422,01:16:16,0, 0.466, 0.951,0
1, 448,1154,16.125,01:16:17,0, 0.501, 0.953,0
1, 436,1151,12.369,01:16:18,1, 0.513, 0.964,0
1, 428,1145,10.000,01:16:19,1, 0.535, 0.967,0
1, 416,1139,13.416,01:16:20,1, 0.573, 0.963,0
1, 403,1133,14.318,01:16:21,1, 0.563, 0.966,0
1, 390,1126,14.765,01:16:22,1, 0.583, 0.961,0
1, 381,1118,12.042,01:16:23,1, 0.599, 0.968,0
1, 371,1108,14.142,01:16:24,1, 0.592, 0.966,0
1, 370,1095,13.038,01:16:25,0, 0.608, 0.957,0
1, 371,1087, 8.062,01:16:26,0, 0.599, 0.963,0
1, 370,1086, 1.414,01:16:27,0, 0.586, 0.952,0
1, 370,1086, 0.000,01:16:28,0, 0.575, 0.963,0
1, 370,1086, 0.000,01:16:29,0, 0.574, 0.955,0
1, 372,1086, 2.000,01:16:29,0, 0.586, 0.960,0
1, 374,1087, 2.236,01:16:30,0, 0.554, 0.963,0
1, 375,1088, 1.414,01:16:31,0, 0.576, 0.961,0
1, 375,1088, 0.000,01:16:32,0, 0.561, 0.955,0
1, 376,1088, 1.000,01:16:33,0, 0.620, 0.962,0
1, 377,1088, 1.000,01:16:34,0, 0.543, 0.957,0
1, 377,1089, 1.000,01:16:35,0, 0.531, 0.962,0
1, 378,1088, 1.414,01:16:36,0, 0.564, 0.967,0
1, 374,1087, 4.123,01:16:37,0, 0.557, 0.967,0
1, 373,1085, 2.236,01:16:38,0, 0.552, 0.961,0
1, 372,1085, 1.000,01:16:39,0, 0.623, 0.967,0
1, 372,1085, 0.000,01:16:40,0, 0.613, 0.969,0
1, 372,1085, 0.000,01:16:41,0, 0.610, 0.968,0
1, 372,1085, 0.000,01:16:42,0, 0.609, 0.968,0
1, 372,1085, 0.000,01:16:43,0, 0.603, 0.968,0
1, 372,1085, 0.000,01:16:44,0, 0.605, 0.968,0
1, 371,1084, 1.414,01:16:45,0, 0.602, 0.962,0
1, 370,1084, 1.000,01:16:46,0, 0.574, 0.960,0
1, 369,1084, 1.000,01:16:47,0, 0.565, 0.965,0
1, 368,1085, 1.414,01:16:48,0, 0.554, 0.961,0
1, 367,1087, 2.236,01:16:49,0, 0.581, 0.960,0
1, 366,1090, 3.162,01:16:50,0, 0.567, 0.959,0
1, 367,1089, 1.414,01:16:51,0, 0.616, 0.952,0
1, 367,1089, 0.000,01:16:52,0, 0.614, 0.955,0
1, 367,1089, 0.000,01:16:53,1, 0.615, 0.961,0
