phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1530, 481,-1.000,00:12:20,0, 0.343, 0.976,0
0,1531, 485,-1.000,00:12:21,1, 0.360, 0.977,0
0,1526, 498,-1.000,00:12:22,1, 0.345, 0.974,0
0,1532, 507,-1.000,00:12:23,1, 0.356, 0.969,0
0,1529, 516, 9.487,00:12:24,1, 0.360, 0.977,0
0,1526, 525, 9.487,00:12:25,1, 0.363, 0.972,0
0,1523, 535,10.440,00:12:26,1, 0.375, 0.980,0
0,1520, 545,10.440,00:12:27,1, 0.397, 0.976,0
0,1517, 554, 9.487,00:12:28,1, 0.402, 0.974,0
0,1514, 564,10.440,00:12:29,1, 0.399, 0.975,0
0,1509, 573,10.296,00:12:30,1, 0.387, 0.972,0
0,1506, 582, 9.487,00:12:31,1, 0.412, 0.971,0
0,1504, 591, 9.220,00:12:32,1, 0.416, 0.970,0
0,1501, 600, 9.487,00:12:33,1, 0.401, 0.972,0
0,1499, 610,10.198,00:12:34,1, 0.393, 0.963,0
0,1496, 619, 9.487,00:12:35,1, 0.405, 0.963,0
0,1495, 629,10.050,00:12:36,1, 0.404, 0.970,0
0,1494, 643,14.036,00:12:37,1, 0.394, 0.971,0
0,1493, 657,14.036,00:12:38,1, 0.379, 0.972,0
0,1493, 671,-1.000,00:12:39,1, 0.343, 0.971,0
0,1492, 690,-1.000,00:12:40,1, 0.372, 0.967,0
0,1494, 705,15.133,00:12:41,1, 0.352, 0.970,0
0,1496, 720,-1.000,00:12:42,1, 0.346, 0.972,0
0,1496, 731,-1.000,00:12:43,1, 0.360, 0.977,0
0,1494, 746,15.133,00:12:44,1, 0.376, 0.970,0
0,1493, 760,14.036,00:12:45,1, 0.401, 0.968,0
0,1500, 774,15.652,00:12:46,1, 0.430, 0.969,0
0,1501, 788,14.036,00:12:47,1, 0.430, 0.974,0
1,1494, 801,14.765,00:12:48,1, 0.413, 0.973,0
1,1489, 814,13.928,00:12:48,1, 0.435, 0.975,0
1,1480, 820,10.817,00:12:49,0, 0.424, 0.967,0
1,1484, 824, 5.657,00:12:50,0, 0.410, 0.961,0
1,1494, 817,12.207,00:12:51,1, 0.430, 0.973,0
1,1505, 807,14.866,00:12:52,1, 0.447, 0.972,0
1,1508, 800, 7.616,00:12:53,1, 0.415, 0.969,0
1,1511, 789,11.402,00:12:54,1, 0.426, 0.971,0
1,1521, 787,10.198,00:12:55,1, 0.407, 0.973,0
1,1518, 787, 3.000,00:12:56,1, 0.399, 0.968,0
1,1520, 783, 4.472,00:12:57,1, 0.428, 0.969,0
1,1524, 780, 5.000,00:12:58,0, 0.423, 0.975,0
1,1525, 780, 1.000,00:12:59,0, 0.416, 0.975,0
1,1530, 779, 5.099,00:13:00,0, 0.433, 0.959,0
1,1532, 779, 2.000,00:13:01,0, 0.451, 0.973,0
1,1530, 779, 2.000,00:13:02,0, 0.444, 0.960,0
1,1528, 780, 2.236,00:13:03,0, 0.444, 0.974,0
