phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 143, 156,-1.000,01:10:58,0, 0.584, 0.969,1
0, 143,1751,-1.000,01:10:59,0, 0.375, 0.969,1
0, 143,1209,-1.000,01:11:00,0, 0.398, 0.968,0
0, 191,1202,48.508,01:11:01,0, 0.576, 0.971,0
0, 256,1199,65.069,01:11:02,0, 0.496, 0.970,0
0, 311,1202,55.082,01:11:03,0, 0.373, 0.970,0
0, 375,1199,64.070,01:11:04,0, 0.423, 0.971,0
0, 440,1196,-1.000,01:11:05,0, 0.346, 0.971,0
0, 502,1193,-1.000,01:11:06,0, 0.285, 0.970,0
0, 553,1183,-1.000,01:11:07,0, 0.299, 0.969,0
0, 615,1180,-1.000,01:11:08,0, 0.364, 0.970,0
0, 678,1177,-1.000,01:11:09,0, 0.339, 0.970,0
0, 742,1173,-1.000,01:11:10,0, 0.379, 0.970,0
-1, 519, 654,-1.000,01:11:11,0, 0.147, 0.945,0
0, 838,1167,-1.000,01:11:12,1, 0.329, 0.979,0
0, 841,1164,-1.000,01:11:13,1, 0.332, 0.980,0
0, 844,1160,-1.000,01:11:14,1, 0.340, 0.979,0
0, 847,1155,-1.000,01:11:15,1, 0.345, 0.979,0
0, 851,1150,-1.000,01:11:16,1, 0.346, 0.978,0
0, 855,1144,-1.000,01:11:17,1, 0.358, 0.978,0
0, 858,1139, 5.831,01:11:18,1, 0.351, 0.979,0
0, 862,1134,-1.000,01:11:19,1, 0.342, 0.980,0
0, 866,1129,-1.000,01:11:20,1, 0.343, 0.979,0
0, 869,1124,-1.000,01:11:21,1, 0.339, 0.978,0
0, 873,1119,-1.000,01:11:22,1, 0.354, 0.973,0
0, 878,1112, 8.602,01:11:23,1, 0.363, 0.974,0
-1, 882,1104, 8.944,01:11:24,0, 0.379, 0.944,0
-1, 892,1090,17.205,01:11:25,0, 0.389, 0.932,0
0, 900,1077,15.264,01:11:26,0, 0.419, 0.962,0
0, 910,1063,17.205,01:11:27,0, 0.457, 0.960,0
0, 918,1050,15.264,01:11:28,0, 0.441, 0.962,0
0, 928,1036,17.205,01:11:29,0, 0.410, 0.959,0
0, 937,1023,15.811,01:11:30,0, 0.443, 0.961,0
0, 945,1010,15.264,01:11:31,0, 0.456, 0.967,0
1, 953, 997,15.264,01:11:32,0, 0.485, 0.974,0
1, 961, 988,12.042,01:11:33,0, 0.500, 0.973,0
1, 970, 975,15.811,01:11:34,0, 0.517, 0.975,0
1, 975, 962,13.928,01:11:35,0, 0.539, 0.975,0
1, 984, 949,15.811,01:11:36,0, 0.526, 0.975,0
1, 992, 936,15.264,01:11:37,0, 0.533, 0.975,0
1, 999, 924,13.892,01:11:38,0, 0.550, 0.976,0
1,1007, 912,14.422,01:11:39,0, 0.566, 0.977,0
1,1015, 899,15.264,01:11:40,0, 0.543, 0.982,0
1,1023, 886,15.264,01:11:41,0, 0.545, 0.979,0
1,1032, 872,16.643,01:11:42,0, 0.543, 0.979,0
1,1040, 860,14.422,01:11:43,0, 0.550, 0.980,0
1,1050, 849,14.866,01:11:44,1, 0.541, 0.980,0
1,1059, 836,15.811,01:11:45,1, 0.523, 0.983,0
1,1068, 823,15.811,01:11:46,1, 0.523, 0.980,0
1,1076, 810,15.264,01:11:47,1, 0.518, 0.979,0
1,1085, 798,15.000,01:11:48,1, 0.492, 0.980,0
1,1094, 785,15.811,01:11:49,1, 0.470, 0.980,0
1,1102, 774,13.601,01:11:50,1, 0.457, 0.975,0
1,1112, 767,12.207,01:11:51,1, 0.454, 0.979,0
1,1119, 757,12.207,01:11:52,1, 0.440, 0.980,0
1,1121, 750, 7.280,01:11:53,1, 0.440, 0.979,0
1,1122, 742, 8.062,01:11:54,1, 0.417, 0.981,0
1,1122, 741, 1.000,01:11:55,0, 0.410, 0.981,0
1,1122, 740, 1.000,01:11:56,0, 0.412, 0.980,0
1,1122, 738, 2.000,01:11:57,0, 0.404, 0.980,0
1,1123, 736, 2.236,01:11:58,0, 0.420, 0.979,0
1,1123, 736, 0.000,01:11:59,0, 0.408, 0.979,0
1,1123, 736, 0.000,01:12:00,0, 0.417, 0.979,0
1,1123, 736, 0.000,01:12:01,0, 0.423, 0.979,0
1,1122, 735, 1.414,01:12:02,0, 0.420, 0.979,0
1,1119, 733, 3.606,01:12:03,0, 0.423, 0.981,0
1,1116, 734, 3.162,01:12:04,0, 0.412, 0.979,0
1,1114, 734, 2.000,01:12:05,0, 0.416, 0.977,0
1,1113, 735, 1.414,01:12:06,0, 0.418, 0.976,0
1,1113, 735, 0.000,01:12:07,0, 0.409, 0.978,0
1,1114, 735, 1.000,01:12:08,0, 0.418, 0.979,0
1,1114, 735, 0.000,01:12:09,0, 0.415, 0.972,0
1,1114, 735, 0.000,01:12:10,0, 0.414, 0.976,0
1,1114, 738, 3.000,01:12:11,0, 0.417, 0.960,0
1,1113, 739, 1.414,01:12:12,1, 0.417, 0.962,0
1,1113, 739, 0.000,01:12:13,0, 0.411, 0.962,0
1,1113, 739, 0.000,01:12:14,0, 0.413, 0.962,0
1,1113, 739, 0.000,01:12:15,0, 0.412, 0.961,0
1,1113, 739, 0.000,01:12:16,0, 0.409, 0.961,0
1,1113, 739, 0.000,01:12:17,0, 0.405, 0.981,0
1,1113, 739, 0.000,01:12:18,0, 0.412, 0.980,0
1,1113, 739, 0.000,01:12:19,0, 0.409, 0.981,0
1,1114, 738, 1.414,01:12:20,0, 0.407, 0.981,0
1,1114, 739, 1.000,01:12:21,0, 0.405, 0.982,0
1,1114, 739, 0.000,01:12:22,0, 0.411, 0.983,0
1,1114, 738, 1.000,01:12:23,0, 0.409, 0.982,0
1,1114, 738, 0.000,01:12:24,0, 0.407, 0.976,0
-1, 969, 557,-1.000,01:12:25,0, 0.260, 0.915,0
-1,1792,1543,-1.000,01:12:26,0, 0.440, 0.907,0
