phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 234,1708,-1.000,01:11:04,0, 0.396, 0.977,1
0, 148,1284,-1.000,01:11:05,0, 0.355, 0.976,0
0, 143, 984,-1.000,01:11:06,0, 0.311, 0.965,0
0, 183, 970,-1.000,01:11:07,0, 0.437, 0.974,0
0, 246, 974,63.127,01:11:08,0, 0.352, 0.971,0
0, 297, 974,-1.000,01:11:09,0, 0.332, 0.976,0
0, 362, 981,-1.000,01:11:10,0, 0.331, 0.969,0
0, 425, 987,-1.000,01:11:11,0, 0.328, 0.968,0
0, 490, 995,-1.000,01:11:12,0, 0.364, 0.974,0
0, 553,1002,-1.000,01:11:13,0, 0.308, 0.977,0
0, 601,1008,-1.000,01:11:14,0, 0.274, 0.960,0
0, 666,1014,-1.000,01:11:15,0, 0.323, 0.975,0
1,1656, 237,-1.000,01:11:16,0, 0.218, 0.953,0
1,1656, 237,-1.000,01:11:17,0, 0.215, 0.954,0
1,1656, 237,-1.000,01:11:18,0, 0.216, 0.948,0
0, 913,1044,-1.000,01:11:19,0, 0.376, 0.975,0
0, 974,1053,61.660,01:11:20,0, 0.403, 0.971,0
0, 980,1049, 7.211,01:11:21,1, 0.434, 0.969,0
0, 977,1043, 6.708,01:11:22,1, 0.428, 0.976,0
0, 975,1036, 7.280,01:11:23,1, 0.445, 0.967,0
0, 974,1034, 2.236,01:11:24,1, 0.437, 0.966,0
0, 972,1031, 3.606,01:11:25,1, 0.433, 0.973,0
0, 967,1026, 7.071,01:11:26,1, 0.403, 0.971,0
0, 961,1020, 8.485,01:11:27,1, 0.375, 0.976,0
0, 957,1013, 8.062,01:11:28,1, 0.373, 0.975,0
0, 953,1007, 7.211,01:11:29,1, 0.401, 0.974,0
0, 949,1000, 8.062,01:11:30,1, 0.408, 0.968,0
0, 945, 992, 8.944,01:11:31,1, 0.428, 0.976,0
0, 941, 991, 4.123,01:11:32,1, 0.419, 0.970,0
0, 930, 991,11.000,01:11:33,1, 0.406, 0.971,0
0, 925, 987, 6.403,01:11:34,1, 0.411, 0.980,0
0, 916, 979,12.042,01:11:35,1, 0.433, 0.972,0
0, 902, 973,15.232,01:11:36,1, 0.441, 0.971,0
0, 892, 961,15.620,01:11:37,1, 0.426, 0.971,0
1, 881, 951,14.866,01:11:38,1, 0.462, 0.971,0
1, 868, 944,14.765,01:11:39,1, 0.475, 0.972,0
1, 858, 937,12.207,01:11:40,1, 0.463, 0.971,0
1, 857, 931, 6.083,01:11:41,1, 0.467, 0.972,0
1, 860, 923, 8.544,01:11:42,1, 0.456, 0.972,0
