phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 371,1813,-1.000,06:42:38,0, 0.177, 0.967,1
0, 477,1799,-1.000,06:42:39,0, 0.267, 0.968,0
0, 518,1754,-1.000,06:42:39,0, 0.329, 0.969,0
0, 559,1709,-1.000,06:42:40,0, 0.399, 0.968,0
0, 595,1664,57.628,06:42:41,0, 0.413, 0.968,0
0, 637,1621,60.108,06:42:42,0, 0.400, 0.966,0
0, 675,1579,56.639,06:42:43,0, 0.479, 0.968,0
0, 717,1532,63.032,06:42:44,0, 0.516, 0.967,0
1,1638, 217,-1.000,06:42:45,0, 0.179, 0.952,0
1, 481, 644,-1.000,06:42:46,0, 0.182, 0.951,0
1, 481, 644,-1.000,06:42:47,0, 0.180, 0.952,0
1, 481, 644,-1.000,06:42:48,0, 0.188, 0.949,0
0, 912,1312,-1.000,06:42:49,0, 0.391, 0.959,0
0, 953,1267,60.877,06:42:50,0, 0.432, 0.963,0
0, 994,1221,61.620,06:42:51,0, 0.429, 0.962,0
0,1034,1177,59.464,06:42:52,0, 0.447, 0.964,0
0,1068,1133,55.606,06:42:53,0, 0.485, 0.963,0
0,1106,1090,57.385,06:42:54,0, 0.530, 0.965,0
0,1120,1036,-1.000,06:42:55,0, 0.188, 0.962,0
0,1187,1004,-1.000,06:42:56,0, 0.515, 0.961,0
0,1205, 984,26.907,06:42:57,1, 0.499, 0.962,0
0,1203, 967,17.117,06:42:58,1, 0.505, 0.962,0
0,1203, 948,19.000,06:42:59,1, 0.480, 0.965,0
0,1205, 929,19.105,06:43:00,1, 0.479, 0.965,0
0,1209, 911,18.439,06:43:01,1, 0.439, 0.964,0
0,1212, 895,16.279,06:43:02,1, 0.435, 0.970,0
0,1215, 881,14.318,06:43:03,1, 0.419, 0.967,0
0,1216, 862,19.026,06:43:04,1, 0.395, 0.968,0
0,1208, 845,18.788,06:43:05,1, 0.373, 0.966,0
0,1203, 828,-1.000,06:43:06,1, 0.340, 0.966,0
0,1209, 817,-1.000,06:43:07,1, 0.345, 0.964,0
0,1209, 802,-1.000,06:43:08,1, 0.316, 0.969,0
0,1210, 787,-1.000,06:43:08,1, 0.339, 0.973,0
0,1206, 771,-1.000,06:43:09,1, 0.368, 0.966,0
0,1204, 754,17.117,06:43:10,1, 0.377, 0.967,0
1,1202, 738,16.125,06:43:11,1, 0.395, 0.971,0
1,1200, 722,16.125,06:43:12,1, 0.401, 0.973,0
1,1198, 706,16.125,06:43:13,1, 0.402, 0.969,0
1,1196, 689,17.117,06:43:14,1, 0.403, 0.970,0
1,1194, 673,16.125,06:43:15,1, 0.409, 0.968,0
1,1193, 656,17.029,06:43:16,1, 0.407, 0.969,0
1,1191, 641,15.133,06:43:17,1, 0.417, 0.969,0
1,1191, 624,17.000,06:43:18,1, 0.423, 0.970,0
1,1189, 608,16.125,06:43:19,1, 0.448, 0.970,0
1,1188, 592,16.031,06:43:20,1, 0.442, 0.970,0
1,1187, 576,16.031,06:43:21,1, 0.448, 0.969,0
1,1187, 561,15.000,06:43:22,1, 0.468, 0.971,0
1,1188, 547,14.036,06:43:23,1, 0.485, 0.972,0
1,1189, 535,12.042,06:43:24,1, 0.505, 0.973,0
1,1191, 520,15.133,06:43:25,1, 0.499, 0.971,0
1,1194, 506,14.318,06:43:26,1, 0.489, 0.966,0
