phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1113, 246,-1.000,01:39:09,0, 0.259, 0.975,0
0,1857, 372,-1.000,01:39:10,0, 0.386, 0.975,0
0,1831, 592,221.531,01:39:11,0, 0.585, 0.976,0
0,1777, 612,57.585,01:39:12,0, 0.424, 0.975,0
-1,1215, 178,-1.000,01:39:13,0, 0.183, 0.910,0
-1,1272, 170,-1.000,01:39:14,0, 0.191, 0.911,0
-1,1272, 170,-1.000,01:39:15,0, 0.202, 0.910,0
-1,1215, 178,-1.000,01:39:16,0, 0.206, 0.908,0
-1,1273, 170,-1.000,01:39:17,0, 0.194, 0.910,0
-1,1567, 143,-1.000,01:39:18,0, 0.190, 0.911,0
-1,1567, 143,-1.000,01:39:19,0, 0.192, 0.911,0
-1,1567, 143,-1.000,01:39:20,0, 0.172, 0.911,0
-1,1567, 143,-1.000,01:39:21,0, 0.192, 0.907,0
-1,1567, 143,-1.000,01:39:22,0, 0.186, 0.909,0
-1,1635, 220,-1.000,01:39:23,0, 0.165, 0.910,0
-1,1273, 170,-1.000,01:39:24,0, 0.168, 0.910,0
-1, 261, 260,-1.000,01:39:25,0, 0.181, 0.906,1
-1,1636, 220,-1.000,01:39:26,0, 0.178, 0.907,0
-1,1572, 143,-1.000,01:39:27,0, 0.195, 0.908,0
-1,1567, 143,-1.000,01:39:28,0, 0.173, 0.909,0
-1,1566, 143,-1.000,01:39:29,0, 0.174, 0.910,0
-1,1567, 143,-1.000,01:39:30,0, 0.179, 0.911,0
-1,1637, 219,-1.000,01:39:31,0, 0.173, 0.912,0
0, 668,1006,-1.000,01:39:32,1, 0.387, 0.976,0
0, 657, 997,14.213,01:39:33,1, 0.379, 0.977,0
0, 649, 991,10.000,01:39:34,1, 0.380, 0.975,0
0, 640, 986,10.296,01:39:35,1, 0.370, 0.977,0
0, 630, 980,11.662,01:39:36,1, 0.355, 0.976,0
0, 623, 979, 7.071,01:39:37,1, 0.352, 0.976,0
0, 615, 973,-1.000,01:39:38,1, 0.335, 0.977,0
0, 609, 967,-1.000,01:39:39,1, 0.350, 0.978,0
0, 604, 961,-1.000,01:39:40,1, 0.348, 0.978,0
0, 598, 955,-1.000,01:39:41,1, 0.354, 0.977,0
0, 588, 953,10.198,01:39:42,1, 0.373, 0.979,0
1, 579, 951, 9.220,01:39:43,1, 0.430, 0.977,0
1, 568, 950,11.045,01:39:44,1, 0.409, 0.976,0
1, 559, 949, 9.055,01:39:45,1, 0.404, 0.976,0
1, 550, 949, 9.000,01:39:46,1, 0.404, 0.978,0
1, 536, 951,14.142,01:39:47,1, 0.382, 0.975,0
1, 523, 958,-1.000,01:39:48,1, 0.343, 0.977,0
1, 522, 962,-1.000,01:39:49,1, 0.351, 0.977,0
1, 510, 971,15.000,01:39:50,1, 0.388, 0.975,0
1, 496, 979,16.125,01:39:51,1, 0.396, 0.977,0
1, 483, 986,14.765,01:39:52,1, 0.426, 0.976,0
1, 469, 993,15.652,01:39:53,1, 0.445, 0.976,0
1, 455,1001,16.125,01:39:54,1, 0.452, 0.977,0
1, 442,1008,14.765,01:39:55,1, 0.457, 0.978,0
1, 428,1016,16.125,01:39:56,1, 0.456, 0.977,0
1, 415,1025,15.811,01:39:57,1, 0.488, 0.977,0
1, 404,1036,15.556,01:39:58,1, 0.490, 0.978,0
1, 399,1050,14.866,01:39:59,1, 0.502, 0.977,0
1, 404,1062,13.000,01:40:00,1, 0.502, 0.978,0
1, 403,1069, 7.071,01:40:01,1, 0.497, 0.977,0
1, 398,1074, 7.071,01:40:02,1, 0.497, 0.975,0
1, 387,1064,14.866,01:40:03,1, 0.486, 0.976,0
1, 385,1049,15.133,01:40:04,1, 0.451, 0.978,0
1, 383,1043, 6.325,01:40:05,1, 0.459, 0.972,0
1, 381,1044, 2.236,01:40:06,0, 0.484, 0.975,0
1, 381,1045, 1.000,01:40:07,0, 0.482, 0.975,0
1, 381,1045, 0.000,01:40:08,0, 0.479, 0.974,0
1, 380,1044, 1.414,01:40:09,0, 0.484, 0.975,0
1, 378,1044, 2.000,01:40:10,0, 0.471, 0.975,0
1, 380,1047, 3.606,01:40:11,0, 0.494, 0.975,0
1, 378,1049, 2.828,01:40:12,0, 0.503, 0.973,0
1, 377,1048, 1.414,01:40:13,0, 0.487, 0.978,0
1, 379,1048, 2.000,01:40:14,0, 0.487, 0.973,0
1, 379,1046, 2.000,01:40:15,0, 0.471, 0.975,0
1, 378,1042, 4.123,01:40:16,0, 0.479, 0.973,0
1, 378,1042, 0.000,01:40:17,0, 0.480, 0.977,0
1, 378,1042, 0.000,01:40:18,0, 0.475, 0.979,0
1, 377,1044, 2.236,01:40:19,0, 0.471, 0.978,0
1, 377,1044, 0.000,01:40:20,0, 0.476, 0.979,0
1, 377,1044, 0.000,01:40:21,0, 0.471, 0.979,0
1, 378,1042, 2.236,01:40:22,0, 0.481, 0.975,0
1, 378,1042, 0.000,01:40:23,0, 0.476, 0.975,0
1, 378,1042, 0.000,01:40:24,0, 0.480, 0.975,0
1, 377,1042, 1.000,01:40:26,0, 0.468, 0.977,0
1, 376,1046, 4.123,01:40:27,0, 0.468, 0.977,0
1, 380,1044, 4.472,01:40:28,0, 0.463, 0.979,0
1, 381,1042, 2.236,01:40:29,0, 0.456, 0.974,0
1, 380,1043, 1.414,01:40:30,0, 0.469, 0.977,0
1, 380,1043, 0.000,01:40:32,0, 0.465, 0.982,0
1, 379,1042, 1.414,01:40:33,0, 0.459, 0.977,0
1, 377,1041, 2.236,01:40:34,0, 0.475, 0.978,0
1, 377,1041, 0.000,01:40:35,0, 0.472, 0.976,0
1, 376,1041, 1.000,01:40:36,0, 0.463, 0.967,0
1, 377,1041, 1.000,01:40:37,0, 0.471, 0.978,0
1, 377,1041, 0.000,01:40:38,0, 0.463, 0.976,0
1, 377,1041, 0.000,01:40:39,0, 0.462, 0.976,0
1, 380,1041, 3.000,01:40:40,0, 0.480, 0.976,0
1, 380,1040, 1.000,01:40:41,0, 0.472, 0.974,0
1, 380,1038, 2.000,01:40:42,0, 0.501, 0.969,0
1, 381,1036, 2.236,01:40:43,0, 0.496, 0.973,0
1, 377,1036, 4.000,01:40:44,0, 0.484, 0.973,0
1, 375,1036, 2.000,01:40:45,0, 0.481, 0.973,0
1, 375,1036, 0.000,01:40:46,0, 0.486, 0.977,0
1, 375,1036, 0.000,01:40:47,0, 0.485, 0.976,0
1, 376,1037, 1.414,01:40:48,0, 0.484, 0.976,0
1, 378,1037, 2.000,01:40:49,0, 0.483, 0.973,0
1, 375,1037, 3.000,01:40:50,0, 0.491, 0.972,0
1, 371,1035, 4.472,01:40:51,0, 0.475, 0.971,0
1, 370,1035, 1.000,01:40:52,0, 0.478, 0.977,0
1, 371,1035, 1.000,01:40:53,0, 0.472, 0.978,0
1, 369,1033, 2.828,01:40:54,0, 0.474, 0.978,0
1, 370,1031, 2.236,01:40:55,0, 0.476, 0.974,0
1, 369,1031, 1.000,01:40:56,0, 0.481, 0.977,0
1, 368,1028, 3.162,01:40:57,0, 0.477, 0.977,0
1, 366,1028, 2.000,01:40:58,0, 0.494, 0.976,0
1, 366,1029, 1.000,01:40:59,0, 0.490, 0.977,0
1, 365,1030, 1.414,01:41:00,0, 0.492, 0.978,0
1, 367,1032, 2.828,01:41:01,0, 0.495, 0.973,0
1, 366,1033, 1.414,01:41:02,0, 0.483, 0.970,0
1, 366,1031, 2.000,01:41:03,0, 0.479, 0.973,0
1, 368,1029, 2.828,01:41:04,0, 0.475, 0.972,0
1, 366,1029, 2.000,01:41:05,0, 0.490, 0.975,0
1, 363,1032, 4.243,01:41:06,0, 0.514, 0.974,0
1, 366,1032, 3.000,01:41:07,0, 0.499, 0.968,0
1, 368,1029, 3.606,01:41:08,0, 0.473, 0.974,0
1, 370,1029, 2.000,01:41:09,0, 0.480, 0.978,0
1, 370,1029, 0.000,01:41:10,0, 0.488, 0.978,0
1, 370,1029, 0.000,01:41:11,0, 0.483, 0.979,0
1, 370,1029, 0.000,01:41:12,0, 0.473, 0.980,0
1, 370,1029, 0.000,01:41:13,0, 0.469, 0.980,0
1, 370,1029, 0.000,01:41:14,0, 0.471, 0.967,0
1, 370,1029, 0.000,01:41:15,0, 0.470, 0.980,0
1, 370,1029, 0.000,01:41:16,0, 0.470, 0.979,0
1, 370,1029, 0.000,01:41:17,0, 0.466, 0.979,0
1, 370,1029, 0.000,01:41:18,0, 0.470, 0.980,0
1, 370,1029, 0.000,01:41:19,0, 0.468, 0.980,0
1, 370,1029, 0.000,01:41:20,0, 0.469, 0.980,0
1, 370,1029, 0.000,01:41:21,0, 0.466, 0.980,0
1, 370,1029, 0.000,01:41:22,0, 0.471, 0.978,0
1, 370,1029, 0.000,01:41:23,0, 0.469, 0.975,0
1, 370,1029, 0.000,01:41:24,0, 0.468, 0.977,0
1, 370,1029, 0.000,01:41:25,0, 0.466, 0.978,0
1, 370,1029, 0.000,01:41:26,0, 0.469, 0.977,0
1, 370,1029, 0.000,01:41:27,0, 0.467, 0.977,0
1, 370,1029, 0.000,01:41:28,0, 0.467, 0.977,0
1, 370,1029, 0.000,01:41:29,0, 0.463, 0.978,0
1, 370,1029, 0.000,01:41:30,0, 0.467, 0.979,0
1, 370,1029, 0.000,01:41:31,0, 0.468, 0.980,0
1, 370,1029, 0.000,01:41:32,0, 0.467, 0.980,0
1, 370,1029, 0.000,01:41:33,0, 0.464, 0.980,0
1, 370,1029, 0.000,01:41:34,0, 0.464, 0.980,0
1, 370,1029, 0.000,01:41:35,0, 0.467, 0.980,0
1, 370,1029, 0.000,01:41:36,0, 0.468, 0.980,0
1, 370,1029, 0.000,01:41:37,0, 0.467, 0.979,0
1, 370,1029, 0.000,01:41:38,0, 0.465, 0.979,0
1, 370,1029, 0.000,01:41:39,0, 0.467, 0.980,0
1, 370,1029, 0.000,01:41:40,0, 0.463, 0.980,0
1, 370,1029, 0.000,01:41:41,0, 0.466, 0.980,0
1, 370,1029, 0.000,01:41:42,0, 0.467, 0.979,0
1, 370,1029, 0.000,01:41:43,0, 0.467, 0.979,0
1, 370,1029, 0.000,01:41:44,0, 0.468, 0.979,0
1, 370,1029, 0.000,01:41:45,0, 0.471, 0.980,0
1, 370,1029, 0.000,01:41:46,0, 0.475, 0.980,0
1, 369,1029, 1.000,01:41:47,0, 0.473, 0.978,0
1, 365,1030, 4.123,01:41:48,0, 0.478, 0.976,0
1, 365,1030, 0.000,01:41:49,0, 0.480, 0.975,0
1, 365,1030, 0.000,01:41:50,0, 0.475, 0.977,0
1, 365,1030, 0.000,01:41:51,0, 0.470, 0.974,0
1, 365,1030, 0.000,01:41:52,0, 0.479, 0.974,0
1, 365,1033, 3.000,01:41:53,0, 0.496, 0.973,0
1, 365,1035, 2.000,01:41:54,0, 0.485, 0.972,0
1, 364,1033, 2.236,01:41:55,0, 0.494, 0.970,0
1, 361,1033, 3.000,01:41:56,0, 0.497, 0.974,0
1, 358,1037, 5.000,01:41:57,0, 0.478, 0.975,0
1, 356,1041, 4.472,01:41:58,0, 0.477, 0.975,0
1, 356,1045, 4.000,01:41:59,0, 0.477, 0.978,0
1, 354,1047, 2.828,01:42:00,0, 0.472, 0.975,0
1, 353,1048, 1.414,01:42:01,0, 0.487, 0.974,0
1, 353,1049, 1.000,01:42:02,0, 0.486, 0.973,0
1, 353,1049, 0.000,01:42:03,0, 0.490, 0.974,0
1, 352,1049, 1.000,01:42:04,0, 0.492, 0.974,0
1, 352,1049, 0.000,01:42:05,0, 0.488, 0.976,0
1, 355,1048, 3.162,01:42:06,0, 0.495, 0.971,0
1, 357,1047, 2.236,01:42:07,0, 0.493, 0.974,0
1, 359,1049, 2.828,01:42:08,0, 0.494, 0.974,0
1, 358,1049, 1.000,01:42:09,0, 0.488, 0.973,0
1, 358,1050, 1.000,01:42:10,0, 0.490, 0.973,0
1, 357,1050, 1.000,01:42:11,0, 0.488, 0.976,0
1, 359,1048, 2.828,01:42:12,0, 0.491, 0.971,0
1, 360,1047, 1.414,01:42:13,0, 0.492, 0.964,0
1, 359,1047, 1.000,01:42:14,0, 0.481, 0.970,0
1, 359,1050, 3.000,01:42:15,0, 0.512, 0.973,0
1, 360,1050, 1.000,01:42:16,0, 0.519, 0.972,0
1, 360,1049, 1.000,01:42:17,0, 0.508, 0.963,0
1, 360,1049, 0.000,01:42:18,0, 0.506, 0.970,0
1, 360,1049, 0.000,01:42:19,0, 0.497, 0.971,0
1, 360,1051, 2.000,01:42:20,0, 0.517, 0.972,0
1, 360,1051, 0.000,01:42:21,0, 0.516, 0.972,0
1, 361,1050, 1.414,01:42:22,0, 0.506, 0.972,0
1, 361,1050, 0.000,01:42:23,0, 0.511, 0.972,0
1, 361,1050, 0.000,01:42:24,0, 0.498, 0.973,0
1, 361,1051, 1.000,01:42:25,0, 0.492, 0.976,0
1, 359,1054, 3.606,01:42:26,0, 0.517, 0.957,0
1, 360,1058, 4.123,01:42:27,0, 0.535, 0.969,0
1, 363,1060, 3.606,01:42:28,0, 0.532, 0.966,0
1, 363,1061, 1.000,01:42:29,0, 0.527, 0.965,0
1, 365,1064, 3.606,01:42:30,0, 0.523, 0.959,0
1, 364,1064, 1.000,01:42:31,0, 0.526, 0.967,0
