phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 269, 194,-1.000,00:34:34,0, 0.357, 0.972,1
-1,1168, 180,-1.000,00:34:35,0, 0.247, 0.932,0
-1, 829, 148,-1.000,00:34:36,0, 0.269, 0.930,0
-1,1095, 183,-1.000,00:34:37,0, 0.200, 0.929,0
-1,1096, 183,-1.000,00:34:38,0, 0.163, 0.928,0
-1,1089, 179,-1.000,00:34:39,0, 0.195, 0.930,0
-1,1166, 180,-1.000,00:34:40,0, 0.212, 0.925,0
-1,1089, 179,-1.000,00:34:41,0, 0.236, 0.930,0
0, 729, 471,-1.000,00:34:42,1, 0.478, 0.977,0
0, 733, 474, 5.000,00:34:43,1, 0.475, 0.977,0
0, 738, 479, 7.071,00:34:44,1, 0.471, 0.977,0
0, 744, 485, 8.485,00:34:45,1, 0.468, 0.976,0
0, 750, 491, 8.485,00:34:46,1, 0.446, 0.975,0
0, 756, 498, 9.220,00:34:47,1, 0.459, 0.969,0
0, 762, 505, 9.220,00:34:48,1, 0.445, 0.976,0
0, 769, 513,10.630,00:34:49,1, 0.466, 0.958,0
0, 775, 519, 8.485,00:34:50,1, 0.469, 0.978,0
0, 781, 526, 9.220,00:34:51,1, 0.470, 0.977,0
0, 791, 534,12.806,00:34:52,1, 0.426, 0.976,0
0, 800, 543,12.728,00:34:53,1, 0.420, 0.977,0
0, 812, 552,15.000,00:34:54,1, 0.392, 0.976,0
0, 823, 563,15.556,00:34:55,1, 0.408, 0.979,0
0, 835, 574,16.279,00:34:56,1, 0.431, 0.977,0
0, 848, 584,16.401,00:34:57,1, 0.404, 0.975,0
0, 860, 594,15.620,00:34:58,1, 0.395, 0.977,0
0, 873, 603,15.811,00:34:59,1, 0.411, 0.976,0
0, 886, 613,16.401,00:35:00,1, 0.427, 0.975,0
0, 898, 622,15.000,00:35:01,1, 0.417, 0.978,0
0, 911, 631,15.811,00:35:02,1, 0.414, 0.976,0
0, 924, 641,16.401,00:35:03,1, 0.431, 0.976,0
0, 937, 650,15.811,00:35:04,1, 0.419, 0.977,0
0, 949, 659,15.000,00:35:05,1, 0.376, 0.975,0
1, 961, 668,15.000,00:35:06,1, 0.373, 0.979,0
1, 974, 677,15.811,00:35:07,1, 0.356, 0.979,0
1, 982, 681, 8.944,00:35:08,1, 0.389, 0.979,0
1, 994, 690,15.000,00:35:09,1, 0.431, 0.980,0
1,1006, 699,15.000,00:35:10,1, 0.427, 0.981,0
1,1017, 708,14.213,00:35:11,1, 0.448, 0.977,0
1,1029, 717,15.000,00:35:12,1, 0.436, 0.980,0
1,1041, 726,15.000,00:35:13,1, 0.429, 0.980,0
1,1055, 735,16.643,00:35:14,1, 0.416, 0.979,0
1,1066, 745,14.866,00:35:15,1, 0.439, 0.982,0
1,1079, 753,15.264,00:35:16,1, 0.439, 0.979,0
1,1093, 758,14.866,00:35:17,1, 0.428, 0.981,0
1,1107, 750,16.125,00:35:18,1, 0.438, 0.980,0
1,1113, 747, 6.708,00:35:19,0, 0.423, 0.979,0
1,1120, 746, 7.071,00:35:20,0, 0.417, 0.978,0
1,1123, 746, 3.000,00:35:21,0, 0.414, 0.979,0
1,1124, 744, 2.236,00:35:22,0, 0.405, 0.979,0
1,1125, 743, 1.414,00:35:23,0, 0.412, 0.974,0
1,1125, 743, 0.000,00:35:24,0, 0.414, 0.976,0
1,1124, 743, 1.000,00:35:25,0, 0.410, 0.975,0
1,1124, 742, 1.000,00:35:26,0, 0.409, 0.980,0
1,1121, 740, 3.606,00:35:27,0, 0.413, 0.979,0
1,1122, 739, 1.414,00:35:28,0, 0.406, 0.978,0
1,1118, 738, 4.123,00:35:29,0, 0.416, 0.979,0
1,1115, 735, 4.243,00:35:30,0, 0.416, 0.977,0
1,1114, 734, 1.414,00:35:31,0, 0.417, 0.974,0
1,1113, 734, 1.000,00:35:32,0, 0.405, 0.974,0
1,1113, 735, 1.000,00:35:33,0, 0.414, 0.979,0
1,1113, 735, 0.000,00:35:34,0, 0.405, 0.980,0
1,1113, 737, 2.000,00:35:35,0, 0.412, 0.977,0
1,1112, 739, 2.236,00:35:37,0, 0.406, 0.977,0
1,1112, 738, 1.000,00:35:38,0, 0.406, 0.978,0
1,1111, 737, 1.414,00:35:39,0, 0.417, 0.982,0
1,1108, 739, 3.606,00:35:40,0, 0.437, 0.975,0
1,1107, 739, 1.000,00:35:41,0, 0.427, 0.980,0
1,1102, 740, 5.099,00:35:42,0, 0.425, 0.980,0
1,1099, 740, 3.000,00:35:43,0, 0.402, 0.981,0
1,1095, 740, 4.000,00:35:44,0, 0.402, 0.980,0
1,1091, 740, 4.000,00:35:45,0, 0.402, 0.980,0
1,1088, 742, 3.606,00:35:46,0, 0.401, 0.982,0
1,1086, 741, 2.236,00:35:47,0, 0.406, 0.981,0
1,1086, 737, 4.000,00:35:48,0, 0.412, 0.982,0
1,1082, 736, 4.123,00:35:49,0, 0.420, 0.982,0
1,1080, 733, 3.606,00:35:50,0, 0.425, 0.981,0
1,1077, 733, 3.000,00:35:51,0, 0.426, 0.977,0
1,1073, 734, 4.123,00:35:52,0, 0.417, 0.980,0
1,1069, 735, 4.123,00:35:53,0, 0.418, 0.981,0
1,1066, 735, 3.000,00:35:54,0, 0.410, 0.981,0
1,1065, 736, 1.414,00:35:55,0, 0.413, 0.982,0
1,1065, 736, 0.000,00:35:56,0, 0.414, 0.982,0
1,1065, 736, 0.000,00:35:57,0, 0.412, 0.981,0
1,1065, 736, 0.000,00:35:58,0, 0.410, 0.981,0
1,1065, 736, 0.000,00:35:59,0, 0.410, 0.980,0
1,1065, 736, 0.000,00:36:00,0, 0.410, 0.980,0
1,1067, 737, 2.236,00:36:01,0, 0.417, 0.980,0
1,1066, 738, 1.414,00:36:02,0, 0.412, 0.979,0
1,1063, 740, 3.606,00:36:03,0, 0.425, 0.981,0
1,1062, 741, 1.414,00:36:04,0, 0.434, 0.981,0
1,1062, 740, 1.000,00:36:05,0, 0.430, 0.983,0
1,1062, 740, 0.000,00:36:06,0, 0.378, 0.982,0
1,1062, 740, 0.000,00:36:07,0, 0.379, 0.982,0
1,1062, 742, 2.000,00:36:08,0, 0.384, 0.980,0
1,1062, 744, 2.000,00:36:09,0, 0.383, 0.981,0
1,1062, 744, 0.000,00:36:10,0, 0.382, 0.981,0
1,1062, 744, 0.000,00:36:11,0, 0.383, 0.980,0
1,1062, 744, 0.000,00:36:12,0, 0.379, 0.980,0
1,1062, 744, 0.000,00:36:13,0, 0.383, 0.979,0
1,1062, 744, 0.000,00:36:14,0, 0.381, 0.979,0
1,1062, 744, 0.000,00:36:15,0, 0.383, 0.978,0
1,1062, 744, 0.000,00:36:16,0, 0.384, 0.977,0
1,1062, 744, 0.000,00:36:17,0, 0.380, 0.977,0
1,1062, 744, 0.000,00:36:18,0, 0.381, 0.977,0
1,1062, 744, 0.000,00:36:19,0, 0.380, 0.978,0
1,1062, 744, 0.000,00:36:20,0, 0.379, 0.978,0
1,1062, 744, 0.000,00:36:21,0, 0.383, 0.978,0
1,1062, 744, 0.000,00:36:22,0, 0.383, 0.978,0
1,1062, 744, 0.000,00:36:23,0, 0.383, 0.978,0
1,1062, 744, 0.000,00:36:24,0, 0.382, 0.978,0
1,1062, 744, 0.000,00:36:25,0, 0.382, 0.978,0
1,1062, 744, 0.000,00:36:26,0, 0.380, 0.978,0
1,1062, 744, 0.000,00:36:27,0, 0.380, 0.978,0
1,1062, 744, 0.000,00:36:28,0, 0.383, 0.978,0
1,1062, 744, 0.000,00:36:29,0, 0.383, 0.979,0
1,1062, 744, 0.000,00:36:30,0, 0.380, 0.979,0
1,1062, 744, 0.000,00:36:31,0, 0.380, 0.979,0
1,1062, 746, 2.000,00:36:32,0, 0.382, 0.978,0
1,1062, 750, 4.000,00:36:33,0, 0.388, 0.979,0
1,1061, 754, 4.123,00:36:34,0, 0.400, 0.979,0
1,1060, 757, 3.162,00:36:35,0, 0.390, 0.980,0
1,1061, 761, 4.123,00:36:36,0, 0.405, 0.979,0
1,1061, 765, 4.000,00:36:36,0, 0.402, 0.981,0
1,1062, 769, 4.123,00:36:37,0, 0.415, 0.980,0
1,1065, 769, 3.000,00:36:38,0, 0.412, 0.980,0
1,1065, 766, 3.000,00:36:39,0, 0.410, 0.979,0
1,1064, 765, 1.414,00:36:40,0, 0.403, 0.978,0
1,1064, 768, 3.000,00:36:41,0, 0.407, 0.979,0
1,1066, 771, 3.606,00:36:42,0, 0.423, 0.979,0
1,1066, 767, 4.000,00:36:43,0, 0.413, 0.980,0
1,1065, 764, 3.162,00:36:44,0, 0.402, 0.978,0
1,1064, 767, 3.162,00:36:45,0, 0.407, 0.974,0
1,1066, 769, 2.828,00:36:46,0, 0.405, 0.976,0
1,1066, 771, 2.000,00:36:47,0, 0.413, 0.976,0
1,1066, 771, 0.000,00:36:48,0, 0.423, 0.978,0
1,1066, 767, 4.000,00:36:49,0, 0.414, 0.980,0
1,1065, 765, 2.236,00:36:50,0, 0.393, 0.982,0
1,1065, 766, 1.000,00:36:51,0, 0.408, 0.980,0
1,1064, 769, 3.162,00:36:52,0, 0.420, 0.979,0
1,1064, 773, 4.000,00:36:53,0, 0.426, 0.978,0
1,1063, 769, 4.123,00:36:54,0, 0.422, 0.979,0
1,1063, 769, 0.000,00:36:55,0, 0.420, 0.978,0
1,1064, 773, 4.123,00:36:56,0, 0.437, 0.978,0
1,1064, 777, 4.000,00:36:57,0, 0.437, 0.980,0
1,1066, 778, 2.236,00:36:58,0, 0.443, 0.980,0
1,1066, 777, 1.000,00:36:59,0, 0.437, 0.979,0
1,1066, 776, 1.000,00:37:00,0, 0.430, 0.982,0
1,1066, 777, 1.000,00:37:01,0, 0.430, 0.980,0
1,1066, 776, 1.000,00:37:02,0, 0.434, 0.977,0
1,1066, 776, 0.000,00:37:03,0, 0.430, 0.979,0
1,1066, 775, 1.000,00:37:04,0, 0.435, 0.981,0
1,1064, 774, 2.236,00:37:05,0, 0.426, 0.976,0
1,1064, 769, 5.000,00:37:06,0, 0.414, 0.979,0
1,1066, 766, 3.606,00:37:07,0, 0.410, 0.979,0
1,1066, 768, 2.000,00:37:08,0, 0.411, 0.980,0
1,1065, 770, 2.236,00:37:09,0, 0.416, 0.980,0
1,1064, 770, 1.000,00:37:10,0, 0.422, 0.980,0
1,1064, 770, 0.000,00:37:11,0, 0.418, 0.981,0
1,1064, 769, 1.000,00:37:13,0, 0.414, 0.979,0
1,1064, 765, 4.000,00:37:14,0, 0.411, 0.979,0
1,1065, 764, 1.414,00:37:15,0, 0.399, 0.978,0
1,1066, 767, 3.162,00:37:16,0, 0.419, 0.974,0
1,1065, 770, 3.162,00:37:17,0, 0.414, 0.978,0
1,1065, 770, 0.000,00:37:18,0, 0.410, 0.978,0
1,1065, 770, 0.000,00:37:19,0, 0.407, 0.982,0
1,1064, 771, 1.414,00:37:20,0, 0.416, 0.979,0
1,1064, 775, 4.000,00:37:21,0, 0.437, 0.971,0
1,1063, 778, 3.162,00:37:22,0, 0.451, 0.974,0
1,1060, 779, 3.162,00:37:23,0, 0.448, 0.976,0
1,1059, 778, 1.414,00:37:24,0, 0.430, 0.960,0
1,1057, 778, 2.000,00:37:25,0, 0.447, 0.979,0
1,1056, 776, 2.236,00:37:26,0, 0.440, 0.978,0
1,1058, 778, 2.828,00:37:27,0, 0.438, 0.978,0
1,1061, 781, 4.243,00:37:28,0, 0.451, 0.979,0
1,1065, 782, 4.123,00:37:29,0, 0.456, 0.978,0
1,1068, 782, 3.000,00:37:30,0, 0.444, 0.977,0
1,1071, 782, 3.000,00:37:31,0, 0.433, 0.978,0
1,1073, 783, 2.236,00:37:32,0, 0.440, 0.979,0
1,1076, 785, 3.606,00:37:33,0, 0.444, 0.980,0
1,1077, 790, 5.099,00:37:34,0, 0.419, 0.978,0
1,1078, 791, 1.414,00:37:35,0, 0.431, 0.976,0
1,1081, 791, 3.000,00:37:36,0, 0.437, 0.979,0
1,1082, 792, 1.414,00:37:37,0, 0.439, 0.977,0
1,1083, 794, 2.236,00:37:37,1, 0.436, 0.967,0
1,1086, 793, 3.162,00:37:38,0, 0.428, 0.974,0
1,1090, 793, 4.000,00:37:39,0, 0.427, 0.976,0
1,1093, 792, 3.162,00:37:40,0, 0.416, 0.971,0
1,1097, 792, 4.000,00:37:41,0, 0.413, 0.978,0
1,1098, 792, 1.000,00:37:42,0, 0.429, 0.971,0
1,1098, 793, 1.000,00:37:43,0, 0.417, 0.968,0
1,1099, 793, 1.000,00:37:44,0, 0.415, 0.979,0
1,1099, 794, 1.000,00:37:45,0, 0.416, 0.976,0
1,1102, 794, 3.000,00:37:46,0, 0.409, 0.975,0
1,1104, 794, 2.000,00:37:47,0, 0.405, 0.966,0
1,1106, 795, 2.236,00:37:48,0, 0.408, 0.964,0
1,1105, 797, 2.236,00:37:49,0, 0.409, 0.971,0
1,1104, 797, 1.000,00:37:50,0, 0.407, 0.978,0
1,1105, 797, 1.000,00:37:51,0, 0.418, 0.972,0
1,1107, 798, 2.236,00:37:52,0, 0.409, 0.977,0
1,1108, 795, 3.162,00:37:53,0, 0.386, 0.980,0
1,1110, 793, 2.828,00:37:54,0, 0.395, 0.975,0
1,1113, 794, 3.162,00:37:55,0, 0.410, 0.966,0
1,1114, 795, 1.414,00:37:56,0, 0.414, 0.971,0
1,1116, 795, 2.000,00:37:57,0, 0.394, 0.976,0
1,1117, 797, 2.236,00:37:58,0, 0.417, 0.967,0
1,1121, 798, 4.123,00:37:59,0, 0.411, 0.977,0
1,1123, 797, 2.236,00:38:00,0, 0.413, 0.979,0
1,1126, 795, 3.606,00:38:01,0, 0.404, 0.980,0
1,1127, 796, 1.414,00:38:02,0, 0.403, 0.979,0
1,1125, 795, 2.236,00:38:03,0, 0.402, 0.975,0
1,1125, 791, 4.000,00:38:04,0, 0.407, 0.978,0
1,1124, 789, 2.236,00:38:05,0, 0.400, 0.976,0
1,1126, 790, 2.236,00:38:06,0, 0.402, 0.968,0
1,1126, 790, 0.000,00:38:07,0, 0.403, 0.970,0
1,1126, 790, 0.000,00:38:08,0, 0.390, 0.980,0
1,1126, 790, 0.000,00:38:09,0, 0.395, 0.982,0
1,1126, 790, 0.000,00:38:10,0, 0.397, 0.981,0
1,1126, 790, 0.000,00:38:11,0, 0.387, 0.982,0
1,1126, 790, 0.000,00:38:12,0, 0.386, 0.975,0
1,1126, 790, 0.000,00:38:13,0, 0.395, 0.980,0
1,1127, 790, 1.000,00:38:14,0, 0.403, 0.979,0
1,1126, 790, 1.000,00:38:15,0, 0.392, 0.979,0
1,1128, 789, 2.236,00:38:16,0, 0.387, 0.981,0
1,1130, 790, 2.236,00:38:17,0, 0.395, 0.976,0
1,1134, 788, 4.472,00:38:18,0, 0.399, 0.981,0
1,1138, 787, 4.123,00:38:19,0, 0.384, 0.982,0
1,1141, 789, 3.606,00:38:20,0, 0.378, 0.982,0
1,1145, 790, 4.123,00:38:21,0, 0.379, 0.980,0
1,1149, 789, 4.123,00:38:22,0, 0.365, 0.980,0
1,1150, 789, 1.000,00:38:23,0, 0.364, 0.980,0
1,1156, 788, 6.083,00:38:24,0, 0.356, 0.974,0
1,1157, 789, 1.414,00:38:25,0, 0.357, 0.968,0
1,1156, 789, 1.000,00:38:26,0, 0.369, 0.977,0
1,1156, 790, 1.000,00:38:27,0, 0.369, 0.975,0
1,1155, 789, 1.414,00:38:28,0, 0.359, 0.972,0
1,1158, 787, 3.606,00:38:29,0, 0.371, 0.975,0
1,1159, 788, 1.414,00:38:30,0, 0.370, 0.975,0
1,1160, 790, 2.236,00:38:31,0, 0.355, 0.974,0
1,1163, 792,-1.000,00:38:32,0, 0.338, 0.979,0
1,1162, 790,-1.000,00:38:33,0, 0.343, 0.976,0
1,1164, 789,-1.000,00:38:34,0, 0.358, 0.975,0
1,1166, 790, 2.236,00:38:35,0, 0.360, 0.975,0
1,1168, 788, 2.828,00:38:36,0, 0.352, 0.977,0
1,1163, 786, 5.385,00:38:37,0, 0.362, 0.978,0
1,1161, 784, 2.828,00:38:38,0, 0.364, 0.978,0
1,1159, 781, 3.606,00:38:38,0, 0.376, 0.979,0
1,1157, 778, 3.606,00:38:39,0, 0.374, 0.978,0
1,1151, 776, 6.325,00:38:40,0, 0.382, 0.966,0
-1, 935, 688,-1.000,00:38:41,0, 0.100, 0.922,0
-1,1088, 179,-1.000,00:38:42,0, 0.260, 0.923,0
1,1142, 769,-1.000,00:38:43,0, 0.382, 0.957,0
1,1138, 768, 4.123,00:38:44,0, 0.387, 0.961,0
1,1139, 767, 1.414,00:38:45,0, 0.389, 0.970,0
1,1137, 768, 2.236,00:38:46,0, 0.395, 0.957,0
1,1136, 767, 1.414,00:38:47,0, 0.401, 0.956,0
1,1134, 767, 2.000,00:38:48,0, 0.395, 0.980,0
1,1133, 767, 1.000,00:38:49,0, 0.397, 0.978,0
1,1134, 766, 1.414,00:38:50,0, 0.372, 0.977,0
1,1134, 767, 1.000,00:38:51,0, 0.410, 0.967,0
1,1132, 770, 3.606,00:38:52,0, 0.409, 0.964,0
1,1129, 773, 4.243,00:38:53,0, 0.397, 0.962,0
1,1130, 773, 1.000,00:38:54,0, 0.396, 0.968,0
1,1129, 773, 1.000,00:38:55,0, 0.397, 0.958,0
1,1130, 774, 1.414,00:38:56,0, 0.397, 0.977,0
1,1130, 772, 2.000,00:38:57,0, 0.404, 0.966,0
1,1130, 772, 0.000,00:38:58,0, 0.400, 0.967,0
1,1129, 772, 1.000,00:38:59,0, 0.413, 0.969,0
1,1129, 772, 0.000,00:39:00,0, 0.399, 0.978,0
1,1130, 772, 1.000,00:39:01,0, 0.389, 0.978,0
1,1130, 772, 0.000,00:39:02,0, 0.390, 0.978,0
1,1130, 772, 0.000,00:39:03,0, 0.387, 0.978,0
1,1130, 772, 0.000,00:39:04,0, 0.386, 0.980,0
1,1130, 772, 0.000,00:39:05,0, 0.392, 0.978,0
1,1129, 773, 1.414,00:39:06,0, 0.391, 0.960,0
1,1129, 775, 2.000,00:39:07,0, 0.406, 0.966,0
1,1126, 775, 3.000,00:39:08,0, 0.399, 0.980,0
1,1127, 775, 1.000,00:39:09,0, 0.394, 0.981,0
1,1127, 774, 1.000,00:39:10,0, 0.389, 0.982,0
1,1126, 775, 1.414,00:39:11,0, 0.389, 0.977,0
1,1126, 774, 1.000,00:39:12,0, 0.402, 0.968,0
1,1129, 772, 3.606,00:39:13,0, 0.390, 0.979,0
1,1128, 771, 1.414,00:39:14,0, 0.405, 0.979,0
1,1127, 770, 1.414,00:39:15,0, 0.385, 0.980,0
1,1124, 768, 3.606,00:39:16,0, 0.394, 0.981,0
1,1127, 766, 3.606,00:39:17,0, 0.384, 0.979,0
1,1128, 768, 2.236,00:39:18,0, 0.404, 0.970,0
1,1125, 766, 3.606,00:39:19,0, 0.378, 0.979,0
1,1125, 769, 3.000,00:39:20,0, 0.392, 0.970,0
1,1126, 770, 1.414,00:39:21,0, 0.394, 0.964,0
1,1127, 770, 1.000,00:39:22,1, 0.393, 0.972,0
1,1126, 769, 1.414,00:39:23,0, 0.383, 0.978,0
1,1126, 767, 2.000,00:39:24,0, 0.376, 0.980,0
1,1126, 767, 0.000,00:39:25,0, 0.378, 0.980,0
1,1125, 766, 1.414,00:39:26,0, 0.389, 0.980,0
2,1125, 765, 1.000,00:39:27,0, 0.389, 0.988,0
2,1124, 765, 1.000,00:39:28,0, 0.395, 0.987,0
2,1122, 763, 2.828,00:39:29,0, 0.394, 0.988,0
2,1123, 760, 3.162,00:39:30,0, 0.386, 0.984,0
2,1125, 757, 3.606,00:39:31,0, 0.361, 0.986,0
2,1126, 753, 4.123,00:39:32,0, 0.364, 0.984,0
2,1125, 749, 4.123,00:39:33,0, 0.369, 0.984,0
2,1127, 745, 4.472,00:39:34,0, 0.374, 0.985,0
2,1130, 743, 3.606,00:39:35,0, 0.383, 0.985,0
2,1134, 740, 5.000,00:39:36,0, 0.378, 0.983,0
2,1136, 737, 3.606,00:39:37,0, 0.371, 0.985,0
2,1139, 735, 3.606,00:39:38,0, 0.366, 0.983,0
2,1142, 732, 4.243,00:39:39,0, 0.368, 0.980,0
2,1146, 729, 5.000,00:39:39,0, 0.364, 0.985,0
2,1149, 727, 3.606,00:39:40,0, 0.383, 0.984,0
2,1152, 725, 3.606,00:39:41,0, 0.388, 0.986,0
2,1156, 722, 5.000,00:39:42,0, 0.390, 0.981,0
2,1159, 721, 3.162,00:39:43,0, 0.380, 0.981,0
2,1162, 718, 4.243,00:39:44,0, 0.379, 0.980,0
2,1163, 716, 2.236,00:39:45,0, 0.383, 0.984,0
2,1162, 716, 1.000,00:39:46,0, 0.390, 0.982,0
2,1161, 716, 1.000,00:39:47,0, 0.384, 0.979,0
2,1164, 714, 3.606,00:39:48,0, 0.378, 0.986,0
2,1167, 711, 4.243,00:39:49,0, 0.364, 0.984,0
2,1169, 709, 2.828,00:39:50,0, 0.364, 0.985,0
2,1169, 706, 3.000,00:39:51,0, 0.372, 0.980,0
2,1170, 706, 1.000,00:39:52,0, 0.370, 0.982,0
2,1171, 705, 1.414,00:39:53,0, 0.355, 0.986,0
2,1173, 704, 2.236,00:39:54,0, 0.358, 0.986,0
2,1176, 702, 3.606,00:39:55,0, 0.356, 0.986,0
2,1179, 700, 3.606,00:39:56,0, 0.352, 0.983,0
2,1183, 697, 5.000,00:39:57,0, 0.369, 0.978,0
2,1181, 697, 2.000,00:39:58,0, 0.376, 0.987,0
2,1182, 696, 1.414,00:39:59,0, 0.369, 0.986,0
2,1185, 695, 3.162,00:40:00,0, 0.373, 0.986,0
2,1186, 693, 2.236,00:40:01,0, 0.363, 0.987,0
-1,1026, 697,-1.000,00:40:02,0, 0.129, 0.898,0
2,1190, 685,-1.000,00:40:03,0, 0.353, 0.984,0
2,1192, 683, 2.828,00:40:04,0, 0.356, 0.986,0
