phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 658, 780,-1.000,02:32:08,0, 0.327, 0.975,0
0, 700, 811,-1.000,02:32:09,0, 0.297, 0.974,0
0, 750, 851,-1.000,02:32:10,0, 0.347, 0.974,0
0, 800, 889,-1.000,02:32:11,0, 0.397, 0.971,0
0, 850, 928,63.411,02:32:12,0, 0.406, 0.969,0
0, 901, 968,64.815,02:32:13,0, 0.384, 0.969,0
0, 949,1000,57.689,02:32:14,0, 0.416, 0.969,0
0, 996,1041,62.370,02:32:15,0, 0.457, 0.970,0
0, 997,1051,10.050,02:32:16,1, 0.426, 0.971,0
0, 990,1061,12.207,02:32:17,1, 0.440, 0.964,0
0, 983,1073,13.892,02:32:18,1, 0.439, 0.969,0
0, 981,1087,14.142,02:32:19,1, 0.410, 0.971,0
0, 975,1101,15.232,02:32:20,1, 0.440, 0.971,0
0, 967,1114,15.264,02:32:21,1, 0.439, 0.974,0
0, 961,1124,11.662,02:32:22,1, 0.422, 0.971,0
0, 955,1134,11.662,02:32:23,1, 0.406, 0.963,0
0, 951,1143, 9.849,02:32:24,1, 0.420, 0.978,0
0, 947,1150, 8.062,02:32:25,1, 0.410, 0.980,0
0, 942,1159,10.296,02:32:26,1, 0.402, 0.978,0
0, 936,1169,11.662,02:32:27,1, 0.403, 0.978,0
0, 924,1178,15.000,02:32:28,1, 0.389, 0.979,0
0, 914,1187,13.454,02:32:29,1, 0.403, 0.979,0
0, 904,1196,13.454,02:32:30,1, 0.411, 0.978,0
0, 894,1204,12.806,02:32:31,1, 0.388, 0.978,0
0, 884,1214,14.142,02:32:32,1, 0.403, 0.978,0
1, 874,1226,15.620,02:32:33,1, 0.398, 0.977,0
1, 863,1238,16.279,02:32:34,1, 0.380, 0.977,0
1, 853,1250,15.620,02:32:35,1, 0.403, 0.978,0
1, 844,1262,15.000,02:32:36,1, 0.397, 0.977,0
1, 836,1276,16.125,02:32:37,1, 0.371, 0.975,0
1, 828,1289,15.264,02:32:38,1, 0.388, 0.975,0
1, 820,1302,15.264,02:32:39,1, 0.381, 0.975,0
1, 812,1315,-1.000,02:32:40,1, 0.350, 0.978,0
1, 803,1328,-1.000,02:32:41,1, 0.334, 0.977,0
1, 796,1341,-1.000,02:32:42,1, 0.291, 0.975,0
1, 789,1349,-1.000,02:32:43,1, 0.301, 0.977,0
1, 780,1364,-1.000,02:32:44,1, 0.329, 0.972,0
1, 773,1371,-1.000,02:32:45,1, 0.369, 0.973,0
1, 764,1383,15.000,02:32:46,1, 0.387, 0.972,0
1, 755,1395,15.000,02:32:47,1, 0.379, 0.976,0
1, 753,1411,16.125,02:32:48,1, 0.402, 0.976,0
1, 756,1426,15.297,02:32:49,1, 0.435, 0.977,0
1, 754,1441,15.133,02:32:50,1, 0.454, 0.976,0
1, 741,1446,13.928,02:32:51,1, 0.477, 0.977,0
1, 729,1446,12.000,02:32:52,1, 0.479, 0.977,0
1, 724,1454, 9.434,02:32:53,1, 0.492, 0.977,0
1, 722,1463, 9.220,02:32:54,1, 0.489, 0.968,0
1, 722,1467, 4.000,02:32:55,1, 0.505, 0.979,0
1, 721,1470, 3.162,02:32:56,1, 0.512, 0.978,0
1, 721,1470, 0.000,02:32:57,0, 0.516, 0.979,0
1, 721,1470, 0.000,02:32:58,0, 0.512, 0.976,0
1, 721,1470, 0.000,02:32:59,0, 0.508, 0.977,0
1, 721,1474, 4.000,02:33:00,0, 0.516, 0.977,0
1, 716,1474, 5.000,02:33:01,0, 0.530, 0.973,0
1, 712,1474, 4.000,02:33:02,0, 0.533, 0.978,0
1, 708,1475, 4.123,02:33:03,0, 0.524, 0.968,0
1, 705,1476, 3.162,02:33:04,0, 0.531, 0.965,0
1, 706,1480, 4.123,02:33:05,0, 0.536, 0.974,0
1, 708,1483, 3.606,02:33:06,0, 0.548, 0.974,0
1, 710,1486, 3.606,02:33:07,0, 0.564, 0.971,0
1, 709,1490, 4.123,02:33:08,0, 0.541, 0.980,0
1, 706,1492, 3.606,02:33:09,0, 0.551, 0.979,0
1, 707,1492, 1.000,02:33:10,0, 0.554, 0.977,0
1, 707,1492, 0.000,02:33:11,0, 0.549, 0.977,0
1, 707,1492, 0.000,02:33:12,0, 0.549, 0.977,0
1, 710,1492, 3.000,02:33:13,0, 0.554, 0.975,0
1, 713,1493, 3.162,02:33:14,0, 0.558, 0.978,0
1, 713,1493, 0.000,02:33:15,0, 0.556, 0.978,0
1, 713,1493, 0.000,02:33:16,0, 0.556, 0.978,0
1, 713,1493, 0.000,02:33:17,0, 0.556, 0.978,0
1, 714,1494, 1.414,02:33:18,0, 0.559, 0.978,0
1, 714,1494, 0.000,02:33:19,0, 0.564, 0.975,0
1, 714,1494, 0.000,02:33:20,0, 0.560, 0.976,0
1, 714,1495, 1.000,02:33:21,0, 0.568, 0.976,0
1, 713,1497, 2.236,02:33:22,0, 0.566, 0.977,0
1, 713,1499, 2.000,02:33:23,0, 0.562, 0.978,0
1, 714,1502, 3.162,02:33:24,0, 0.548, 0.976,0
1, 713,1501, 1.414,02:33:25,0, 0.558, 0.978,0
1, 710,1502, 3.162,02:33:26,0, 0.552, 0.978,0
1, 706,1500, 4.472,02:33:27,0, 0.549, 0.979,0
1, 705,1497, 3.162,02:33:28,0, 0.551, 0.979,0
1, 704,1496, 1.414,02:33:29,0, 0.551, 0.979,0
1, 701,1493, 4.243,02:33:30,0, 0.550, 0.975,0
1, 698,1492, 3.162,02:33:31,0, 0.539, 0.974,0
1, 697,1491, 1.414,02:33:32,0, 0.530, 0.978,0
1, 697,1491, 0.000,02:33:33,0, 0.505, 0.979,0
1, 697,1491, 0.000,02:33:34,0, 0.508, 0.972,0
1, 697,1491, 0.000,02:33:35,0, 0.508, 0.976,0
1, 697,1491, 0.000,02:33:36,0, 0.508, 0.973,0
1, 697,1491, 0.000,02:33:37,0, 0.513, 0.977,0
1, 697,1491, 0.000,02:33:38,0, 0.513, 0.975,0
1, 697,1491, 0.000,02:33:39,0, 0.511, 0.977,0
1, 698,1492, 1.414,02:33:40,0, 0.519, 0.976,0
1, 699,1493, 1.414,02:33:41,0, 0.521, 0.976,0
1, 698,1496, 3.162,02:33:42,0, 0.525, 0.974,0
1, 699,1499, 3.162,02:33:43,0, 0.520, 0.977,0
1, 702,1497, 3.606,02:33:44,0, 0.516, 0.975,0
1, 705,1495, 3.606,02:33:45,0, 0.522, 0.977,0
1, 705,1491, 4.000,02:33:46,0, 0.525, 0.978,0
1, 705,1488, 3.000,02:33:47,0, 0.522, 0.978,0
1, 705,1487, 1.000,02:33:48,0, 0.519, 0.979,0
1, 705,1485, 2.000,02:33:49,0, 0.521, 0.980,0
1, 702,1482, 4.243,02:33:50,0, 0.514, 0.975,0
1, 701,1479, 3.162,02:33:51,0, 0.502, 0.973,0
1, 701,1479, 0.000,02:33:52,0, 0.497, 0.973,0
1, 700,1477, 2.236,02:33:53,0, 0.495, 0.976,0
1, 699,1474, 3.162,02:33:54,0, 0.494, 0.978,0
1, 699,1471, 3.000,02:33:55,0, 0.498, 0.975,0
1, 700,1472, 1.414,02:33:56,0, 0.509, 0.977,0
1, 700,1472, 0.000,02:33:57,0, 0.517, 0.969,0
1, 700,1472, 0.000,02:33:58,0, 0.503, 0.978,0
1, 699,1472, 1.000,02:33:59,0, 0.509, 0.976,0
1, 700,1471, 1.414,02:34:00,0, 0.507, 0.973,0
1, 700,1471, 0.000,02:34:01,0, 0.511, 0.976,0
1, 700,1471, 0.000,02:34:02,0, 0.511, 0.977,0
1, 699,1471, 1.000,02:34:03,0, 0.495, 0.978,0
1, 699,1471, 0.000,02:34:04,0, 0.503, 0.977,0
1, 697,1470, 2.236,02:34:05,0, 0.508, 0.973,0
1, 695,1470, 2.000,02:34:06,0, 0.508, 0.973,0
1, 695,1471, 1.000,02:34:07,0, 0.511, 0.975,0
1, 695,1471, 0.000,02:34:08,0, 0.501, 0.975,0
1, 695,1471, 0.000,02:34:09,0, 0.500, 0.975,0
1, 695,1471, 0.000,02:34:10,0, 0.502, 0.974,0
1, 695,1471, 0.000,02:34:11,0, 0.502, 0.966,0
1, 693,1471, 2.000,02:34:12,0, 0.510, 0.972,0
1, 693,1471, 0.000,02:34:13,0, 0.503, 0.973,0
1, 693,1471, 0.000,02:34:14,0, 0.503, 0.977,0
1, 693,1471, 0.000,02:34:15,0, 0.502, 0.976,0
1, 693,1471, 0.000,02:34:16,0, 0.502, 0.977,0
1, 693,1471, 0.000,02:34:17,0, 0.498, 0.959,0
1, 693,1471, 0.000,02:34:18,0, 0.499, 0.959,0
1, 693,1471, 0.000,02:34:19,0, 0.507, 0.976,0
1, 693,1471, 0.000,02:34:20,0, 0.510, 0.977,0
1, 693,1471, 0.000,02:34:21,0, 0.504, 0.973,0
1, 693,1470, 1.000,02:34:22,0, 0.501, 0.977,0
1, 695,1469, 2.236,02:34:23,0, 0.500, 0.979,0
1, 697,1468, 2.236,02:34:24,0, 0.503, 0.979,0
