phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 892,1814,-1.000,00:07:08,1, 0.321, 0.978,0
0, 753,1199,-1.000,00:07:09,1, 0.319, 0.975,0
0, 748,1185,-1.000,00:07:10,1, 0.361, 0.974,0
0, 741,1174,13.038,00:07:11,1, 0.378, 0.969,0
0, 732,1163,14.213,00:07:12,1, 0.386, 0.972,0
0, 724,1152,13.601,00:07:13,1, 0.411, 0.972,0
0, 715,1142,13.454,00:07:14,1, 0.426, 0.977,0
0, 704,1132,14.866,00:07:15,1, 0.434, 0.975,0
0, 694,1123,13.454,00:07:16,1, 0.455, 0.972,0
1, 681,1116,14.765,00:07:17,1, 0.482, 0.972,0
1, 667,1110,15.232,00:07:18,1, 0.475, 0.976,0
1, 653,1105,14.866,00:07:19,1, 0.485, 0.976,0
1, 639,1100,14.866,00:07:20,1, 0.486, 0.977,0
1, 624,1095,15.811,00:07:21,1, 0.483, 0.976,0
1, 609,1090,15.811,00:07:22,1, 0.466, 0.970,0
1, 596,1083,14.765,00:07:23,1, 0.465, 0.971,0
1, 581,1078,15.811,00:07:24,1, 0.461, 0.971,0
1, 566,1074,15.524,00:07:25,1, 0.448, 0.972,0
1, 551,1078,15.524,00:07:26,1, 0.445, 0.971,0
1, 537,1082,14.560,00:07:27,1, 0.425, 0.971,0
1, 521,1086,16.492,00:07:28,1, 0.428, 0.973,0
1, 506,1090,15.524,00:07:29,1, 0.403, 0.975,0
1, 491,1094,15.524,00:07:30,1, 0.355, 0.974,0
1, 480,1097,-1.000,00:07:31,1, 0.331, 0.975,0
1, 469,1093,-1.000,00:07:32,1, 0.320, 0.978,0
1, 454,1091,-1.000,00:07:33,1, 0.347, 0.973,0
1, 439,1090,-1.000,00:07:34,1, 0.321, 0.976,0
1, 425,1088,-1.000,00:07:35,1, 0.340, 0.975,0
1, 413,1084,-1.000,00:07:36,1, 0.342, 0.973,0
1, 401,1075,-1.000,00:07:37,1, 0.339, 0.969,0
1, 394,1069,-1.000,00:07:38,1, 0.344, 0.973,0
1, 395,1064,-1.000,00:07:39,0, 0.352, 0.970,0
1, 387,1055,-1.000,00:07:40,1, 0.348, 0.972,0
1, 381,1047,-1.000,00:07:41,0, 0.332, 0.969,0
1, 381,1047,-1.000,00:07:42,0, 0.337, 0.973,0
1, 381,1047,-1.000,00:07:43,0, 0.344, 0.968,0
1, 381,1047,-1.000,00:07:44,0, 0.339, 0.972,0
1, 381,1048,-1.000,00:07:45,0, 0.345, 0.974,0
1, 380,1049,-1.000,00:07:46,0, 0.350, 0.974,0
1, 378,1049,-1.000,00:07:47,0, 0.333, 0.976,0
1, 378,1050,-1.000,00:07:48,0, 0.330, 0.976,0
1, 378,1050,-1.000,00:07:49,0, 0.337, 0.976,0
1, 378,1050,-1.000,00:07:50,0, 0.332, 0.977,0
1, 381,1049,-1.000,00:07:51,0, 0.330, 0.973,0
1, 380,1046,-1.000,00:07:52,0, 0.300, 0.976,0
1, 380,1044,-1.000,00:07:54,0, 0.318, 0.978,0
1, 380,1044,-1.000,00:07:55,0, 0.320, 0.977,0
1, 380,1044,-1.000,00:07:56,0, 0.321, 0.978,0
1, 380,1044,-1.000,00:07:57,0, 0.313, 0.978,0
1, 380,1044,-1.000,00:07:58,0, 0.315, 0.979,0
1, 380,1044,-1.000,00:07:59,0, 0.315, 0.980,0
1, 380,1044,-1.000,00:08:00,0, 0.317, 0.976,0
1, 380,1044,-1.000,00:08:01,0, 0.319, 0.976,0
1, 380,1044,-1.000,00:08:02,0, 0.322, 0.975,0
1, 380,1044,-1.000,00:08:03,0, 0.321, 0.975,0
1, 379,1043,-1.000,00:08:04,0, 0.336, 0.974,0
1, 382,1044,-1.000,00:08:05,0, 0.336, 0.974,0
1, 382,1048,-1.000,00:08:06,0, 0.328, 0.978,0
