phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 342,1335,-1.000,00:36:55,0, 0.436, 0.970,0
0, 350,1398,63.506,00:36:56,0, 0.351, 0.961,0
0,1173, 143,1500.784,00:36:57,0, 0.353, 0.969,0
0,1212, 181,54.452,00:36:58,0, 0.687, 0.973,0
0,1222, 241,60.828,00:36:59,0, 0.636, 0.973,0
0,1232, 301,60.828,00:37:00,0, 0.630, 0.971,0
0, 963, 279,-1.000,00:37:01,0, 0.107, 0.964,0
0,1252, 418,-1.000,00:37:02,0, 0.435, 0.975,0
0,1262, 474,56.886,00:37:03,0, 0.428, 0.964,0
0,1271, 533,59.682,00:37:04,0, 0.460, 0.969,0
0,1281, 592,59.841,00:37:05,0, 0.411, 0.974,0
0,1288, 648,56.436,00:37:06,0, 0.388, 0.975,0
0,1298, 707,59.841,00:37:07,0, 0.430, 0.971,0
0,1231, 598,-1.000,00:37:08,0, 0.094, 0.973,0
0,1317, 826,-1.000,00:37:09,0, 0.440, 0.969,0
0,1327, 886,60.828,00:37:10,0, 0.464, 0.971,0
-1,1170, 183,-1.000,00:37:11,0, 0.284, 0.942,0
0,1346,1001,-1.000,00:37:12,0, 0.480, 0.967,0
0,1356,1058,57.871,00:37:13,0, 0.445, 0.968,0
0,1366,1116,58.856,00:37:14,0, 0.421, 0.967,0
-1,1169, 181,-1.000,00:37:15,0, 0.212, 0.940,0
-1,1169, 181,-1.000,00:37:15,0, 0.223, 0.940,0
0,1389,1268,-1.000,00:37:16,1, 0.545, 0.967,0
0,1399,1272,10.770,00:37:17,1, 0.525, 0.971,0
0,1410,1274,11.180,00:37:18,1, 0.535, 0.971,0
0,1420,1276,10.198,00:37:19,1, 0.565, 0.968,0
0,1432,1277,12.042,00:37:20,1, 0.549, 0.967,0
0,1443,1272,12.083,00:37:21,1, 0.537, 0.959,0
0,1453,1274,10.198,00:37:22,1, 0.552, 0.968,0
