phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 187,1062,-1.000,00:15:06,0, 0.652, 0.967,0
0, 783,1711,881.145,00:15:07,0, 0.541, 0.966,0
0, 721,1709,-1.000,00:15:08,0, 0.313, 0.967,0
0,1857, 998,-1.000,00:15:09,0, 0.374, 0.966,0
0,1801, 996,56.036,00:15:10,0, 0.480, 0.967,0
0,1737, 993,64.070,00:15:11,0, 0.438, 0.968,0
0,1683, 985,54.589,00:15:12,0, 0.466, 0.968,0
0,1620, 984,63.008,00:15:13,0, 0.431, 0.967,0
1,1793, 253,-1.000,00:15:14,0, 0.152, 0.959,0
1, 486, 654,-1.000,00:15:15,0, 0.157, 0.959,0
0,1438, 980,-1.000,00:15:16,0, 0.413, 0.968,0
0,1406, 977,32.140,00:15:17,1, 0.378, 0.969,0
0,1400, 974, 6.708,00:15:18,1, 0.395, 0.969,0
0,1392, 971, 8.544,00:15:19,1, 0.425, 0.969,0
0,1385, 968, 7.616,00:15:20,1, 0.421, 0.972,0
0,1378, 966, 7.280,00:15:21,1, 0.435, 0.970,0
0,1372, 964, 6.325,00:15:22,1, 0.431, 0.970,0
0,1366, 962, 6.325,00:15:23,1, 0.430, 0.964,0
0,1361, 961, 5.099,00:15:24,1, 0.425, 0.966,0
0,1355, 959, 6.325,00:15:25,1, 0.434, 0.969,0
0,1348, 957, 7.280,00:15:26,1, 0.444, 0.967,0
0,1343, 955, 5.385,00:15:27,1, 0.442, 0.964,0
0,1336, 952, 7.616,00:15:28,1, 0.428, 0.968,0
0,1323, 945,14.765,00:15:29,1, 0.423, 0.974,0
0,1311, 936,15.000,00:15:30,1, 0.383, 0.966,0
0,1298, 926,16.401,00:15:31,1, 0.387, 0.972,0
0,1287, 916,14.866,00:15:32,1, 0.385, 0.973,0
0,1275, 906,15.620,00:15:33,1, 0.372, 0.975,0
0,1262, 896,-1.000,00:15:34,1, 0.343, 0.974,0
0,1249, 887,-1.000,00:15:35,1, 0.371, 0.976,0
0,1237, 877,15.620,00:15:36,1, 0.366, 0.978,0
0,1224, 867,16.401,00:15:37,1, 0.352, 0.978,0
0,1212, 857,15.620,00:15:38,1, 0.372, 0.979,0
0,1200, 848,15.000,00:15:39,1, 0.374, 0.981,0
1,1193, 839,11.402,00:15:40,1, 0.413, 0.980,0
1,1182, 833,12.530,00:15:41,1, 0.407, 0.981,0
1,1170, 824,15.000,00:15:42,1, 0.421, 0.981,0
1,1158, 814,15.620,00:15:43,1, 0.431, 0.979,0
1,1150, 804,12.806,00:15:44,1, 0.438, 0.974,0
1,1140, 793,14.866,00:15:45,1, 0.459, 0.970,0
1,1130, 781,15.620,00:15:46,1, 0.470, 0.973,0
1,1118, 778,12.369,00:15:47,1, 0.463, 0.978,0
1,1119, 774, 4.123,00:15:48,1, 0.454, 0.979,0
1,1118, 760,14.036,00:15:49,1, 0.465, 0.981,0
1,1119, 754, 6.083,00:15:50,1, 0.450, 0.980,0
1,1120, 747, 7.071,00:15:51,1, 0.439, 0.978,0
1,1121, 743, 4.123,00:15:52,1, 0.420, 0.974,0
1,1122, 741, 2.236,00:15:53,0, 0.412, 0.978,0
1,1121, 740, 1.414,00:15:54,0, 0.403, 0.979,0
1,1120, 738, 2.236,00:15:55,0, 0.419, 0.976,0
1,1117, 736, 3.606,00:15:56,0, 0.426, 0.973,0
1,1114, 735, 3.162,00:15:57,0, 0.428, 0.973,0
1,1113, 734, 1.414,00:15:58,0, 0.416, 0.979,0
1,1114, 735, 1.414,00:15:59,0, 0.428, 0.976,0
1,1113, 735, 1.000,00:16:00,0, 0.407, 0.972,0
1,1113, 737, 2.000,00:16:01,0, 0.422, 0.972,0
1,1114, 737, 1.000,00:16:02,0, 0.423, 0.973,0
1,1113, 739, 2.236,00:16:03,0, 0.401, 0.979,0
1,1113, 739, 0.000,00:16:06,0, 0.405, 0.979,0
1,1113, 739, 0.000,00:16:07,0, 0.412, 0.980,0
1,1113, 739, 0.000,00:16:08,0, 0.411, 0.973,0
1,1112, 739, 1.000,00:16:09,0, 0.410, 0.982,0
1,1112, 739, 0.000,00:16:10,0, 0.411, 0.982,0
1,1111, 738, 1.414,00:16:11,0, 0.415, 0.982,0
1,1109, 735, 3.606,00:16:12,0, 0.435, 0.981,0
1,1105, 734, 4.123,00:16:13,0, 0.409, 0.980,0
1,1101, 736, 4.472,00:16:14,0, 0.418, 0.981,0
1,1099, 737, 2.236,00:16:15,0, 0.426, 0.972,0
1,1102, 737, 3.000,00:16:16,0, 0.432, 0.977,0
1,1106, 737, 4.000,00:16:17,0, 0.450, 0.971,0
1,1108, 737, 2.000,00:16:18,0, 0.455, 0.976,0
1,1109, 740, 3.162,00:16:19,0, 0.442, 0.968,0
1,1107, 741, 2.236,00:16:20,0, 0.452, 0.970,0
