phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1134, 229,-1.000,02:09:56,0, 0.267, 0.964,0
0,1680, 267,-1.000,02:09:57,0, 0.277, 0.968,0
0,1857, 711,-1.000,02:09:58,0, 0.477, 0.966,0
0,1807, 703,50.636,02:09:59,0, 0.551, 0.962,0
0,1750, 697,57.315,02:10:00,0, 0.454, 0.956,0
0,1697, 693,53.151,02:10:01,0, 0.418, 0.966,0
0,1637, 689,60.133,02:10:02,0, 0.426, 0.970,0
0,1578, 683,59.304,02:10:03,0, 0.424, 0.966,0
0,1517, 676,61.400,02:10:03,0, 0.389, 0.966,0
0,1457, 668,-1.000,02:10:04,0, 0.345, 0.967,0
-1, 261, 262,-1.000,02:10:05,0, 0.180, 0.915,1
0,1341, 649,-1.000,02:10:06,0, 0.265, 0.966,0
0,1280, 642,-1.000,02:10:07,0, 0.286, 0.970,0
0,1226, 641,-1.000,02:10:08,0, 0.318, 0.975,0
-1,1153, 172,-1.000,02:10:09,0, 0.187, 0.921,0
0,1103, 628,-1.000,02:10:10,0, 0.369, 0.967,0
0,1045, 621,-1.000,02:10:11,0, 0.334, 0.964,0
0, 992, 620,-1.000,02:10:12,0, 0.349, 0.955,0
0, 932, 614,-1.000,02:10:13,0, 0.423, 0.966,0
0, 941, 614, 9.000,02:10:14,1, 0.403, 0.968,0
0, 943, 614, 2.000,02:10:15,1, 0.398, 0.970,0
0, 950, 623,11.402,02:10:16,1, 0.405, 0.966,0
0, 950, 633,10.000,02:10:17,1, 0.405, 0.951,0
0, 949, 642, 9.055,02:10:18,1, 0.410, 0.964,0
0, 946, 652,10.440,02:10:19,1, 0.406, 0.953,0
0, 940, 660,10.000,02:10:20,0, 0.392, 0.958,0
0, 932, 667,10.630,02:10:21,0, 0.384, 0.952,0
0, 925, 673, 9.220,02:10:22,0, 0.367, 0.950,0
0, 917, 680,-1.000,02:10:23,1, 0.332, 0.972,0
0, 907, 680,-1.000,02:10:24,1, 0.340, 0.971,0
0, 905, 688,-1.000,02:10:25,1, 0.372, 0.965,0
