phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 143,1800,-1.000,00:22:41,0, 0.553, 0.950,1
0, 143,1384,-1.000,00:22:42,0, 0.291, 0.950,1
-1, 143, 182,-1.000,00:22:43,0, 0.185, 0.916,1
-1, 225,1309,-1.000,00:22:44,0, 0.547, 0.944,0
-1, 280,1277,63.632,00:22:45,0, 0.517, 0.934,0
0, 330,1245,59.363,00:22:46,0, 0.389, 0.959,0
0, 382,1218,-1.000,00:22:47,0, 0.270, 0.967,0
-1,1114,1400,-1.000,00:22:48,0, 0.196, 0.921,0
-1, 143, 175,-1.000,00:22:49,0, 0.213, 0.918,1
0, 536,1112,-1.000,00:22:50,0, 0.292, 0.971,0
0, 586,1079,-1.000,00:22:51,0, 0.311, 0.957,0
0, 642,1049,-1.000,00:22:52,0, 0.391, 0.950,0
0, 693,1016,-1.000,00:22:53,0, 0.349, 0.950,0
0, 744, 993,-1.000,00:22:54,0, 0.334, 0.946,0
0, 769, 977,-1.000,00:22:55,0, 0.343, 0.947,0
-1, 773, 961,-1.000,00:22:56,0, 0.352, 0.944,0
-1, 777, 944,17.464,00:22:57,0, 0.390, 0.945,0
-1, 780, 927,17.263,00:22:58,0, 0.412, 0.944,0
-1, 785, 911,16.763,00:22:59,0, 0.415, 0.944,0
-1, 791, 895,17.088,00:23:00,0, 0.398, 0.942,0
-1, 797, 879,17.088,00:23:01,0, 0.382, 0.942,0
-1, 804, 864,16.553,00:23:02,0, 0.402, 0.945,0
0, 810, 848,17.088,00:23:03,0, 0.359, 0.947,0
-1, 817, 832,17.464,00:23:04,0, 0.365, 0.943,0
-1, 823, 817,16.155,00:23:05,0, 0.353, 0.946,0
-1, 829, 802,-1.000,00:23:06,0, 0.342, 0.946,0
-1, 835, 787,-1.000,00:23:07,0, 0.335, 0.946,0
-1, 841, 780,-1.000,00:23:08,0, 0.307, 0.945,0
0, 847, 766,-1.000,00:23:09,0, 0.313, 0.948,0
0, 853, 752,-1.000,00:23:10,0, 0.363, 0.963,0
0, 859, 737,-1.000,00:23:11,0, 0.346, 0.971,0
