phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 600, 745,-1.000,00:35:17,1, 0.456, 0.947,0
-1, 609, 746, 9.055,00:35:18,1, 0.454, 0.942,0
-1, 620, 749,11.402,00:35:19,1, 0.447, 0.942,0
-1, 634, 756,15.652,00:35:20,1, 0.427, 0.942,0
-1, 648, 764,16.125,00:35:21,1, 0.390, 0.943,0
-1, 661, 772,15.264,00:35:22,1, 0.380, 0.941,0
-1, 673, 781,15.000,00:35:23,1, 0.357, 0.939,0
-1, 685, 792,-1.000,00:35:24,1, 0.335, 0.939,0
-1, 693, 803,-1.000,00:35:25,1, 0.331, 0.942,0
-1, 703, 813,-1.000,00:35:26,1, 0.316, 0.941,0
-1, 715, 822,-1.000,00:35:27,1, 0.308, 0.944,0
1, 728, 831,-1.000,00:35:28,1, 0.311, 0.956,0
1, 739, 840,-1.000,00:35:29,1, 0.304, 0.955,0
1, 751, 850,-1.000,00:35:30,1, 0.288, 0.957,0
1, 763, 853,-1.000,00:35:31,1, 0.293, 0.956,0
1, 774, 863,-1.000,00:35:32,1, 0.340, 0.955,0
1, 785, 873,-1.000,00:35:33,1, 0.335, 0.955,0
1, 797, 883,-1.000,00:35:34,1, 0.341, 0.954,0
1, 809, 891,-1.000,00:35:35,1, 0.338, 0.953,0
1, 818, 889,-1.000,00:35:36,1, 0.318, 0.954,0
1, 818, 875,-1.000,00:35:37,1, 0.316, 0.949,0
1, 818, 870,-1.000,00:35:38,0, 0.315, 0.957,0
1, 819, 868,-1.000,00:35:39,0, 0.331, 0.957,0
1, 818, 868,-1.000,00:35:40,0, 0.322, 0.952,0
1, 819, 868,-1.000,00:35:41,0, 0.324, 0.950,0
1, 819, 868,-1.000,00:35:42,0, 0.321, 0.952,0
1, 818, 869,-1.000,00:35:43,0, 0.328, 0.950,0
1, 818, 870,-1.000,00:35:44,0, 0.327, 0.950,0
1, 817, 869,-1.000,00:35:45,0, 0.323, 0.950,0
1, 818, 871,-1.000,00:35:46,0, 0.324, 0.951,0
1, 817, 871,-1.000,00:35:47,0, 0.330, 0.957,0
1, 817, 869,-1.000,00:35:47,0, 0.325, 0.950,0
-1,1491, 228,-1.000,00:35:53,0, 0.582, 0.930,0
-1,1487, 230, 4.472,00:35:56,0, 0.502, 0.923,0
-1, 262,1675,-1.000,00:35:57,0, 0.464, 0.907,1
-1, 903,1654,-1.000,00:36:00,0, 0.415, 0.941,0
-1,1482, 228,1539.064,00:36:01,0, 0.499, 0.933,0
-1, 581,1857,-1.000,00:36:08,0, 0.459, 0.943,1
-1,1408,1671,-1.000,00:36:09,0, 0.426, 0.936,0
-1, 307,1383,1138.044,00:36:11,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:12,0, 0.505, 0.926,0
-1, 307,1383, 0.000,00:36:13,0, 0.505, 0.926,0
-1, 307,1383, 0.000,00:36:14,0, 0.505, 0.926,0
-1, 307,1383, 0.000,00:36:15,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:16,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:17,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:17,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:18,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:19,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:20,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:21,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:22,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:23,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:24,0, 0.503, 0.926,0
-1, 307,1383, 0.000,00:36:25,0, 0.503, 0.926,0
