phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1044,1032,-1.000,01:34:08,1, 0.543, 0.972,0
0,1050,1024,10.000,01:34:09,1, 0.479, 0.971,0
0,1057,1012,13.892,01:34:10,1, 0.516, 0.969,0
0,1063,1001,12.530,01:34:11,1, 0.505, 0.968,0
0,1071, 990,13.601,01:34:12,1, 0.504, 0.970,0
0,1078, 979,13.038,01:34:13,0, 0.507, 0.970,0
0,1086, 968,13.601,01:34:14,1, 0.501, 0.968,0
0,1093, 957,13.038,01:34:15,1, 0.496, 0.971,0
0,1100, 946,13.038,01:34:16,1, 0.500, 0.969,0
0,1107, 935,13.038,01:34:17,1, 0.507, 0.967,0
0,1114, 922,14.765,01:34:18,1, 0.498, 0.968,0
0,1122, 909,15.264,01:34:19,1, 0.523, 0.967,0
0,1127, 896,13.928,01:34:20,1, 0.532, 0.969,0
0,1133, 883,14.318,01:34:21,1, 0.549, 0.964,0
0,1143, 870,16.401,01:34:22,1, 0.534, 0.963,0
0,1151, 856,16.125,01:34:23,1, 0.527, 0.961,0
0,1160, 842,16.643,01:34:24,1, 0.473, 0.964,0
1,1174, 833,16.643,01:34:25,1, 0.440, 0.970,0
1,1185, 821,16.279,01:34:26,1, 0.439, 0.973,0
1,1194, 809,15.000,01:34:27,1, 0.395, 0.970,0
1,1204, 798,14.866,01:34:28,1, 0.358, 0.972,0
1,1215, 786,-1.000,01:34:29,1, 0.350, 0.973,0
1,1223, 775,-1.000,01:34:30,1, 0.350, 0.972,0
1,1223, 762,-1.000,01:34:30,1, 0.349, 0.970,0
1,1235, 751,-1.000,01:34:31,1, 0.365, 0.971,0
1,1246, 739,16.279,01:34:32,1, 0.401, 0.976,0
1,1257, 729,14.866,01:34:33,1, 0.407, 0.977,0
1,1268, 718,15.556,01:34:34,1, 0.436, 0.979,0
1,1278, 707,14.866,01:34:35,1, 0.408, 0.979,0
1,1288, 695,15.620,01:34:36,1, 0.408, 0.974,0
1,1298, 684,14.866,01:34:37,1, 0.400, 0.975,0
1,1308, 673,14.866,01:34:38,1, 0.385, 0.973,0
1,1318, 661,15.620,01:34:39,1, 0.378, 0.971,0
1,1328, 650,14.866,01:34:40,1, 0.372, 0.976,0
1,1338, 639,-1.000,01:34:41,1, 0.320, 0.978,0
1,1345, 638,-1.000,01:34:42,1, 0.323, 0.978,0
1,1350, 629,-1.000,01:34:43,1, 0.397, 0.980,0
1,1360, 618,14.866,01:34:44,1, 0.398, 0.979,0
1,1370, 607,14.866,01:34:45,1, 0.390, 0.978,0
1,1381, 596,15.556,01:34:46,1, 0.399, 0.979,0
1,1390, 585,14.213,01:34:47,1, 0.400, 0.981,0
1,1396, 571,15.232,01:34:48,1, 0.392, 0.977,0
1,1399, 566, 5.831,01:34:49,1, 0.404, 0.976,0
1,1405, 559, 9.220,01:34:50,1, 0.385, 0.979,0
1,1408, 557, 3.606,01:34:51,0, 0.386, 0.974,0
1,1406, 556, 2.236,01:34:52,0, 0.379, 0.973,0
1,1407, 556, 1.000,01:34:53,0, 0.377, 0.959,0
1,1409, 557, 2.236,01:34:54,0, 0.382, 0.982,0
1,1410, 557, 1.000,01:34:55,0, 0.384, 0.982,0
1,1410, 557, 0.000,01:34:56,0, 0.383, 0.982,0
1,1410, 557, 0.000,01:34:57,0, 0.380, 0.983,0
1,1410, 557, 0.000,01:34:58,0, 0.375, 0.970,0
1,1411, 557, 1.000,01:34:59,0, 0.374, 0.983,0
1,1407, 556, 4.123,01:35:01,0, 0.380, 0.978,0
1,1407, 555, 1.000,01:35:01,0, 0.380, 0.977,0
1,1404, 554, 3.162,01:35:02,0, 0.385, 0.979,0
1,1405, 554, 1.000,01:35:03,0, 0.381, 0.978,0
1,1407, 554, 2.000,01:35:04,0, 0.380, 0.979,0
1,1406, 554, 1.000,01:35:05,0, 0.381, 0.982,0
1,1404, 554, 2.000,01:35:06,0, 0.382, 0.979,0
1,1405, 555, 1.414,01:35:07,0, 0.377, 0.979,0
1,1404, 554, 1.414,01:35:08,0, 0.386, 0.979,0
1,1404, 554, 0.000,01:35:09,0, 0.377, 0.980,0
1,1404, 556, 2.000,01:35:10,0, 0.386, 0.982,0
1,1404, 556, 0.000,01:35:11,0, 0.380, 0.982,0
1,1404, 557, 1.000,01:35:12,0, 0.384, 0.982,0
1,1404, 558, 1.000,01:35:13,0, 0.375, 0.982,0
1,1404, 558, 0.000,01:35:14,0, 0.380, 0.978,0
1,1404, 556, 2.000,01:35:15,0, 0.386, 0.983,0
1,1407, 554, 3.606,01:35:16,0, 0.387, 0.979,0
1,1407, 553, 1.000,01:35:17,0, 0.389, 0.982,0
1,1411, 553, 4.000,01:35:18,0, 0.390, 0.982,0
1,1410, 555, 2.236,01:35:19,0, 0.393, 0.982,0
1,1408, 554, 2.236,01:35:20,0, 0.388, 0.976,0
1,1406, 555, 2.236,01:35:21,0, 0.384, 0.982,0
1,1405, 553, 2.236,01:35:22,0, 0.384, 0.982,0
1,1405, 554, 1.000,01:35:23,0, 0.379, 0.982,0
1,1405, 556, 2.000,01:35:24,0, 0.381, 0.979,0
1,1402, 557, 3.162,01:35:25,0, 0.381, 0.978,0
1,1403, 558, 1.414,01:35:26,0, 0.360, 0.982,0
1,1403, 558, 0.000,01:35:27,0, 0.361, 0.979,0
1,1403, 558, 0.000,01:35:30,0, 0.364, 0.982,0
1,1403, 558, 0.000,01:35:31,0, 0.360, 0.978,0
1,1403, 558, 0.000,01:35:32,0, 0.363, 0.977,0
1,1404, 557, 1.414,01:35:32,0, 0.361, 0.978,0
1,1401, 555, 3.606,01:35:33,0, 0.359, 0.979,0
1,1398, 555, 3.000,01:35:34,0, 0.378, 0.976,0
1,1396, 551, 4.472,01:35:35,0, 0.377, 0.982,0
1,1397, 547, 4.123,01:35:36,0, 0.381, 0.964,0
1,1398, 543, 4.123,01:35:37,0, 0.372, 0.979,0
1,1399, 539, 4.123,01:35:38,0, 0.365, 0.971,0
1,1401, 536, 3.606,01:35:39,0, 0.370, 0.977,0
1,1403, 534, 2.828,01:35:40,0, 0.361, 0.982,0
1,1403, 532, 2.000,01:35:41,0, 0.365, 0.982,0
1,1401, 529, 3.606,01:35:42,1, 0.355, 0.981,0
1,1402, 525,-1.000,01:35:43,0, 0.336, 0.981,0
1,1399, 521,-1.000,01:35:44,0, 0.343, 0.977,0
1,1397, 519,-1.000,01:35:45,0, 0.349, 0.978,0
1,1393, 519,-1.000,01:35:46,0, 0.364, 0.982,0
1,1390, 519, 3.000,01:35:47,0, 0.369, 0.982,0
1,1388, 518, 2.236,01:35:48,0, 0.352, 0.982,0
1,1389, 518, 1.000,01:35:49,0, 0.359, 0.971,0
1,1389, 519, 1.000,01:35:50,0, 0.352, 0.978,0
1,1391, 517, 2.828,01:35:51,0, 0.355, 0.979,0
1,1390, 518, 1.414,01:35:52,0, 0.356, 0.980,0
1,1390, 517, 1.000,01:35:53,0, 0.360, 0.979,0
1,1390, 517, 0.000,01:35:54,0, 0.361, 0.978,0
1,1389, 515, 2.236,01:35:55,0, 0.356, 0.981,0
1,1390, 515, 1.000,01:35:56,0, 0.355, 0.979,0
1,1390, 515, 0.000,01:35:57,0, 0.353, 0.981,0
1,1389, 514, 1.414,01:35:58,0, 0.355, 0.982,0
1,1388, 514, 1.000,01:35:59,0, 0.352, 0.981,0
1,1391, 515, 3.162,01:36:00,0, 0.353, 0.983,0
1,1393, 514,-1.000,01:36:01,0, 0.350, 0.978,0
1,1395, 515,-1.000,01:36:02,0, 0.346, 0.980,0
1,1395, 512,-1.000,01:36:03,0, 0.344, 0.979,0
1,1393, 510,-1.000,01:36:03,0, 0.352, 0.979,0
1,1390, 511, 3.162,01:36:04,0, 0.350, 0.982,0
1,1388, 510,-1.000,01:36:05,0, 0.346, 0.978,0
1,1387, 508,-1.000,01:36:06,0, 0.350, 0.982,0
1,1387, 508, 0.000,01:36:07,0, 0.357, 0.981,0
1,1387, 508, 0.000,01:36:08,0, 0.353, 0.978,0
