phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 289,1601,-1.000,02:53:27,0, 0.201, 0.947,1
1, 143, 290,-1.000,02:53:28,0, 0.212, 0.951,1
1,1643,1457,-1.000,02:53:29,0, 0.226, 0.958,0
1,1626,1460,-1.000,02:53:30,0, 0.274, 0.954,0
-1, 861, 757,-1.000,02:53:31,0, 0.188, 0.939,0
-1, 148,1439,-1.000,02:53:32,0, 0.163, 0.922,1
1, 865, 757,-1.000,02:53:33,0, 0.198, 0.954,0
-1, 221,1467,-1.000,02:53:34,0, 0.204, 0.943,1
-1,1197, 243,-1.000,02:53:35,0, 0.197, 0.936,0
-1, 441,1454,-1.000,02:53:36,0, 0.175, 0.942,0
-1,1640,1458,-1.000,02:53:37,0, 0.219, 0.928,0
-1, 491,1479,-1.000,02:53:38,0, 0.194, 0.930,0
-1, 337, 169,-1.000,02:53:39,0, 0.219, 0.942,1
-1, 370, 173,-1.000,02:53:40,0, 0.230, 0.927,1
-1, 338, 170,-1.000,02:53:41,0, 0.289, 0.920,1
-1, 383, 169,-1.000,02:53:42,0, 0.195, 0.939,1
-1, 424,1470,-1.000,02:53:42,0, 0.220, 0.930,0
-1, 326, 171,-1.000,02:53:43,0, 0.265, 0.924,1
-1, 143,1441,-1.000,02:53:44,0, 0.219, 0.931,1
-1,1554,1498,-1.000,02:53:45,0, 0.195, 0.929,0
-1, 411, 568,-1.000,02:53:46,0, 0.222, 0.868,0
-1, 200, 218,-1.000,02:53:47,0, 0.262, 0.910,1
-1, 371, 174,-1.000,02:53:48,0, 0.264, 0.936,1
-1, 360, 192,-1.000,02:53:49,0, 0.307, 0.940,1
-1, 143,1440,-1.000,02:53:50,0, 0.229, 0.897,1
-1, 338, 171,-1.000,02:53:51,0, 0.301, 0.944,1
1, 701,1793,-1.000,02:53:52,0, 0.267, 0.950,0
-1, 148,1440,-1.000,02:53:53,0, 0.236, 0.877,1
-1, 341, 170,-1.000,02:53:54,0, 0.249, 0.928,1
-1, 398,1467,-1.000,02:53:55,0, 0.205, 0.926,0
-1, 320, 171,-1.000,02:53:56,0, 0.276, 0.932,1
-1, 393,1630,-1.000,02:53:57,0, 0.216, 0.937,0
-1, 338, 169,-1.000,02:53:58,0, 0.259, 0.939,1
-1, 522, 525,-1.000,02:53:59,0, 0.252, 0.932,0
-1, 338, 170,-1.000,02:54:00,0, 0.259, 0.940,1
-1, 143,1441,-1.000,02:54:01,0, 0.227, 0.913,1
-1,1509,1612,-1.000,02:54:02,0, 0.231, 0.889,0
-1, 208, 313,-1.000,02:54:03,0, 0.208, 0.939,0
-1, 143, 513,-1.000,02:54:04,0, 0.217, 0.891,0
-1,1505,1600,-1.000,02:54:05,0, 0.255, 0.946,0
-1,1508,1600,-1.000,02:54:06,0, 0.249, 0.927,0
-1, 147,1441,-1.000,02:54:07,0, 0.225, 0.913,1
-1, 184,1441,-1.000,02:54:08,0, 0.212, 0.935,1
-1, 231,1516,-1.000,02:54:09,0, 0.207, 0.927,1
-1, 338, 174,-1.000,02:54:10,0, 0.228, 0.942,1
-1,1201, 160,-1.000,02:54:11,0, 0.218, 0.941,0
-1, 336, 169,-1.000,02:54:11,0, 0.221, 0.935,1
-1, 251, 256,-1.000,02:54:12,0, 0.250, 0.923,1
-1, 247, 237,-1.000,02:54:13,0, 0.293, 0.937,1
-1, 241,1420,-1.000,02:54:14,0, 0.255, 0.924,0
-1, 254,1425,-1.000,02:54:15,0, 0.247, 0.902,0
-1, 371, 173,-1.000,02:54:16,0, 0.218, 0.945,1
-1, 261,1429,-1.000,02:54:17,0, 0.219, 0.935,0
-1, 264,1431,-1.000,02:54:18,0, 0.253, 0.936,0
-1, 286,1431,-1.000,02:54:19,0, 0.184, 0.912,0
-1, 547, 593,-1.000,02:54:20,0, 0.242, 0.939,0
-1, 566, 597,-1.000,02:54:21,0, 0.224, 0.936,0
-1,1808, 206,-1.000,02:54:22,0, 0.217, 0.915,0
1,1809, 240,-1.000,02:54:23,0, 0.190, 0.948,0
-1,1804, 254,-1.000,02:54:24,0, 0.204, 0.943,0
-1,1801, 262,-1.000,02:54:25,0, 0.179, 0.911,0
-1,1800, 265,-1.000,02:54:26,0, 0.202, 0.934,0
-1,1803, 254,-1.000,02:54:27,0, 0.198, 0.904,0
-1,1799, 255,-1.000,02:54:28,0, 0.206, 0.924,0
-1,1798, 254,-1.000,02:54:29,0, 0.199, 0.934,0
-1,1798, 264,-1.000,02:54:30,0, 0.197, 0.945,0
1,1208, 207,-1.000,02:54:31,0, 0.196, 0.956,0
1, 219,1466,-1.000,02:54:32,0, 0.200, 0.951,1
-1, 544, 608,-1.000,02:54:33,0, 0.191, 0.881,0
-1, 260,1433,-1.000,02:54:34,0, 0.226, 0.899,0
1, 549, 597,-1.000,02:54:35,0, 0.217, 0.950,0
1, 551, 597,-1.000,02:54:36,0, 0.224, 0.949,0
1, 234,1456,-1.000,02:54:37,0, 0.207, 0.946,0
-1, 233,1456,-1.000,02:54:38,0, 0.190, 0.941,1
1,1797, 219,-1.000,02:54:39,0, 0.237, 0.954,0
-1,1830, 213,-1.000,02:54:40,0, 0.264, 0.868,0
-1,1845, 230,-1.000,02:54:40,0, 0.235, 0.910,0
-1,1837, 253,-1.000,02:54:41,0, 0.228, 0.863,0
-1,1816, 253,-1.000,02:54:42,0, 0.219, 0.864,0
-1,1773, 231,-1.000,02:54:43,0, 0.229, 0.874,0
-1,1047, 922,-1.000,02:54:44,0, 0.173, 0.930,0
-1, 443,1455,-1.000,02:54:45,0, 0.179, 0.942,0
-1, 430,1446,-1.000,02:54:46,0, 0.160, 0.895,0
-1, 516, 689,-1.000,02:54:47,0, 0.150, 0.929,0
-1,1635,1459,-1.000,02:54:48,0, 0.205, 0.941,0
-1,1614,1458,-1.000,02:54:49,0, 0.225, 0.926,0
-1, 334, 170,-1.000,02:54:50,0, 0.238, 0.927,1
1, 277,1592,-1.000,02:54:51,0, 0.207, 0.950,1
-1, 276,1598,-1.000,02:54:52,0, 0.192, 0.924,1
-1, 862, 757,-1.000,02:54:53,0, 0.195, 0.943,0
-1, 546,1473,-1.000,02:54:54,0, 0.167, 0.866,0
-1, 215,1467,-1.000,02:54:55,0, 0.189, 0.923,1
-1, 513, 684,-1.000,02:54:56,0, 0.193, 0.870,0
-1, 143,1442,-1.000,02:54:57,0, 0.172, 0.894,1
-1, 519, 679,-1.000,02:54:58,0, 0.168, 0.900,0
-1,1530, 162,-1.000,02:54:59,0, 0.185, 0.923,0
1, 555,1467,-1.000,02:55:00,0, 0.180, 0.952,0
-1, 143, 332,-1.000,02:55:01,0, 0.185, 0.928,1
-1, 199,1518,-1.000,02:55:02,0, 0.162, 0.942,1
-1, 277,1633,-1.000,02:55:03,0, 0.178, 0.916,1
-1, 277,1633,-1.000,02:55:04,0, 0.190, 0.918,1
-1, 278,1630,-1.000,02:55:05,0, 0.193, 0.908,1
1,1636,1460,-1.000,02:55:06,0, 0.223, 0.951,0
-1, 544,1477,-1.000,02:55:07,0, 0.162, 0.867,0
-1, 841, 146,-1.000,02:55:08,0, 0.171, 0.901,0
-1,1637,1458,-1.000,02:55:09,1, 0.186, 0.914,0
-1, 389,1445,-1.000,02:55:09,0, 0.171, 0.883,0
-1, 143,1440,-1.000,02:55:10,0, 0.175, 0.877,1
-1, 143,1439,-1.000,02:55:11,0, 0.235, 0.865,1
-1, 331, 170,-1.000,02:55:12,0, 0.235, 0.936,1
-1,1754, 662,-1.000,02:55:13,0, 0.175, 0.914,0
1, 338, 171,-1.000,02:55:14,0, 0.210, 0.947,1
-1,1707, 572,-1.000,02:55:15,0, 0.175, 0.925,0
-1,1213, 250,-1.000,02:55:16,0, 0.198, 0.931,0
-1, 215,1466,-1.000,02:55:17,0, 0.205, 0.926,1
-1, 215,1467,-1.000,02:55:18,0, 0.178, 0.919,1
-1,1762, 264,-1.000,02:55:19,0, 0.184, 0.931,0
-1, 215,1467,-1.000,02:55:20,0, 0.223, 0.932,1
1, 221,1466,-1.000,02:55:21,0, 0.223, 0.956,1
1,1767, 241,-1.000,02:55:22,0, 0.193, 0.953,0
-1,1769, 231,-1.000,02:55:23,0, 0.248, 0.925,0
-1,1768, 231,-1.000,02:55:24,0, 0.268, 0.931,0
-1, 215,1466,-1.000,02:55:25,0, 0.234, 0.922,1
-1, 236,1440,-1.000,02:55:26,0, 0.256, 0.946,0
-1,1750, 208,-1.000,02:55:27,0, 0.189, 0.937,0
-1, 276, 262,-1.000,02:55:28,1, 0.228, 0.926,0
-1, 281, 256,-1.000,02:55:29,0, 0.198, 0.936,1
-1, 227,1440,-1.000,02:55:30,0, 0.209, 0.926,1
-1, 232,1456,-1.000,02:55:31,1, 0.226, 0.937,1
-1,1776, 214,-1.000,02:55:32,0, 0.191, 0.930,0
-1, 323, 249,-1.000,02:55:33,0, 0.236, 0.931,0
-1,1775, 230,-1.000,02:55:34,0, 0.201, 0.933,0
-1, 238,1440,-1.000,02:55:35,0, 0.201, 0.877,0
-1,1337,1527,-1.000,02:55:36,0, 0.212, 0.913,0
-1, 289,1427,-1.000,02:55:37,0, 0.207, 0.937,0
-1, 306, 226,-1.000,02:55:38,0, 0.235, 0.919,1
-1,1761, 207,-1.000,02:55:39,0, 0.233, 0.923,0
-1,1764, 229,-1.000,02:55:39,0, 0.232, 0.913,0
-1, 288,1436,-1.000,02:55:40,0, 0.214, 0.886,0
-1, 243,1421,-1.000,02:55:41,0, 0.243, 0.934,0
-1, 288,1422,-1.000,02:55:42,0, 0.283, 0.921,0
-1, 245,1437,-1.000,02:55:43,0, 0.241, 0.907,0
-1, 237,1441,-1.000,02:55:44,0, 0.234, 0.931,0
-1, 311, 239,-1.000,02:55:45,0, 0.250, 0.941,1
-1, 224,1449,-1.000,02:55:46,0, 0.217, 0.945,1
-1, 321, 250,-1.000,02:55:47,0, 0.227, 0.936,0
1, 223,1467,-1.000,02:55:48,0, 0.197, 0.958,1
-1,1781, 265,-1.000,02:55:49,0, 0.217, 0.943,0
-1, 238,1461,-1.000,02:55:50,0, 0.178, 0.929,0
