phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 599, 826,-1.000,00:55:47,1, 0.300, 0.948,0
-1, 601, 814,-1.000,00:55:48,1, 0.322, 0.937,0
-1, 604, 804,-1.000,00:55:49,1, 0.341, 0.938,0
-1, 607, 793,-1.000,00:55:50,1, 0.400, 0.941,0
-1, 610, 782,11.402,00:55:51,1, 0.405, 0.945,0
-1, 611, 772,10.050,00:55:52,1, 0.415, 0.936,0
-1, 612, 761,11.045,00:55:53,1, 0.426, 0.942,0
-1, 614, 751,10.198,00:55:54,1, 0.446, 0.945,0
-1, 617, 741,10.440,00:55:55,1, 0.444, 0.942,0
-1, 620, 727,14.318,00:55:56,1, 0.445, 0.937,0
-1, 627, 714,14.765,00:55:57,1, 0.455, 0.942,0
1, 632, 699,15.811,00:55:58,1, 0.483, 0.953,0
1, 639, 684,16.553,00:55:59,1, 0.487, 0.953,0
1, 645, 669,16.155,00:56:00,1, 0.504, 0.953,0
1, 651, 654,16.155,00:56:01,1, 0.509, 0.951,0
1, 659, 640,16.125,00:56:02,1, 0.512, 0.951,0
1, 665, 625,16.155,00:56:03,1, 0.520, 0.950,0
1, 670, 611,14.866,00:56:04,1, 0.516, 0.950,0
1, 676, 598,14.318,00:56:05,1, 0.516, 0.949,0
1, 683, 582,17.464,00:56:06,1, 0.523, 0.949,0
1, 689, 569,14.318,00:56:06,1, 0.527, 0.951,0
1, 694, 555,14.866,00:56:07,1, 0.527, 0.951,0
1, 699, 541,14.866,00:56:08,1, 0.536, 0.949,0
1, 704, 526,15.811,00:56:09,1, 0.548, 0.948,0
1, 708, 512,14.560,00:56:10,1, 0.538, 0.947,0
1, 713, 499,13.928,00:56:11,1, 0.540, 0.947,0
1, 719, 486,14.318,00:56:12,1, 0.512, 0.947,0
1, 724, 472,14.866,00:56:13,1, 0.499, 0.947,0
1, 727, 458,14.318,00:56:14,1, 0.475, 0.947,0
1, 731, 444,14.560,00:56:15,1, 0.458, 0.946,0
1, 735, 430,14.560,00:56:16,1, 0.465, 0.947,0
1, 738, 416,14.318,00:56:17,1, 0.456, 0.949,0
1, 739, 402,14.036,00:56:18,1, 0.469, 0.951,0
1, 741, 387,15.133,00:56:19,1, 0.457, 0.949,0
1, 748, 374,14.765,00:56:20,1, 0.457, 0.947,0
-1, 752, 364,10.770,00:56:21,1, 0.452, 0.946,0
-1, 754, 349,15.133,00:56:22,1, 0.446, 0.946,0
-1, 757, 335,14.318,00:56:23,1, 0.430, 0.946,0
1, 762, 321,14.866,00:56:24,1, 0.424, 0.947,0
1, 767, 307,14.866,00:56:25,1, 0.432, 0.955,0
1, 771, 293,14.560,00:56:26,1, 0.409, 0.955,0
1, 775, 280,13.601,00:56:27,1, 0.393, 0.949,0
1, 782, 267,14.765,00:56:28,1, 0.405, 0.948,0
1, 788, 255,13.416,00:56:29,1, 0.413, 0.948,0
1, 789, 242,13.038,00:56:30,1, 0.393, 0.948,0
-1, 789, 235, 7.000,00:56:31,0, 0.401, 0.941,0
1, 790, 233, 2.236,00:56:32,0, 0.408, 0.947,0
-1, 790, 233, 0.000,00:56:33,0, 0.406, 0.946,0
1, 790, 233, 0.000,00:56:34,0, 0.421, 0.955,0
1, 789, 235, 2.236,00:56:35,0, 0.406, 0.949,0
1, 790, 233, 2.236,00:56:36,0, 0.404, 0.955,0
1, 793, 235, 3.606,00:56:36,0, 0.407, 0.956,0
1, 792, 237, 2.236,00:56:37,0, 0.408, 0.954,0
1, 792, 237, 0.000,00:56:38,0, 0.404, 0.955,0
1, 792, 236, 1.000,00:56:39,0, 0.410, 0.957,0
-1, 793, 236, 1.000,00:56:40,0, 0.410, 0.938,0
1, 791, 235, 2.236,00:56:41,0, 0.410, 0.958,0
1, 789, 236, 2.236,00:56:42,0, 0.406, 0.955,0
1, 789, 236, 0.000,00:56:43,0, 0.407, 0.956,0
1, 789, 236, 0.000,00:56:44,0, 0.402, 0.958,0
1, 788, 237, 1.414,00:56:45,0, 0.403, 0.955,0
1, 788, 236, 1.000,00:56:46,0, 0.404, 0.961,0
1, 789, 235, 1.414,00:56:47,0, 0.407, 0.956,0
-1, 789, 234, 1.000,00:56:48,0, 0.409, 0.938,0
-1, 789, 234, 0.000,00:56:49,1, 0.407, 0.938,0
1, 789, 234, 0.000,00:56:50,0, 0.401, 0.947,0
1, 787, 234, 2.000,00:56:51,0, 0.404, 0.950,0
1, 786, 236, 2.236,00:56:52,0, 0.406, 0.954,0
1, 789, 237, 3.162,00:56:53,0, 0.403, 0.953,0
1, 788, 238, 1.414,00:56:54,0, 0.404, 0.951,0
1, 788, 237, 1.000,00:56:55,0, 0.397, 0.950,0
1, 792, 237, 4.000,00:56:56,0, 0.402, 0.951,0
1, 794, 235, 2.828,00:56:57,0, 0.406, 0.955,0
1, 793, 233, 2.236,00:56:58,0, 0.396, 0.953,0
1, 791, 234, 2.236,00:56:59,0, 0.396, 0.954,0
1, 791, 234, 0.000,00:57:00,0, 0.392, 0.954,0
1, 792, 234, 1.000,00:57:01,0, 0.390, 0.954,0
1, 793, 234, 1.000,00:57:02,0, 0.394, 0.955,0
1, 793, 236, 2.000,00:57:03,0, 0.390, 0.948,0
1, 792, 238, 2.236,00:57:04,0, 0.387, 0.952,0
1, 792, 238, 0.000,00:57:05,0, 0.391, 0.957,0
1, 792, 238, 0.000,00:57:06,0, 0.387, 0.960,0
1, 792, 238, 0.000,00:57:06,0, 0.391, 0.956,0
1, 792, 238, 0.000,00:57:07,0, 0.390, 0.953,0
1, 791, 238, 1.000,00:57:08,0, 0.387, 0.950,0
1, 791, 238, 0.000,00:57:09,0, 0.387, 0.953,0
1, 791, 239, 1.000,00:57:10,0, 0.384, 0.950,0
1, 792, 242, 3.162,00:57:11,0, 0.382, 0.956,0
1, 792, 243, 1.000,00:57:12,0, 0.382, 0.955,0
1, 791, 244, 1.414,00:57:13,0, 0.388, 0.955,0
1, 791, 244, 0.000,00:57:14,0, 0.386, 0.956,0
1, 792, 241, 3.162,00:57:15,0, 0.381, 0.956,0
1, 795, 241, 3.000,00:57:16,0, 0.385, 0.951,0
1, 795, 241, 0.000,00:57:17,0, 0.381, 0.948,0
1, 795, 240, 1.000,00:57:18,0, 0.386, 0.955,0
1, 793, 238, 2.828,00:57:19,0, 0.391, 0.958,0
1, 793, 237, 1.000,00:57:20,0, 0.388, 0.958,0
1, 794, 236, 1.414,00:57:21,0, 0.388, 0.957,0
-1, 794, 236, 0.000,00:57:22,0, 0.393, 0.944,0
1, 789, 234, 5.385,00:57:25,0, 0.391, 0.955,0
-1, 786, 234, 3.000,00:57:26,0, 0.394, 0.944,0
1, 786, 234, 0.000,00:57:27,0, 0.390, 0.955,0
1, 789, 235, 3.162,00:57:28,0, 0.392, 0.956,0
1, 792, 236, 3.162,00:57:29,0, 0.390, 0.956,0
1, 791, 238, 2.236,00:57:30,0, 0.388, 0.956,0
1, 788, 237, 3.162,00:57:31,0, 0.392, 0.957,0
1, 786, 237, 2.000,00:57:32,0, 0.388, 0.956,0
1, 786, 237, 0.000,00:57:33,0, 0.391, 0.956,0
1, 786, 236, 1.000,00:57:34,0, 0.389, 0.956,0
1, 786, 234, 2.000,00:57:35,0, 0.394, 0.955,0
1, 785, 233, 1.414,00:57:36,0, 0.386, 0.949,0
-1, 786, 233, 1.000,00:57:36,0, 0.386, 0.938,0
1, 786, 231, 2.000,00:57:37,0, 0.395, 0.954,0
1, 784, 228, 3.606,00:57:38,0, 0.399, 0.953,0
1, 782, 226, 2.828,00:57:39,0, 0.396, 0.953,0
1, 779, 225, 3.162,00:57:40,0, 0.400, 0.951,0
1, 777, 223, 2.828,00:57:41,0, 0.404, 0.953,0
