phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 729, 973,-1.000,01:28:38,0, 0.433, 0.972,0
0, 709, 914,62.298,01:28:39,0, 0.478, 0.971,0
0, 689, 856,61.351,01:28:40,0, 0.379, 0.970,0
0, 676, 825,-1.000,01:28:41,1, 0.314, 0.970,0
0, 686, 815,-1.000,01:28:42,1, 0.300, 0.972,0
0, 697, 803,-1.000,01:28:43,1, 0.325, 0.973,0
0, 707, 791,-1.000,01:28:44,1, 0.327, 0.971,0
0, 717, 779,-1.000,01:28:45,1, 0.282, 0.971,0
0, 728, 776,-1.000,01:28:46,1, 0.300, 0.972,0
0, 738, 765,-1.000,01:28:47,1, 0.333, 0.970,0
0, 750, 754,-1.000,01:28:48,1, 0.371, 0.969,0
0, 761, 742,16.279,01:28:49,1, 0.390, 0.968,0
0, 773, 729,17.692,01:28:50,1, 0.423, 0.969,0
0, 784, 718,15.556,01:28:50,1, 0.425, 0.969,0
0, 795, 706,16.279,01:28:51,1, 0.423, 0.970,0
1, 806, 694,16.279,01:28:52,1, 0.411, 0.977,0
1, 818, 682,16.971,01:28:53,1, 0.396, 0.973,0
1, 829, 669,-1.000,01:28:54,1, 0.349, 0.974,0
1, 838, 664,-1.000,01:28:55,1, 0.391, 0.973,0
1, 850, 651,17.692,01:28:56,1, 0.461, 0.975,0
1, 861, 639,16.279,01:28:57,1, 0.496, 0.975,0
1, 872, 627,16.279,01:28:58,1, 0.455, 0.974,0
1, 882, 614,16.401,01:28:59,1, 0.486, 0.974,0
1, 893, 600,17.804,01:29:00,1, 0.500, 0.975,0
1, 904, 587,17.029,01:29:01,1, 0.477, 0.975,0
1, 914, 575,15.620,01:29:02,1, 0.497, 0.971,0
1, 924, 563,15.620,01:29:03,1, 0.497, 0.974,0
1, 934, 551,15.620,01:29:04,1, 0.467, 0.973,0
1, 944, 539,15.620,01:29:05,1, 0.466, 0.972,0
1, 953, 527,15.000,01:29:06,1, 0.472, 0.971,0
1, 963, 516,14.866,01:29:07,1, 0.474, 0.972,0
1, 973, 504,15.620,01:29:08,1, 0.483, 0.972,0
1, 985, 490,18.439,01:29:09,1, 0.475, 0.975,0
1, 995, 479,14.866,01:29:10,1, 0.425, 0.973,0
1,1004, 467,15.000,01:29:11,1, 0.398, 0.972,0
1,1014, 455,15.620,01:29:12,1, 0.404, 0.971,0
1,1013, 445,10.050,01:29:13,1, 0.393, 0.972,0
1,1022, 434,14.213,01:29:14,1, 0.397, 0.972,0
1,1032, 423,14.866,01:29:15,1, 0.405, 0.973,0
1,1042, 413,14.142,01:29:16,1, 0.420, 0.971,0
1,1052, 403,14.142,01:29:17,1, 0.431, 0.970,0
1,1063, 395,13.601,01:29:18,1, 0.437, 0.969,0
1,1073, 384,14.866,01:29:19,1, 0.445, 0.970,0
1,1083, 372,15.620,01:29:20,1, 0.480, 0.976,0
1,1088, 365, 8.602,01:29:20,1, 0.478, 0.974,0
1,1096, 352,15.264,01:29:21,1, 0.533, 0.974,0
1,1106, 344,12.806,01:29:22,1, 0.562, 0.977,0
1,1115, 332,15.000,01:29:23,1, 0.555, 0.974,0
1,1121, 319,14.318,01:29:24,1, 0.567, 0.980,0
1,1131, 308,14.866,01:29:25,1, 0.593, 0.979,0
1,1141, 296,15.620,01:29:26,1, 0.601, 0.976,0
1,1151, 285,14.866,01:29:27,1, 0.630, 0.977,0
1,1161, 274,14.866,01:29:28,1, 0.629, 0.974,0
1,1172, 263,15.556,01:29:29,1, 0.643, 0.976,0
1,1183, 253,14.866,01:29:30,1, 0.659, 0.977,0
1,1193, 243,14.142,01:29:31,1, 0.676, 0.977,0
1,1202, 231,15.000,01:29:32,1, 0.645, 0.971,0
1,1207, 230, 5.099,01:29:33,0, 0.658, 0.971,0
1,1207, 230, 0.000,01:29:34,0, 0.675, 0.970,0
1,1207, 231, 1.000,01:29:35,0, 0.654, 0.982,0
1,1208, 232, 1.414,01:29:36,0, 0.666, 0.973,0
