phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1011,1016,-1.000,01:11:57,1, 0.516, 0.965,0
0,1018,1031,16.553,01:11:58,1, 0.528, 0.968,0
-1, 489, 649,-1.000,01:11:59,0, 0.205, 0.939,0
0,1035,1061,-1.000,01:12:00,1, 0.538, 0.971,0
0,1044,1073,15.000,01:12:01,1, 0.540, 0.970,0
0,1053,1086,15.811,01:12:02,1, 0.521, 0.972,0
0,1063,1099,16.401,01:12:03,1, 0.540, 0.971,0
0,1073,1112,16.401,01:12:04,1, 0.530, 0.971,0
0,1084,1125,17.029,01:12:05,1, 0.503, 0.968,0
0,1095,1137,16.279,01:12:06,1, 0.554, 0.966,0
0,1107,1150,17.692,01:12:07,1, 0.530, 0.966,0
0,1120,1164,19.105,01:12:08,1, 0.527, 0.965,0
0,1134,1173,16.643,01:12:09,1, 0.522, 0.964,0
0,1148,1183,17.205,01:12:10,1, 0.489, 0.963,0
0,1162,1192,16.643,01:12:11,1, 0.464, 0.964,0
0,1176,1201,16.643,01:12:12,1, 0.482, 0.966,0
0,1190,1209,16.125,01:12:13,1, 0.441, 0.968,0
1,1204,1216,15.652,01:12:14,1, 0.384, 0.972,0
1,1218,1220,-1.000,01:12:15,1, 0.327, 0.969,0
1,1247,1227,-1.000,01:12:16,1, 0.487, 0.972,0
1,1264,1230,17.263,01:12:17,1, 0.469, 0.971,0
1,1279,1233,15.297,01:12:18,1, 0.442, 0.971,0
1,1289,1232,10.050,01:12:19,1, 0.429, 0.970,0
1,1303,1235,14.318,01:12:20,1, 0.444, 0.970,0
1,1318,1240,15.811,01:12:21,1, 0.468, 0.969,0
1,1332,1245,14.866,01:12:22,1, 0.452, 0.970,0
1,1346,1250,14.866,01:12:23,1, 0.435, 0.969,0
1,1360,1253,14.318,01:12:24,1, 0.374, 0.969,0
1,1374,1257,-1.000,01:12:25,1, 0.306, 0.970,0
1,1394,1260,-1.000,01:12:26,0, 0.462, 0.967,0
1,1410,1263,16.279,01:12:27,0, 0.465, 0.965,0
1,1425,1266,15.297,01:12:28,0, 0.458, 0.962,0
1,1441,1269,16.279,01:12:29,0, 0.469, 0.960,0
1,1456,1272,15.297,01:12:30,0, 0.459, 0.961,0
1,1472,1275,16.279,01:12:31,0, 0.426, 0.959,0
1,1486,1278,14.318,01:12:32,0, 0.383, 0.960,0
1,1500,1282,-1.000,01:12:33,0, 0.342, 0.973,0
1,1517,1288,-1.000,01:12:34,0, 0.386, 0.975,0
1,1531,1293,14.866,01:12:35,0, 0.394, 0.982,0
1,1539,1298, 9.434,01:12:36,0, 0.354, 0.980,0
1,1547,1301, 8.544,01:12:37,0, 0.354, 0.976,0
1,1563,1302,16.031,01:12:38,0, 0.400, 0.977,0
1,1578,1306,15.524,01:12:39,0, 0.427, 0.979,0
1,1592,1309,14.318,01:12:40,0, 0.450, 0.979,0
1,1606,1311,14.142,01:12:41,1, 0.477, 0.977,0
1,1620,1314,14.318,01:12:42,1, 0.449, 0.974,0
1,1634,1311,14.318,01:12:43,1, 0.382, 0.973,0
1,1648,1307,-1.000,01:12:44,1, 0.309, 0.976,0
1,1663,1296,-1.000,01:12:45,0, 0.514, 0.975,0
1,1665,1281,15.133,01:12:46,1, 0.500, 0.978,0
1,1675,1279,10.198,01:12:47,1, 0.531, 0.975,0
1,1681,1285, 8.485,01:12:48,1, 0.539, 0.975,0
1,1683,1282, 3.606,01:12:49,0, 0.542, 0.976,0
1,1683,1285, 3.000,01:12:50,0, 0.563, 0.972,0
1,1683,1284, 1.000,01:12:51,0, 0.542, 0.973,0
1,1682,1284, 1.000,01:12:52,0, 0.540, 0.962,0
1,1683,1283, 1.414,01:12:53,0, 0.563, 0.968,0
1,1682,1283, 1.000,01:12:54,0, 0.548, 0.966,0
1,1682,1283, 0.000,01:12:55,0, 0.547, 0.970,0
1,1683,1283, 1.000,01:12:56,0, 0.540, 0.975,0
1,1683,1284, 1.000,01:12:57,0, 0.546, 0.958,0
1,1683,1285, 1.000,01:12:58,0, 0.545, 0.975,0
1,1685,1283, 2.828,01:12:59,0, 0.545, 0.973,0
1,1686,1285, 2.236,01:13:00,0, 0.542, 0.977,0
1,1686,1284, 1.000,01:13:01,0, 0.535, 0.978,0
1,1685,1284, 1.000,01:13:02,0, 0.537, 0.977,0
1,1685,1284, 0.000,01:13:03,0, 0.538, 0.981,0
1,1685,1283, 1.000,01:13:04,0, 0.530, 0.977,0
1,1686,1284, 1.414,01:13:05,0, 0.540, 0.977,0
1,1687,1284, 1.000,01:13:06,0, 0.540, 0.973,0
1,1687,1281, 3.000,01:13:07,0, 0.534, 0.979,0
1,1686,1279, 2.236,01:13:08,0, 0.522, 0.976,0
1,1687,1281, 2.236,01:13:09,0, 0.534, 0.976,0
1,1687,1285, 4.000,01:13:10,0, 0.545, 0.969,0
1,1683,1285, 4.000,01:13:11,0, 0.536, 0.973,0
1,1682,1281, 4.123,01:13:12,0, 0.542, 0.974,0
1,1682,1279, 2.000,01:13:13,0, 0.553, 0.972,0
1,1682,1279, 0.000,01:13:14,0, 0.542, 0.976,0
1,1683,1280, 1.414,01:13:15,0, 0.546, 0.973,0
1,1682,1280, 1.000,01:13:16,0, 0.532, 0.976,0
1,1682,1282, 2.000,01:13:17,0, 0.540, 0.974,0
1,1682,1284, 2.000,01:13:18,0, 0.554, 0.972,0
1,1682,1284, 0.000,01:13:19,0, 0.542, 0.971,0
1,1683,1281, 3.162,01:13:20,0, 0.538, 0.972,0
1,1683,1279, 2.000,01:13:21,0, 0.529, 0.972,0
1,1683,1280, 1.000,01:13:22,0, 0.550, 0.972,0
1,1683,1280, 0.000,01:13:23,0, 0.550, 0.974,0
1,1683,1279, 1.000,01:13:24,0, 0.544, 0.973,0
1,1684,1280, 1.414,01:13:25,0, 0.547, 0.966,0
1,1684,1280, 0.000,01:13:26,0, 0.539, 0.976,0
1,1684,1280, 0.000,01:13:27,0, 0.538, 0.971,0
1,1683,1281, 1.414,01:13:28,0, 0.548, 0.966,0
1,1683,1281, 0.000,01:13:29,0, 0.550, 0.967,0
1,1681,1277, 4.472,01:13:30,0, 0.547, 0.972,0
1,1679,1273, 4.472,01:13:31,0, 0.534, 0.972,0
1,1678,1269, 4.123,01:13:32,0, 0.527, 0.969,0
1,1675,1266, 4.243,01:13:33,0, 0.522, 0.969,0
1,1674,1262, 4.123,01:13:34,0, 0.543, 0.968,0
1,1676,1258, 4.472,01:13:35,0, 0.538, 0.970,0
1,1674,1254, 4.472,01:13:36,0, 0.539, 0.967,0
1,1672,1252, 2.828,01:13:37,0, 0.522, 0.967,0
1,1670,1252, 2.000,01:13:38,0, 0.546, 0.970,0
1,1668,1253, 2.236,01:13:39,0, 0.532, 0.966,0
1,1671,1252, 3.162,01:13:40,0, 0.536, 0.965,0
1,1671,1253, 1.000,01:13:41,0, 0.548, 0.972,0
1,1666,1253, 5.000,01:13:42,0, 0.533, 0.972,0
1,1663,1254, 3.162,01:13:43,0, 0.540, 0.973,0
1,1663,1255, 1.000,01:13:46,0, 0.517, 0.980,0
1,1663,1255, 0.000,01:13:47,0, 0.518, 0.980,0
1,1663,1255, 0.000,01:13:48,0, 0.512, 0.978,0
1,1661,1254, 2.236,01:13:49,0, 0.513, 0.972,0
1,1662,1252, 2.236,01:13:50,0, 0.539, 0.971,0
1,1667,1251, 5.099,01:13:51,0, 0.536, 0.963,0
1,1668,1251, 1.000,01:13:52,0, 0.537, 0.966,0
1,1668,1251, 0.000,01:13:53,0, 0.529, 0.964,0
1,1671,1250, 3.162,01:13:54,0, 0.540, 0.965,0
1,1674,1253, 4.243,01:13:55,0, 0.566, 0.972,0
1,1673,1257, 4.123,01:13:56,0, 0.549, 0.976,0
1,1673,1259, 2.000,01:13:57,0, 0.556, 0.969,0
1,1671,1263, 4.472,01:13:58,0, 0.549, 0.963,0
1,1670,1265, 2.236,01:13:59,0, 0.559, 0.966,0
1,1671,1266, 1.414,01:14:00,0, 0.562, 0.970,0
1,1670,1265, 1.414,01:14:01,0, 0.557, 0.971,0
1,1670,1266, 1.000,01:14:02,0, 0.555, 0.966,0
1,1670,1265, 1.000,01:14:03,0, 0.542, 0.968,0
1,1670,1265, 0.000,01:14:04,0, 0.548, 0.969,0
1,1670,1265, 0.000,01:14:05,0, 0.530, 0.978,0
1,1671,1264, 1.414,01:14:06,0, 0.541, 0.973,0
1,1671,1263, 1.000,01:14:07,0, 0.534, 0.967,0
1,1671,1262, 1.000,01:14:08,0, 0.539, 0.973,0
1,1668,1263, 3.162,01:14:09,0, 0.539, 0.973,0
1,1666,1263, 2.000,01:14:10,0, 0.554, 0.972,0
1,1666,1262, 1.000,01:14:11,0, 0.537, 0.973,0
1,1668,1261, 2.236,01:14:12,0, 0.544, 0.973,0
1,1668,1261, 0.000,01:14:13,0, 0.538, 0.977,0
1,1668,1261, 0.000,01:14:14,0, 0.527, 0.974,0
1,1668,1261, 0.000,01:14:15,0, 0.527, 0.973,0
1,1668,1261, 0.000,01:14:16,0, 0.533, 0.977,0
1,1667,1261, 1.000,01:14:17,0, 0.535, 0.964,0
1,1667,1261, 0.000,01:14:18,0, 0.538, 0.972,0
1,1667,1261, 0.000,01:14:19,0, 0.544, 0.974,0
1,1667,1262, 1.000,01:14:20,0, 0.534, 0.973,0
1,1667,1262, 0.000,01:14:21,0, 0.545, 0.968,0
