phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0, 143,1784,-1.000,04:38:42,0, 0.479, 0.962,1
0, 143,1294,-1.000,04:38:43,0, 0.324, 0.958,0
0, 144, 899,-1.000,04:38:44,0, 0.597, 0.959,0
-1,1652, 228,-1.000,04:38:45,0, 0.227, 0.938,0
-1,1177, 161,-1.000,04:38:46,0, 0.230, 0.937,0
0, 310, 851,-1.000,04:38:47,0, 0.326, 0.960,0
0, 368, 835,-1.000,04:38:48,0, 0.427, 0.960,0
0, 428, 818,62.362,04:38:49,0, 0.513, 0.957,0
0, 486, 801,60.440,04:38:50,0, 0.586, 0.962,0
0, 544, 784,60.440,04:38:51,0, 0.553, 0.962,0
0, 603, 766,61.685,04:38:52,0, 0.489, 0.961,0
-1,1665, 230,-1.000,04:38:53,0, 0.261, 0.938,0
-1,1173, 177,-1.000,04:38:54,0, 0.249, 0.939,0
1,1177, 161,-1.000,04:38:54,0, 0.252, 0.956,0
0, 824, 697,-1.000,04:38:55,0, 0.386, 0.963,0
0, 882, 681,60.166,04:38:56,0, 0.351, 0.964,0
0, 935, 663,-1.000,04:38:57,0, 0.298, 0.960,0
0, 991, 647,-1.000,04:38:58,0, 0.305, 0.960,0
0,1048, 630,-1.000,04:38:59,0, 0.343, 0.958,0
0,1105, 614,-1.000,04:39:00,0, 0.369, 0.959,0
0,1163, 598,60.166,04:39:01,0, 0.403, 0.961,0
0,1222, 586,60.208,04:39:02,0, 0.396, 0.964,0
0,1280, 565,61.685,04:39:03,0, 0.350, 0.966,0
0,1336, 549,-1.000,04:39:04,0, 0.343, 0.964,0
0,1393, 532,-1.000,04:39:05,0, 0.341, 0.952,0
0,1445, 515,-1.000,04:39:06,0, 0.317, 0.968,0
0,1501, 498,-1.000,04:39:07,0, 0.381, 0.966,0
0,1555, 481,56.613,04:39:08,0, 0.408, 0.959,0
0,1577, 479,22.091,04:39:09,1, 0.412, 0.966,0
0,1582, 490,12.083,04:39:10,1, 0.420, 0.965,0
0,1588, 501,12.530,04:39:11,1, 0.431, 0.968,0
0,1594, 511,11.662,04:39:12,1, 0.429, 0.969,0
0,1599, 521,11.180,04:39:13,1, 0.420, 0.965,0
1,1604, 531,11.180,04:39:14,1, 0.435, 0.955,0
-1,1609, 540,10.296,04:39:15,1, 0.451, 0.938,0
-1,1613, 549, 9.849,04:39:16,1, 0.453, 0.936,0
1,1619, 559,11.662,04:39:17,1, 0.465, 0.954,0
1,1623, 568, 9.849,04:39:18,1, 0.471, 0.952,0
1,1627, 571, 5.000,04:39:19,1, 0.465, 0.954,0
1,1634, 573, 7.280,04:39:20,1, 0.471, 0.954,0
1,1639, 574, 5.099,04:39:21,1, 0.475, 0.954,0
1,1643, 572, 4.472,04:39:22,1, 0.478, 0.955,0
-1,1649, 571, 6.083,04:39:23,1, 0.471, 0.943,0
-1,1654, 571, 5.000,04:39:23,1, 0.473, 0.944,0
1,1661, 562,11.402,04:39:24,1, 0.468, 0.953,0
1,1669, 550,14.422,04:39:25,1, 0.482, 0.951,0
1,1677, 538,14.422,04:39:26,1, 0.488, 0.952,0
1,1683, 524,15.232,04:39:27,1, 0.442, 0.952,0
1,1688, 515,10.296,04:39:28,1, 0.468, 0.952,0
1,1694, 502,14.318,04:39:29,1, 0.496, 0.952,0
1,1701, 489,14.765,04:39:30,1, 0.516, 0.951,0
1,1709, 476,15.264,04:39:31,1, 0.523, 0.949,0
1,1715, 468,10.000,04:39:32,1, 0.517, 0.952,0
1,1718, 457,11.402,04:39:33,1, 0.520, 0.952,0
1,1725, 447,12.207,04:39:34,1, 0.526, 0.952,0
1,1733, 436,13.601,04:39:35,1, 0.529, 0.953,0
1,1741, 424,14.422,04:39:36,1, 0.560, 0.948,0
1,1748, 411,14.765,04:39:37,1, 0.580, 0.948,0
1,1750, 397,14.142,04:39:38,1, 0.585, 0.947,0
1,1759, 386,14.213,04:39:39,1, 0.617, 0.953,0
1,1764, 376,11.180,04:39:40,1, 0.637, 0.953,0
-1,1771, 370, 9.220,04:39:41,1, 0.641, 0.945,0
1,1769, 360,10.198,04:39:42,1, 0.648, 0.953,0
1,1755, 359,14.036,04:39:43,1, 0.638, 0.954,0
1,1747, 363, 8.944,04:39:44,1, 0.613, 0.948,0
1,1745, 366, 3.606,04:39:45,0, 0.616, 0.946,0
1,1745, 367, 1.000,04:39:46,0, 0.606, 0.949,0
1,1745, 369, 2.000,04:39:47,0, 0.611, 0.949,0
-1,1742, 367, 3.606,04:39:48,0, 0.613, 0.943,0
1,1738, 365, 4.472,04:39:49,0, 0.609, 0.949,0
1,1736, 366, 2.236,04:39:51,0, 0.594, 0.955,0
-1,1735, 364, 2.236,04:39:52,0, 0.600, 0.934,0
1,1733, 364, 2.000,04:39:52,0, 0.591, 0.958,0
1,1731, 366, 2.828,04:39:53,0, 0.580, 0.948,0
1,1729, 368, 2.828,04:39:54,0, 0.581, 0.949,0
1,1730, 368, 1.000,04:39:55,0, 0.573, 0.946,0
1,1730, 368, 0.000,04:39:56,0, 0.585, 0.952,0
1,1726, 369, 4.123,04:39:57,0, 0.581, 0.951,0
1,1724, 369, 2.000,04:39:58,0, 0.572, 0.952,0
1,1722, 370, 2.236,04:39:59,0, 0.578, 0.948,0
1,1719, 373, 4.243,04:40:00,0, 0.573, 0.955,0
1,1716, 373, 3.000,04:40:01,0, 0.559, 0.954,0
1,1716, 374, 1.000,04:40:02,0, 0.563, 0.957,0
-1,1716, 375, 1.000,04:40:03,0, 0.564, 0.944,0
1,1716, 376, 1.000,04:40:04,1, 0.571, 0.949,0
1,1715, 375, 1.414,04:40:05,0, 0.576, 0.953,0
1,1714, 373, 2.236,04:40:06,0, 0.565, 0.952,0
-1,1713, 374, 1.414,04:40:07,0, 0.552, 0.932,0
1,1715, 373, 2.236,04:40:08,0, 0.560, 0.955,0
1,1716, 373, 1.000,04:40:09,0, 0.561, 0.950,0
1,1714, 373, 2.000,04:40:10,0, 0.562, 0.954,0
1,1711, 375, 3.606,04:40:11,0, 0.566, 0.946,0
1,1711, 378, 3.000,04:40:12,0, 0.574, 0.947,0
1,1711, 378, 0.000,04:40:13,0, 0.567, 0.950,0
1,1711, 378, 0.000,04:40:14,0, 0.565, 0.954,0
1,1711, 380, 2.000,04:40:15,0, 0.561, 0.947,0
1,1712, 381, 1.414,04:40:16,0, 0.557, 0.953,0
1,1712, 382, 1.000,04:40:17,0, 0.555, 0.951,0
1,1712, 383, 1.000,04:40:18,0, 0.564, 0.953,0
-1,1712, 384, 1.000,04:40:19,0, 0.550, 0.945,0
1,1712, 385, 1.000,04:40:20,0, 0.550, 0.948,0
1,1712, 385, 0.000,04:40:21,0, 0.547, 0.951,0
1,1713, 385, 1.000,04:40:21,0, 0.547, 0.956,0
1,1714, 384, 1.414,04:40:22,0, 0.546, 0.957,0
1,1714, 383, 1.000,04:40:23,0, 0.544, 0.958,0
1,1715, 384, 1.414,04:40:24,0, 0.544, 0.955,0
1,1715, 383, 1.000,04:40:25,0, 0.541, 0.952,0
1,1715, 384, 1.000,04:40:26,0, 0.544, 0.955,0
1,1714, 384, 1.000,04:40:27,0, 0.546, 0.954,0
1,1714, 383, 1.000,04:40:28,0, 0.557, 0.955,0
