phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1627,1114,-1.000,02:17:40,0, 0.484, 0.962,0
0,1572,1091,59.615,02:17:41,0, 0.458, 0.973,0
0,1575,1087, 5.000,02:17:42,1, 0.460, 0.974,0
0,1569,1076,12.530,02:17:43,1, 0.438, 0.975,0
0,1564,1064,13.000,02:17:44,1, 0.425, 0.976,0
0,1558,1053,12.530,02:17:45,1, 0.401, 0.974,0
0,1551,1042,13.038,02:17:46,1, 0.397, 0.974,0
0,1549,1037, 5.385,02:17:47,1, 0.402, 0.974,0
0,1543,1026,12.530,02:17:48,1, 0.444, 0.974,0
0,1538,1016,11.180,02:17:49,1, 0.451, 0.971,0
0,1532,1005,12.530,02:17:50,1, 0.433, 0.970,0
0,1526, 994,12.530,02:17:51,1, 0.468, 0.974,0
0,1520, 980,15.232,02:17:52,1, 0.498, 0.970,0
0,1515, 963,17.720,02:17:53,1, 0.499, 0.971,0
0,1501, 950,19.105,02:17:54,1, 0.461, 0.971,0
0,1496, 935,15.811,02:17:55,0, 0.450, 0.971,0
0,1490, 918,18.028,02:17:56,1, 0.441, 0.973,0
0,1492, 899,19.105,02:17:57,1, 0.479, 0.971,0
0,1478, 886,19.105,02:17:58,1, 0.449, 0.968,0
0,1475, 871,15.297,02:17:59,1, 0.458, 0.972,0
0,1471, 855,16.492,02:18:00,1, 0.457, 0.971,0
0,1475, 837,18.439,02:18:01,1, 0.486, 0.971,0
0,1471, 822,15.524,02:18:02,1, 0.457, 0.970,0
0,1467, 807,15.524,02:18:03,1, 0.450, 0.968,0
0,1463, 792,15.524,02:18:04,1, 0.451, 0.969,0
0,1460, 777,15.297,02:18:05,1, 0.440, 0.969,0
0,1456, 762,15.524,02:18:06,1, 0.418, 0.969,0
1,1460, 747,15.524,02:18:07,1, 0.380, 0.973,0
1,1456, 732,15.524,02:18:08,1, 0.352, 0.973,0
1,1453, 717,-1.000,02:18:09,1, 0.345, 0.974,0
1,1449, 702,-1.000,02:18:10,1, 0.336, 0.975,0
1,1440, 692,-1.000,02:18:11,1, 0.341, 0.974,0
1,1437, 677,-1.000,02:18:12,1, 0.333, 0.978,0
1,1439, 656,-1.000,02:18:13,1, 0.333, 0.977,0
1,1431, 647,-1.000,02:18:14,1, 0.334, 0.978,0
1,1430, 631,-1.000,02:18:15,1, 0.372, 0.978,0
1,1431, 617,14.036,02:18:16,1, 0.394, 0.971,0
1,1428, 606,11.402,02:18:17,1, 0.386, 0.972,0
1,1419, 599,11.402,02:18:18,0, 0.371, 0.970,0
1,1418, 592, 7.071,02:18:19,1, 0.401, 0.975,0
1,1418, 590, 2.000,02:18:20,0, 0.411, 0.976,0
1,1418, 588, 2.000,02:18:21,0, 0.410, 0.972,0
1,1419, 586, 2.236,02:18:22,0, 0.401, 0.972,0
1,1422, 585, 3.162,02:18:23,0, 0.382, 0.976,0
1,1421, 583, 2.236,02:18:24,0, 0.372, 0.978,0
1,1419, 579, 4.472,02:18:25,0, 0.367, 0.975,0
1,1420, 578, 1.414,02:18:26,0, 0.379, 0.969,0
1,1422, 580, 2.828,02:18:27,0, 0.388, 0.968,0
1,1426, 580, 4.000,02:18:28,0, 0.383, 0.969,0
1,1429, 577, 4.243,02:18:29,0, 0.381, 0.966,0
1,1430, 576, 1.414,02:18:30,0, 0.376, 0.965,0
1,1432, 576, 2.000,02:18:31,1, 0.383, 0.975,0
1,1431, 575, 1.414,02:18:32,0, 0.383, 0.979,0
1,1431, 575, 0.000,02:18:33,0, 0.368, 0.977,0
1,1431, 576, 1.000,02:18:34,0, 0.375, 0.977,0
1,1432, 576, 1.000,02:18:35,0, 0.370, 0.964,0
1,1431, 573, 3.162,02:18:36,0, 0.372, 0.979,0
1,1430, 572, 1.414,02:18:37,0, 0.386, 0.979,0
1,1430, 572, 0.000,02:18:38,0, 0.385, 0.981,0
1,1430, 572, 0.000,02:18:39,0, 0.376, 0.967,0
1,1430, 572, 0.000,02:18:40,0, 0.377, 0.969,0
1,1430, 572, 0.000,02:18:41,0, 0.382, 0.975,0
1,1433, 574, 3.606,02:18:42,0, 0.376, 0.974,0
1,1436, 577, 4.243,02:18:43,0, 0.389, 0.973,0
1,1436, 577, 0.000,02:18:44,0, 0.388, 0.972,0
1,1437, 577, 1.000,02:18:45,0, 0.383, 0.977,0
1,1436, 579, 2.236,02:18:46,0, 0.380, 0.977,0
1,1436, 580, 1.000,02:18:47,0, 0.398, 0.979,0
1,1437, 581, 1.414,02:18:48,0, 0.393, 0.979,0
1,1437, 582, 1.000,02:18:49,0, 0.383, 0.958,0
1,1435, 581, 2.236,02:18:50,0, 0.382, 0.981,0
1,1437, 581, 2.000,02:18:51,0, 0.385, 0.958,0
1,1436, 581, 1.000,02:18:52,0, 0.390, 0.979,0
1,1435, 577, 4.123,02:18:53,0, 0.381, 0.980,0
1,1435, 577, 0.000,02:18:54,0, 0.374, 0.975,0
1,1433, 580, 3.606,02:18:55,0, 0.379, 0.976,0
1,1429, 580, 4.000,02:18:56,0, 0.367, 0.979,0
1,1425, 580, 4.000,02:18:57,0, 0.364, 0.980,0
1,1420, 580, 5.000,02:18:58,0, 0.356, 0.976,0
1,1419, 580, 1.000,02:18:59,0, 0.373, 0.975,0
1,1419, 580, 0.000,02:19:00,0, 0.364, 0.973,0
1,1417, 580, 2.000,02:19:01,0, 0.388, 0.979,0
1,1417, 580, 0.000,02:19:02,0, 0.385, 0.964,0
1,1417, 580, 0.000,02:19:03,0, 0.385, 0.976,0
1,1417, 576, 4.000,02:19:04,0, 0.381, 0.978,0
1,1417, 576, 0.000,02:19:05,0, 0.374, 0.980,0
1,1417, 576, 0.000,02:19:06,0, 0.372, 0.981,0
1,1417, 573, 3.000,02:19:07,0, 0.362, 0.968,0
1,1421, 573, 4.000,02:19:08,0, 0.354, 0.969,0
1,1425, 573, 4.000,02:19:09,0, 0.353, 0.979,0
1,1428, 572, 3.162,02:19:10,0, 0.373, 0.980,0
1,1427, 572, 1.000,02:19:11,0, 0.361, 0.981,0
1,1426, 573,-1.000,02:19:12,0, 0.350, 0.969,0
1,1426, 572,-1.000,02:19:13,0, 0.357, 0.976,0
1,1426, 572, 0.000,02:19:14,0, 0.359, 0.969,0
1,1429, 572, 3.000,02:19:15,0, 0.364, 0.976,0
1,1432, 572, 3.000,02:19:16,0, 0.373, 0.978,0
1,1432, 574, 2.000,02:19:17,0, 0.379, 0.969,0
1,1435, 576, 3.606,02:19:18,0, 0.372, 0.966,0
1,1436, 581, 5.099,02:19:19,0, 0.378, 0.982,0
1,1434, 581, 2.000,02:19:20,0, 0.369, 0.983,0
1,1435, 579, 2.236,02:19:21,0, 0.374, 0.965,0
1,1433, 575, 4.472,02:19:22,0, 0.366, 0.979,0
1,1435, 572, 3.606,02:19:23,0, 0.376, 0.970,0
1,1433, 573, 2.236,02:19:24,0, 0.369, 0.972,0
1,1430, 576, 4.243,02:19:25,0, 0.379, 0.979,0
1,1427, 578, 3.606,02:19:26,0, 0.358, 0.979,0
1,1424, 581, 4.243,02:19:27,0, 0.366, 0.980,0
1,1420, 583, 4.472,02:19:28,0, 0.380, 0.979,0
1,1417, 584, 3.162,02:19:29,0, 0.390, 0.981,0
1,1414, 583, 3.162,02:19:30,0, 0.386, 0.980,0
1,1411, 579, 5.000,02:19:31,0, 0.382, 0.981,0
1,1409, 578, 2.236,02:19:32,0, 0.387, 0.979,0
1,1407, 576, 2.828,02:19:33,0, 0.390, 0.982,0
1,1404, 573, 4.243,02:19:34,0, 0.387, 0.980,0
1,1403, 573, 1.000,02:19:35,0, 0.394, 0.981,0
1,1404, 573, 1.000,02:19:36,0, 0.393, 0.982,0
1,1404, 573, 0.000,02:19:37,0, 0.390, 0.981,0
1,1405, 574, 1.414,02:19:38,0, 0.386, 0.982,0
1,1405, 574, 0.000,02:19:39,0, 0.390, 0.982,0
1,1403, 573, 2.236,02:19:40,0, 0.391, 0.981,0
1,1402, 573, 1.000,02:19:41,0, 0.393, 0.980,0
1,1403, 571, 2.236,02:19:42,0, 0.386, 0.980,0
1,1403, 566, 5.000,02:19:43,0, 0.388, 0.980,0
1,1405, 563, 3.606,02:19:44,0, 0.387, 0.980,0
1,1405, 559, 4.000,02:19:45,0, 0.402, 0.975,0
1,1406, 561, 2.236,02:19:46,0, 0.409, 0.979,0
1,1407, 561, 1.000,02:19:47,0, 0.394, 0.976,0
1,1409, 562, 2.236,02:19:48,0, 0.382, 0.980,0
1,1411, 564, 2.828,02:19:49,0, 0.374, 0.979,0
1,1413, 566, 2.828,02:19:50,0, 0.368, 0.979,0
1,1415, 566, 2.000,02:19:51,0, 0.379, 0.981,0
1,1418, 565, 3.162,02:19:52,0, 0.378, 0.978,0
1,1419, 565, 1.000,02:19:53,0, 0.404, 0.976,0
1,1425, 566, 6.083,02:19:54,0, 0.397, 0.972,0
1,1426, 565, 1.414,02:19:55,0, 0.395, 0.952,0
1,1425, 567, 2.236,02:19:56,0, 0.390, 0.978,0
1,1428, 570, 4.243,02:19:57,0, 0.376, 0.957,0
1,1429, 568, 2.236,02:19:58,0, 0.397, 0.979,0
1,1430, 565, 3.162,02:19:59,0, 0.408, 0.976,0
1,1430, 565, 0.000,02:20:00,0, 0.402, 0.961,0
1,1429, 565, 1.000,02:20:01,0, 0.383, 0.955,0
1,1426, 565, 3.000,02:20:02,0, 0.376, 0.974,0
1,1425, 566, 1.414,02:20:03,0, 0.374, 0.978,0
1,1429, 566, 4.000,02:20:04,0, 0.383, 0.975,0
1,1431, 566, 2.000,02:20:05,0, 0.403, 0.979,0
