phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1140, 168,-1.000,00:46:38,0, 0.382, 0.968,0
0,1478, 143,338.923,00:46:39,1, 0.417, 0.968,0
0,1475, 143, 3.000,00:46:40,1, 0.505, 0.965,0
0,1470, 143, 5.000,00:46:41,1, 0.668, 0.972,0
0,1466, 149, 7.211,00:46:42,1, 0.725, 0.971,0
0,1461, 158,10.296,00:46:43,1, 0.699, 0.957,0
0,1458, 165, 7.616,00:46:44,1, 0.702, 0.969,0
0,1454, 173, 8.944,00:46:45,1, 0.709, 0.966,0
0,1451, 179, 6.708,00:46:46,1, 0.688, 0.966,0
0,1448, 185, 6.708,00:46:46,1, 0.682, 0.962,0
0,1449, 183, 2.236,00:46:47,1, 0.690, 0.968,0
0,1453, 179, 5.657,00:46:48,1, 0.695, 0.967,0
0,1462, 176, 9.487,00:46:49,1, 0.681, 0.971,0
0,1471, 174, 9.220,00:46:50,1, 0.677, 0.969,0
0,1482, 176,11.180,00:46:51,1, 0.685, 0.971,0
0,1494, 184,14.422,00:46:52,1, 0.664, 0.975,0
0,1506, 193,15.000,00:46:53,1, 0.637, 0.972,0
0,1517, 202,14.213,00:46:54,1, 0.629, 0.972,0
0,1527, 212,14.142,00:46:55,1, 0.647, 0.970,0
0,1537, 223,14.866,00:46:56,1, 0.647, 0.972,0
0,1548, 233,14.866,00:46:57,1, 0.635, 0.971,0
0,1559, 243,14.866,00:46:58,1, 0.649, 0.970,0
0,1570, 252,14.213,00:46:59,1, 0.643, 0.969,0
0,1581, 262,14.866,00:47:00,1, 0.671, 0.971,0
0,1591, 273,14.866,00:47:01,1, 0.688, 0.972,0
0,1601, 284,14.866,00:47:02,1, 0.714, 0.963,0
0,1611, 294,14.142,00:47:03,1, 0.720, 0.957,0
0,1621, 305,14.866,00:47:04,1, 0.697, 0.967,0
0,1632, 316,15.556,00:47:05,1, 0.685, 0.968,0
0,1642, 326,14.142,00:47:06,1, 0.698, 0.971,0
0,1653, 336,14.866,00:47:07,1, 0.693, 0.956,0
0,1663, 346,14.142,00:47:08,1, 0.661, 0.974,0
0,1672, 358,15.000,00:47:09,1, 0.649, 0.972,0
0,1681, 370,15.000,00:47:10,1, 0.637, 0.972,0
1,1692, 379,14.213,00:47:11,1, 0.625, 0.961,0
1,1692, 379, 0.000,00:47:12,0, 0.643, 0.958,0
1,1692, 379, 0.000,00:47:13,0, 0.620, 0.967,0
1,1692, 379, 0.000,00:47:14,0, 0.664, 0.967,0
1,1692, 378, 1.000,00:47:15,0, 0.569, 0.967,0
1,1692, 379, 1.000,00:47:16,0, 0.655, 0.961,0
1,1691, 381, 2.236,00:47:16,0, 0.633, 0.951,0
1,1691, 382, 1.000,00:47:17,0, 0.627, 0.961,0
1,1691, 382, 0.000,00:47:18,0, 0.655, 0.948,0
1,1691, 381, 1.000,00:47:19,0, 0.636, 0.959,0
1,1691, 381, 0.000,00:47:20,0, 0.674, 0.965,0
1,1690, 384, 3.162,00:47:21,0, 0.645, 0.968,0
1,1689, 387, 3.162,00:47:22,0, 0.649, 0.965,0
1,1686, 392, 5.831,00:47:23,0, 0.672, 0.967,0
1,1688, 395, 3.606,00:47:24,0, 0.701, 0.965,0
1,1688, 398, 3.000,00:47:25,0, 0.635, 0.969,0
1,1686, 399, 2.236,00:47:26,0, 0.676, 0.956,0
1,1682, 398, 4.123,00:47:27,0, 0.690, 0.965,0
1,1682, 400, 2.000,00:47:28,0, 0.630, 0.958,0
1,1685, 399, 3.162,00:47:29,0, 0.625, 0.970,0
1,1684, 396, 3.162,00:47:30,0, 0.651, 0.956,0
1,1683, 396, 1.000,00:47:31,0, 0.674, 0.971,0
1,1682, 395, 1.414,00:47:32,0, 0.666, 0.960,0
1,1683, 395, 1.000,00:47:33,0, 0.674, 0.964,0
1,1681, 396, 2.236,00:47:34,0, 0.714, 0.966,0
1,1681, 396, 0.000,00:47:35,0, 0.683, 0.972,0
1,1681, 396, 0.000,00:47:36,0, 0.641, 0.963,0
1,1681, 396, 0.000,00:47:37,0, 0.646, 0.963,0
1,1681, 396, 0.000,00:47:38,0, 0.672, 0.964,0
1,1681, 395, 1.000,00:47:39,0, 0.705, 0.963,0
1,1681, 395, 0.000,00:47:40,0, 0.697, 0.966,0
1,1684, 394, 3.162,00:47:41,0, 0.688, 0.972,0
1,1686, 391, 3.606,00:47:42,0, 0.664, 0.966,0
1,1686, 391, 0.000,00:47:43,0, 0.653, 0.970,0
1,1686, 392, 1.000,00:47:44,0, 0.646, 0.971,0
1,1686, 394, 2.000,00:47:45,0, 0.684, 0.967,0
1,1686, 398, 4.000,00:47:46,0, 0.666, 0.963,0
1,1689, 399, 3.162,00:47:47,0, 0.641, 0.965,0
1,1693, 400, 4.123,00:47:47,0, 0.670, 0.963,0
1,1695, 403, 3.606,00:47:48,0, 0.661, 0.964,0
1,1698, 404, 3.162,00:47:49,0, 0.633, 0.964,0
1,1701, 402, 3.606,00:47:50,0, 0.653, 0.963,0
1,1703, 399, 3.606,00:47:51,0, 0.710, 0.958,0
1,1705, 396, 3.606,00:47:52,0, 0.659, 0.965,0
1,1705, 393, 3.000,00:47:53,0, 0.689, 0.971,0
1,1705, 392, 1.000,00:47:54,1, 0.662, 0.969,0
1,1703, 395, 3.606,00:47:55,0, 0.689, 0.969,0
1,1701, 398, 3.606,00:47:56,0, 0.652, 0.970,0
1,1698, 398, 3.000,00:47:57,0, 0.658, 0.972,0
1,1698, 398, 0.000,00:47:58,0, 0.662, 0.971,0
1,1696, 396, 2.828,00:47:59,0, 0.660, 0.967,0
1,1693, 395, 3.162,00:48:00,0, 0.656, 0.957,0
1,1691, 395, 2.000,00:48:01,0, 0.697, 0.965,0
1,1688, 396, 3.162,00:48:02,0, 0.709, 0.971,0
1,1689, 397, 1.414,00:48:03,0, 0.712, 0.966,0
1,1690, 399, 2.236,00:48:04,0, 0.656, 0.964,0
1,1694, 399, 4.000,00:48:05,0, 0.661, 0.970,0
1,1697, 398, 3.162,00:48:06,0, 0.702, 0.969,0
1,1697, 399, 1.000,00:48:07,0, 0.667, 0.969,0
1,1697, 398, 1.000,00:48:08,0, 0.645, 0.968,0
1,1699, 399, 2.236,00:48:09,0, 0.648, 0.970,0
1,1699, 400, 1.000,00:48:10,0, 0.658, 0.962,0
1,1699, 401, 1.000,00:48:11,0, 0.653, 0.960,0
1,1698, 402, 1.414,00:48:12,0, 0.645, 0.967,0
1,1696, 403, 2.236,00:48:13,0, 0.636, 0.971,0
1,1698, 402, 2.236,00:48:14,0, 0.636, 0.970,0
1,1701, 400, 3.606,00:48:15,0, 0.665, 0.968,0
1,1705, 399, 4.123,00:48:16,0, 0.691, 0.965,0
1,1708, 398, 3.162,00:48:17,0, 0.669, 0.958,0
