phase,x_pos,y_pos,distance,video_time,gliding,matching_val_map,matching_val_phase,omitFrame
0,1584,1483,-1.000,01:07:37,0, 0.529, 0.971,0
0,1570,1449,36.770,01:07:38,1, 0.405, 0.973,0
0,1576,1434,16.155,01:07:39,1, 0.417, 0.973,0
0,1576,1422,12.000,01:07:40,1, 0.386, 0.974,0
0,1576,1409,13.000,01:07:41,1, 0.388, 0.977,0
0,1576,1396,13.000,01:07:42,1, 0.377, 0.977,0
0,1573,1383,-1.000,01:07:43,1, 0.335, 0.977,0
0,1572,1376,-1.000,01:07:44,1, 0.339, 0.977,0
0,1573,1364,-1.000,01:07:45,1, 0.359, 0.974,0
0,1574,1351,-1.000,01:07:46,1, 0.347, 0.977,0
0,1575,1339,-1.000,01:07:47,1, 0.391, 0.977,0
0,1575,1328,11.000,01:07:48,1, 0.395, 0.970,0
0,1575,1318,10.000,01:07:49,1, 0.402, 0.975,0
0,1574,1309, 9.055,01:07:50,1, 0.373, 0.966,0
0,1573,1298,11.045,01:07:51,1, 0.371, 0.976,0
0,1574,1285,13.038,01:07:52,1, 0.368, 0.973,0
0,1574,1269,-1.000,01:07:53,1, 0.339, 0.972,0
0,1576,1253,-1.000,01:07:54,1, 0.308, 0.972,0
0,1577,1237,-1.000,01:07:55,1, 0.322, 0.973,0
0,1577,1221,-1.000,01:07:56,1, 0.343, 0.970,0
0,1579,1207,-1.000,01:07:57,1, 0.347, 0.967,0
0,1573,1191,-1.000,01:07:58,1, 0.344, 0.965,0
0,1587,1184,-1.000,01:07:59,1, 0.358, 0.969,0
0,1584,1168,16.279,01:08:00,1, 0.389, 0.962,0
0,1583,1154,14.036,01:08:01,1, 0.433, 0.969,0
0,1592,1143,14.213,01:08:02,1, 0.436, 0.969,0
1,1599,1132,13.038,01:08:03,1, 0.471, 0.968,0
1,1601,1124, 8.246,01:08:04,1, 0.503, 0.968,0
1,1603,1121, 3.606,01:08:05,1, 0.507, 0.967,0
1,1603,1117, 4.000,01:08:06,1, 0.505, 0.968,0
1,1601,1116, 2.236,01:08:07,1, 0.513, 0.971,0
1,1605,1112, 5.657,01:08:08,1, 0.519, 0.969,0
1,1604,1110, 2.236,01:08:09,1, 0.530, 0.969,0
1,1601,1102, 8.544,01:08:10,1, 0.507, 0.970,0
1,1605,1096, 7.211,01:08:11,0, 0.505, 0.952,0
1,1609,1097, 4.123,01:08:12,0, 0.489, 0.974,0
1,1611,1097, 2.000,01:08:13,0, 0.499, 0.969,0
1,1609,1097, 2.000,01:08:14,0, 0.493, 0.980,0
1,1610,1094, 3.162,01:08:15,0, 0.507, 0.980,0
1,1611,1094, 1.000,01:08:16,0, 0.509, 0.978,0
1,1613,1093, 2.236,01:08:17,0, 0.513, 0.963,0
1,1613,1093, 0.000,01:08:18,0, 0.507, 0.978,0
1,1613,1093, 0.000,01:08:19,0, 0.517, 0.977,0
1,1614,1095, 2.236,01:08:20,0, 0.510, 0.972,0
1,1614,1095, 0.000,01:08:21,0, 0.508, 0.981,0
1,1614,1095, 0.000,01:08:22,0, 0.508, 0.976,0
1,1614,1095, 0.000,01:08:23,0, 0.504, 0.980,0
1,1614,1095, 0.000,01:08:24,0, 0.506, 0.980,0
1,1614,1095, 0.000,01:08:25,0, 0.505, 0.979,0
1,1614,1095, 0.000,01:08:26,0, 0.508, 0.980,0
1,1614,1095, 0.000,01:08:27,0, 0.506, 0.980,0
1,1611,1095, 3.000,01:08:28,0, 0.506, 0.973,0
1,1611,1093, 2.000,01:08:29,0, 0.517, 0.976,0
1,1613,1096, 3.606,01:08:30,0, 0.502, 0.974,0
1,1612,1098, 2.236,01:08:31,0, 0.506, 0.979,0
1,1610,1101, 3.606,01:08:32,0, 0.500, 0.974,0
1,1608,1101, 2.000,01:08:33,0, 0.498, 0.974,0
1,1607,1096, 5.099,01:08:34,0, 0.500, 0.974,0
1,1608,1093, 3.162,01:08:35,0, 0.506, 0.974,0
1,1609,1096, 3.162,01:08:36,0, 0.514, 0.972,0
1,1611,1097, 2.236,01:08:37,0, 0.507, 0.972,0
1,1614,1097, 3.000,01:08:38,0, 0.502, 0.970,0
1,1616,1096, 2.236,01:08:39,0, 0.519, 0.969,0
1,1617,1095, 1.414,01:08:40,0, 0.521, 0.973,0
1,1616,1095, 1.000,01:08:41,0, 0.516, 0.979,0
1,1616,1095, 0.000,01:08:42,0, 0.507, 0.980,0
1,1616,1095, 0.000,01:08:43,0, 0.506, 0.979,0
1,1616,1095, 0.000,01:08:44,0, 0.515, 0.971,0
1,1616,1095, 0.000,01:08:45,0, 0.531, 0.975,0
1,1616,1095, 0.000,01:08:46,0, 0.520, 0.973,0
1,1618,1094, 2.236,01:08:47,0, 0.536, 0.975,0
1,1622,1092, 4.472,01:08:48,0, 0.537, 0.972,0
1,1624,1088, 4.472,01:08:49,0, 0.542, 0.978,0
1,1625,1084, 4.123,01:08:50,0, 0.538, 0.974,0
1,1627,1081, 3.606,01:08:51,0, 0.547, 0.973,0
1,1630,1077, 5.000,01:08:52,0, 0.549, 0.974,0
1,1630,1074, 3.000,01:08:53,0, 0.538, 0.973,0
1,1630,1071, 3.000,01:08:54,0, 0.526, 0.970,0
1,1631,1072, 1.414,01:08:55,0, 0.533, 0.974,0
1,1632,1071, 1.414,01:08:56,0, 0.522, 0.974,0
1,1632,1071, 0.000,01:08:57,0, 0.518, 0.974,0
1,1632,1071, 0.000,01:08:58,0, 0.521, 0.973,0
1,1632,1071, 0.000,01:08:59,0, 0.519, 0.973,0
1,1632,1071, 0.000,01:09:00,0, 0.521, 0.974,0
1,1632,1071, 0.000,01:09:01,0, 0.521, 0.974,0
1,1632,1071, 0.000,01:09:02,0, 0.525, 0.979,0
1,1632,1073, 2.000,01:09:03,0, 0.534, 0.979,0
1,1631,1072, 1.414,01:09:04,0, 0.534, 0.974,0
1,1629,1071, 2.236,01:09:05,0, 0.533, 0.974,0
1,1627,1070, 2.236,01:09:06,0, 0.529, 0.978,0
1,1626,1068, 2.236,01:09:07,0, 0.526, 0.969,0
1,1627,1065, 3.162,01:09:08,0, 0.517, 0.969,0
1,1628,1065, 1.000,01:09:09,0, 0.523, 0.968,0
1,1630,1066, 2.236,01:09:10,0, 0.514, 0.971,0
1,1632,1067, 2.236,01:09:11,0, 0.527, 0.971,0
1,1633,1068, 1.414,01:09:12,0, 0.526, 0.970,0
1,1634,1071, 3.162,01:09:13,0, 0.530, 0.977,0
1,1635,1072, 1.414,01:09:14,0, 0.525, 0.976,0
1,1639,1070, 4.472,01:09:15,0, 0.514, 0.973,0
1,1642,1067, 4.243,01:09:16,0, 0.509, 0.975,0
1,1645,1064, 4.243,01:09:17,0, 0.504, 0.977,0
1,1648,1062, 3.606,01:09:18,0, 0.517, 0.978,0
1,1651,1059, 4.243,01:09:19,0, 0.531, 0.977,0
1,1654,1056, 4.243,01:09:20,0, 0.546, 0.979,0
1,1654,1055, 1.000,01:09:21,0, 0.539, 0.978,0
1,1655,1054, 1.414,01:09:22,0, 0.534, 0.973,0
1,1655,1054, 0.000,01:09:23,0, 0.534, 0.981,0
1,1656,1055, 1.414,01:09:24,0, 0.532, 0.975,0
1,1656,1055, 0.000,01:09:25,0, 0.531, 0.974,0
1,1655,1056, 1.414,01:09:26,0, 0.537, 0.980,0
1,1658,1060, 5.000,01:09:27,0, 0.527, 0.976,0
1,1658,1064, 4.000,01:09:28,0, 0.524, 0.974,0
1,1659,1067, 3.162,01:09:29,0, 0.529, 0.972,0
1,1658,1071, 4.123,01:09:30,0, 0.529, 0.972,0
1,1658,1076, 5.000,01:09:31,0, 0.534, 0.974,0
1,1658,1082, 6.000,01:09:32,0, 0.549, 0.974,0
1,1658,1085, 3.000,01:09:33,0, 0.537, 0.974,0
1,1660,1086, 2.236,01:09:34,0, 0.550, 0.977,0
