video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,1,00:29:28,00:34:09,-1,100,0,00:04:41,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_1.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,2,00:34:09,00:41:19,-1,100,0,00:07:10,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_2.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,3,00:41:19,00:48:30,-1,100,0,00:07:11,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_3.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191204_BK-6asxbjE6dU5n_2NG4DA_1575492719.mp4,1,00:05:17,00:18:02,0,100,0,00:12:45,round-20191204_BK-6asxbjE6dU5n_2NG4DA_1575492719_1.csv,(1603x12)(1889x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,1,00:08:05,00:12:20,-1,100,0,00:04:15,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_1.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,2,00:12:20,00:16:09,0,100,0,00:03:49,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_2.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,4,00:48:30,01:07:51,-1,100,0,00:19:21,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_4.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,1,00:06:24,00:20:50,1,1,-1,00:14:26,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_1.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,3,00:19:41,00:28:17,0,100,0,00:08:36,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_3.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,4,00:29:58,00:33:40,0,100,0,00:03:42,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_4.csv,(1601x12)(1887x298); 1.490
